stdDay,22D_alpha,predicted_22D_alpha,22D_Infected,predicted_22D_Infected
2023-02-19,0.115784456,0.250910848,3171.6,3085.772781
2023-02-20,0.300718836,0.289279491,3053.52,3007.074652
2023-02-21,0.338123041,0.282666594,2895.12,2868.987456
2023-02-22,0.304449588,0.251498371,2720.16,2761.782022
2023-02-23,0.349413039,0.25925526,2594.88,2689.214784
2023-02-24,0.319972297,0.233058214,2565.36,2569.39002
2023-02-25,0.227721864,0.258706272,2540.16,2412.66
2023-02-26,0.153014992,0.257343858,2388.96,2538.830886
2023-02-27,0.322144996,0.259134829,2387.71,2321.814867
2023-02-28,0.35385939,0.215854347,2320.6,2314.687601
2023-03-01,0.228846987,0.282227397,2249.63,2176.853868
2023-03-02,0.312425117,0.275529981,2110.28,2132.089103
2023-03-03,0.382215991,0.245867148,2000.02,2082.983801
2023-03-04,0.395111685,0.260115981,1974.15,2089.284626
2023-03-05,0,0.246955663,2062.26,1819.578801
2023-03-06,0.513001014,0.259073198,1900.79,2159.666711
2023-03-07,0.431281292,0.26031062,1990.57,1915.504968
2023-03-08,0.356072304,0.242914364,2005.98,2077.000895
2023-03-09,0.297730457,0.251485229,2093.08,1989.927023
2023-03-10,0.304653806,0.273003221,2076.33,2033.644363
2023-03-11,0.271353505,0.253816038,2017.37,1970.134444
2023-03-12,0.142533531,0.274979651,1914.19,2143.669699
2023-03-13,0.324123169,0.217683956,2034.03,1782.485507
2023-03-14,0.287620939,0.250958145,1894.08,1885.017285
2023-03-15,0.280671826,0.240458503,1755.32,1788.257457
2023-03-16,0.304324443,0.250326127,1657.25,1699.363714
2023-03-17,0.300929832,0.278899074,1604.42,1588.694583
2023-03-18,0.35639787,0.266319692,1538.05,1604.117486
2023-03-19,0.093101289,0.234107301,1537.76,1480.919228
2023-03-20,0.461930897,0.233781978,1480.64,1548.228865
2023-03-21,0.429011272,0.271247447,1490.72,1521.243576
2023-03-22,0.333372645,0.286440551,1531.6,1497.805689
2023-03-23,0.332754112,0.244965255,1538.88,1534.386754
2023-03-24,0.292403704,0.215410173,1541.68,1524.346444
2023-03-25,0.307874485,0.245994717,1527.12,1506.62897
2023-03-26,0.068773737,0.231426507,1492.4,1508.834263
2023-03-27,0.269379326,0.269047827,1474.53,1364.822385
2023-03-28,0.275481134,0.2623564,1348.48,1345.762311
2023-03-29,0.269296601,0.283041507,1230.72,1262.194899
2023-03-30,0.287032637,0.27623561,1151.97,1145.571616
2023-03-31,0.310144193,0.251750141,1072.27,1096.061956
2023-04-01,0.31906796,0.269372582,1020.23,1005.467925
2023-04-02,0.134657948,0.257324278,956.67,1032.291423
2023-04-03,0.379898116,0.269559711,967.98,943.5649315
2023-04-04,0.465016959,0.254012436,954.72,999.6133333
2023-04-05,0.338795216,0.275924712,985.92,955.4753165
2023-04-06,0.305964192,0.27199918,986.7,973.0601739
2023-04-07,0.288023387,0.260603309,973.83,963.3859031
2023-04-08,0.303567226,0.222952291,950.82,957.0536013
2023-04-09,0.057574702,0.243596196,934.44,917.4857429
2023-04-10,0.249958058,0.293842077,901.68,869.9075952
2023-04-11,0.287122178,0.258474141,839.41,806.4429302
2023-04-12,0.270949245,0.301932395,750.75,775.6003048
2023-04-13,0.282983608,0.276698083,693.68,700.8031765
2023-04-14,0.324512249,0.21903871,647.53,660.6741458
2023-04-15,0.279663163,0.261908412,616.72,594.2971374
2023-04-16,0.104774315,0.245359465,566.02,619.2696004
2023-04-17,0.458520362,0.269471824,568.36,581.037914
2023-04-18,0.526982603,0.234553739,583.44,596.2207843
2023-04-19,0.390915794,0.241510719,612.04,598.0631776
2023-04-20,0.422619016,0.268960536,627.38,640.9552756
2023-04-21,0.451222978,0.213096291,657.02,662.8827068
2023-04-22,0.288876375,0.24607484,694.2,632.0072019
2023-04-23,0.104418348,0.272151709,706.16,631.1817336
2023-04-24,0.264369385,0.284548074,712.34,682.5362921
2023-04-25,0.27675218,0.304045737,680.75,658.2291557
2023-04-26,0.276648994,0.311029017,628.88,615.8477957
2023-04-27,0.277447725,0.308097601,600.38,597.0949393
2023-04-28,0.356487661,0.305483878,557.47,562.3312037
2023-04-29,0.338284112,0.297686249,514.91,507.0058152
2023-04-30,0.106661747,0.294610918,503.31,486.6928544
2023-05-01,0.427119357,0.290471673,494.57,517.738453
2023-05-02,0.40513652,0.314525872,504.26,497.3380638
2023-05-03,0.505227105,0.29896909,510.91,484.450049
2023-05-04,0,0.300145954,547.01,475.5801637
