deathCnt,defCnt,gubun,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,0,서울,Seoul,0,0,0,0,0,0.0,2020-01-20
0,0,서울,Seoul,0,0,0,0,0,0.0,2020-01-21
0,0,서울,Seoul,0,0,0,0,0,0.0,2020-01-22
0,0,서울,Seoul,0,0,0,0,0,0.0,2020-01-23
0,1,서울,Seoul,1,0,1,0,1,0.0,2020-01-24
0,1,서울,Seoul,0,0,1,0,0,0.0,2020-01-25
0,1,서울,Seoul,0,0,1,0,0,0.0,2020-01-26
0,1,서울,Seoul,0,0,1,0,0,0.0,2020-01-27
0,1,서울,Seoul,0,0,1,0,0,0.0,2020-01-28
0,1,서울,Seoul,0,0,1,0,0,0.0,2020-01-29
0,4,서울,Seoul,3,0,4,1,2,0.0,2020-01-30
0,7,서울,Seoul,3,0,7,3,0,0.0,2020-01-31
0,7,서울,Seoul,0,0,7,0,0,0.0,2020-02-01
0,8,서울,Seoul,1,0,8,0,1,0.0,2020-02-02
0,8,서울,Seoul,0,0,8,0,0,0.0,2020-02-03
0,8,서울,Seoul,0,0,8,0,0,0.0,2020-02-04
0,10,서울,Seoul,2,0,10,1,1,0.0,2020-02-05
0,12,서울,Seoul,2,0,12,0,2,0.0,2020-02-06
0,12,서울,Seoul,0,1,11,0,0,0.0,2020-02-07
0,12,서울,Seoul,0,1,11,0,0,0.0,2020-02-08
0,12,서울,Seoul,0,1,11,0,0,0.0,2020-02-09
0,12,서울,Seoul,0,1,11,0,0,0.0,2020-02-10
0,12,서울,Seoul,0,1,11,0,0,0.0,2020-02-11
0,12,서울,Seoul,0,1,11,0,0,0.0,2020-02-12
0,12,서울,Seoul,0,4,8,0,0,0.0,2020-02-13
0,12,서울,Seoul,0,4,8,0,0,0.0,2020-02-14
0,12,서울,Seoul,0,4,8,0,0,0.0,2020-02-15
0,14,서울,Seoul,2,5,9,2,0,0.0,2020-02-16
0,14,서울,Seoul,0,5,9,0,0,0.0,2020-02-17
0,14,서울,Seoul,0,6,8,0,0,0.0,2020-02-18
0,16,서울,Seoul,2,7,9,2,0,0.0,2020-02-19
0,16,서울,Seoul,0,8,8,0,0,0.0,2020-02-20
0,21,서울,Seoul,5,8,13,5,0,0.0,2020-02-21
0,23,서울,Seoul,2,8,15,2,0,0.0,2020-02-22
0,26,서울,Seoul,3,8,18,3,0,0.0,2020-02-23
0,30,서울,Seoul,4,8,22,3,1,0.0,2020-02-24
0,37,서울,Seoul,7,10,27,7,0,0.0,2020-02-25
0,45,서울,Seoul,8,10,35,7,1,0.0,2020-02-26
0,55,서울,Seoul,10,11,44,8,2,0.0,2020-02-27
0,62,서울,Seoul,7,12,50,7,0,0.0,2020-02-28
0,74,서울,Seoul,12,12,62,12,0,0.0,2020-02-29
0,82,서울,Seoul,8,12,70,6,2,0.0,2020-03-01
0,91,서울,Seoul,9,13,78,8,1,0.93,2020-03-02
0,98,서울,Seoul,7,13,85,7,0,1.01,2020-03-03
0,98,서울,Seoul,0,13,85,0,0,1.01,2020-03-04
0,103,서울,Seoul,5,17,86,4,1,1.06,2020-03-05
0,105,서울,Seoul,2,17,88,2,0,1.08,2020-03-06
0,108,서울,Seoul,3,17,91,3,0,1.11,2020-03-07
0,120,서울,Seoul,12,17,103,11,1,1.23,2020-03-08
0,130,서울,Seoul,10,17,113,10,0,1.34,2020-03-09
0,141,서울,Seoul,11,18,123,11,0,1.45,2020-03-10
0,194,서울,Seoul,53,19,175,51,2,1.99,2020-03-11
0,213,서울,Seoul,19,19,194,19,0,2.19,2020-03-12
0,225,서울,Seoul,12,25,200,10,2,2.31,2020-03-13
0,238,서울,Seoul,13,33,205,9,4,2.45,2020-03-14
0,247,서울,Seoul,9,36,211,8,1,2.54,2020-03-15
0,253,서울,Seoul,6,41,212,6,0,2.6,2020-03-16
0,265,서울,Seoul,12,48,217,11,1,2.72,2020-03-17
0,270,서울,Seoul,5,51,219,4,1,2.77,2020-03-18
0,282,서울,Seoul,12,53,229,6,6,2.9,2020-03-19
0,299,서울,Seoul,17,54,245,12,5,3.07,2020-03-20
0,314,서울,Seoul,15,55,259,6,9,3.23,2020-03-21
0,324,서울,Seoul,10,59,265,7,3,3.33,2020-03-22
