deathCnt,defCnt,gubun,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,stdDay
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-01-20
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-01-21
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-01-22
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-01-23
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-01-24
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-01-25
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-01-26
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-01-27
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-01-28
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-01-29
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-01-30
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-01-31
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-01
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-02
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-03
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-04
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-05
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-06
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-07
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-08
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-09
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-10
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-11
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-12
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-13
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-14
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-15
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-16
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-17
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-18
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-19
0,0,충북,Chungcheongbuk-do,0,0,0,0,0,0.0,2020-02-20
0,1,충북,Chungcheongbuk-do,1,0,1,1,0,0.0,2020-02-21
0,3,충북,Chungcheongbuk-do,2,0,3,2,0,0.0,2020-02-22
0,3,충북,Chungcheongbuk-do,0,0,3,0,0,0.0,2020-02-23
0,3,충북,Chungcheongbuk-do,0,0,3,0,0,0.0,2020-02-24
0,3,충북,Chungcheongbuk-do,0,0,3,0,0,0.0,2020-02-25
0,5,충북,Chungcheongbuk-do,2,0,5,2,0,0.0,2020-02-26
0,7,충북,Chungcheongbuk-do,2,0,7,2,0,0.0,2020-02-27
0,10,충북,Chungcheongbuk-do,3,0,10,3,0,0.0,2020-02-28
0,10,충북,Chungcheongbuk-do,0,0,10,0,0,0.0,2020-02-29
0,11,충북,Chungcheongbuk-do,1,0,11,1,0,0.0,2020-03-01
0,11,충북,Chungcheongbuk-do,0,0,11,0,0,0.69,2020-03-02
0,11,충북,Chungcheongbuk-do,0,0,11,0,0,0.69,2020-03-03
0,11,충북,Chungcheongbuk-do,0,0,11,0,0,0.69,2020-03-04
0,12,충북,Chungcheongbuk-do,1,1,11,1,0,0.75,2020-03-05
0,15,충북,Chungcheongbuk-do,3,1,14,3,0,0.94,2020-03-06
0,20,충북,Chungcheongbuk-do,5,1,19,5,0,1.25,2020-03-07
0,24,충북,Chungcheongbuk-do,4,1,23,4,0,1.5,2020-03-08
0,25,충북,Chungcheongbuk-do,1,1,24,1,0,1.56,2020-03-09
0,25,충북,Chungcheongbuk-do,0,3,22,0,0,1.56,2020-03-10
0,27,충북,Chungcheongbuk-do,2,3,24,2,0,1.69,2020-03-11
0,27,충북,Chungcheongbuk-do,0,3,24,0,0,1.69,2020-03-12
0,27,충북,Chungcheongbuk-do,0,3,24,0,0,1.69,2020-03-13
0,28,충북,Chungcheongbuk-do,1,5,23,1,0,1.75,2020-03-14
0,31,충북,Chungcheongbuk-do,3,6,25,3,0,1.94,2020-03-15
0,31,충북,Chungcheongbuk-do,0,7,24,0,0,1.94,2020-03-16
0,31,충북,Chungcheongbuk-do,0,7,24,0,0,1.94,2020-03-17
0,32,충북,Chungcheongbuk-do,1,7,25,1,0,2.0,2020-03-18
0,33,충북,Chungcheongbuk-do,1,7,26,1,0,2.06,2020-03-19
0,33,충북,Chungcheongbuk-do,0,7,26,0,0,2.06,2020-03-20
0,34,충북,Chungcheongbuk-do,1,7,27,1,0,2.13,2020-03-21
0,35,충북,Chungcheongbuk-do,1,8,27,1,0,2.19,2020-03-22
0,37,충북,Chungcheongbuk-do,2,8,29,2,0,2.31,2020-03-23
0,38,충북,Chungcheongbuk-do,1,10,28,1,0,2.38,2020-03-24
0,38,충북,Chungcheongbuk-do,0,12,26,0,0,2.38,2020-03-25
0,39,충북,Chungcheongbuk-do,1,13,26,0,1,2.44,2020-03-26
0,41,충북,Chungcheongbuk-do,2,16,25,1,1,2.56,2020-03-27
0,41,충북,Chungcheongbuk-do,0,20,21,0,0,2.56,2020-03-28
0,41,충북,Chungcheongbuk-do,0,20,21,0,0,2.56,2020-03-29
0,44,충북,Chungcheongbuk-do,3,20,24,1,2,2.75,2020-03-30
0,44,충북,Chungcheongbuk-do,0,20,24,0,0,2.75,2020-03-31
0,44,충북,Chungcheongbuk-do,0,22,22,0,0,2.75,2020-04-01
0,44,충북,Chungcheongbuk-do,0,22,22,0,0,2.75,2020-04-02
0,45,충북,Chungcheongbuk-do,1,24,21,0,1,2.81,2020-04-03
0,45,충북,Chungcheongbuk-do,0,26,19,0,0,2.81,2020-04-04
0,45,충북,Chungcheongbuk-do,0,26,19,0,0,2.81,2020-04-05
0,45,충북,Chungcheongbuk-do,0,27,18,0,0,2.81,2020-04-06
0,45,충북,Chungcheongbuk-do,0,27,18,0,0,2.81,2020-04-07
0,45,충북,Chungcheongbuk-do,0,27,18,0,0,2.81,2020-04-08
0,45,충북,Chungcheongbuk-do,0,28,17,0,0,2.81,2020-04-09
0,45,충북,Chungcheongbuk-do,0,28,17,0,0,2.81,2020-04-10
0,45,충북,Chungcheongbuk-do,0,28,17,0,0,2.81,2020-04-11
0,45,충북,Chungcheongbuk-do,0,29,16,0,0,2.81,2020-04-12
0,45,충북,Chungcheongbuk-do,0,31,14,0,0,2.81,2020-04-13
0,45,충북,Chungcheongbuk-do,0,31,14,0,0,2.81,2020-04-14
0,45,충북,Chungcheongbuk-do,0,32,13,0,0,2.81,2020-04-15
0,45,충북,Chungcheongbuk-do,0,34,11,0,0,2.81,2020-04-16
0,45,충북,Chungcheongbuk-do,0,37,8,0,0,2.81,2020-04-17
0,45,충북,Chungcheongbuk-do,0,38,7,0,0,2.81,2020-04-18
0,45,충북,Chungcheongbuk-do,0,38,7,0,0,2.81,2020-04-19
0,45,충북,Chungcheongbuk-do,0,38,7,0,0,2.81,2020-04-20
0,45,충북,Chungcheongbuk-do,0,39,6,0,0,2.81,2020-04-21
0,45,충북,Chungcheongbuk-do,0,39,6,0,0,2.81,2020-04-22
0,45,충북,Chungcheongbuk-do,0,39,6,0,0,2.81,2020-04-23
0,45,충북,Chungcheongbuk-do,0,39,6,0,0,2.81,2020-04-24
0,45,충북,Chungcheongbuk-do,0,39,6,0,0,2.81,2020-04-25
0,45,충북,Chungcheongbuk-do,0,39,6,0,0,2.81,2020-04-26
0,45,충북,Chungcheongbuk-do,0,39,6,0,0,2.81,2020-04-27
