,Actual_data,Predicted_data
2020-12-29,1154.0,1179.709
2020-12-30,1170.9999,1190.2986
2020-12-31,1207.0,1210.1072
2021-01-01,1237.0,1256.2175
2021-01-02,1267.9999,1251.4834
2021-01-03,1301.0,1292.5431
2021-01-04,1329.0,1323.6652
2021-01-05,1356.0,1338.8594
2021-01-06,1371.9999,1360.1
2021-01-07,1401.9999,1373.4941
2021-01-08,1413.0,1411.4689
2021-01-09,1419.0,1419.3466
2021-01-10,1438.9999,1454.3916
2021-01-11,1450.0,1459.5552
2021-01-12,1457.0,1464.3398
2021-01-13,1478.0,1490.5004
2021-01-14,1489.0001,1489.1674
2021-01-15,1502.0001,1497.865
2021-01-16,1525.0,1514.0298
2021-01-17,1529.0001,1518.6781
2021-01-18,1545.0,1553.1775
2021-01-19,1562.0,1563.0609
2021-01-20,1572.9999,1568.2659
2021-01-21,1581.0,1587.8958
2021-01-22,1590.0,1600.0549
2021-01-23,1596.0001,1601.1555
2021-01-24,1607.0,1607.8812
2021-01-25,1611.0,1606.5933
2021-01-26,1654.0,1620.4573
2021-01-27,1672.0,1670.941
2021-01-28,1678.0,1659.414
2021-01-29,1686.0,1692.3789
2021-01-30,1689.0,1696.9071
2021-01-31,1695.0,1707.6228
2021-02-01,1703.0001,1714.7268
2021-02-02,1710.0001,1717.7083
2021-02-03,1716.0,1722.644
2021-02-04,1724.0001,1726.5125
2021-02-05,1729.0,1726.3428
2021-02-06,1730.0001,1732.2993
2021-02-07,1736.0,1739.7499
2021-02-08,1740.0001,1735.0403
2021-02-09,1743.0001,1740.3254
2021-02-10,1748.0,1745.4089
2021-02-11,1759.0,1745.6106
2021-02-12,1765.0,1744.135
2021-02-13,1767.0001,1757.5748
2021-02-14,1772.0,1769.3455
2021-02-15,1773.0,1769.3302
2021-02-16,1778.0,1778.7687
2021-02-17,1781.0001,1779.4574
2021-02-18,1785.0,1786.1235
2021-02-19,1792.0,1789.193
2021-02-20,1797.0001,1790.4277
2021-02-21,1803.0,1797.9594
2021-02-22,1823.0,1802.0043
2021-02-23,1837.0001,1802.5731
2021-02-24,1846.0,1824.2592
2021-02-25,1848.0001,1845.0856
2021-02-26,1854.0001,1860.2062
2021-02-27,1860.0,1863.8672
2021-02-28,1864.0001,1872.1841
2021-03-01,1869.0,1881.1313
2021-03-02,1871.0001,1886.3219
2021-03-03,1877.0001,1891.455
2021-03-04,1883.0,1893.3208
2021-03-05,1887.0,1897.859
2021-03-06,1894.0001,1903.1481
2021-03-07,1904.0001,1905.5471
2021-03-08,1914.0001,1910.889
2021-03-09,1927.0,1919.9851
2021-03-10,1947.0,1929.52
2021-03-11,1977.0,1944.8931
2021-03-12,1989.0,1979.3342
2021-03-13,2007.0,2012.0804
2021-03-14,2023.0,2029.3959
2021-03-15,2033.0,2045.8151
2021-03-16,2046.0,2061.6611
2021-03-17,2056.0,2074.5503
2021-03-18,2079.0,2084.876
2021-03-19,2110.0,2108.8918
2021-03-20,2127.0,2142.4624
2021-03-21,2141.0,2161.578
2021-03-22,2162.0,2171.6736
2021-03-23,2171.0,2184.3176
2021-03-24,2189.0,2196.5964
2021-03-25,2216.0,2217.3826
2021-03-26,2240.0002,2244.4412
2021-03-27,2276.0,2262.7642
2021-03-28,2295.0,2303.3335
2021-03-29,2301.0,2318.8083
2021-03-30,2314.0,2326.527
2021-03-31,2330.0,2329.5522
2021-04-01,2350.0,2342.6848
2021-04-02,2360.0,2360.3774
2021-04-03,2377.0,2368.06
2021-04-04,2383.0,2387.0957
2021-04-05,2397.0,2391.5864
2021-04-06,2412.0,2412.2612
2021-04-07,2428.0,2425.3298
2021-04-08,2435.0,2437.311
2021-04-09,2438.0,2442.2102
2021-04-10,2444.0,2447.699
2021-04-11,2449.0,2460.5544
2021-04-12,2455.0,2467.6416
2021-04-13,2468.0,2476.0134
2021-04-14,2474.0,2491.8118
2021-04-15,2492.0,2493.5566
2021-04-16,2499.0,2513.1855
2021-04-17,2511.0,2520.7969
2021-04-18,2530.0,2535.2498
2021-04-19,2551.0,2553.6248
2021-04-20,2569.0,2569.2148
2021-04-21,2584.0,2579.9553
2021-04-22,2608.0,2590.6978
2021-04-23,2623.0,2612.9802
2021-04-24,2632.0002,2624.5786
2021-04-25,2642.0002,2634.3406
2021-04-26,2654.0,2647.4653
2021-04-27,2656.0,2662.3274
2021-04-28,2667.0,2659.4163
2021-04-29,2680.0,2685.8655
2021-04-30,2684.0,2699.297
2021-05-01,2688.0,2692.3835
2021-05-02,2692.0,2700.9429
2021-05-03,2702.0,2709.2861
2021-05-04,2724.0,2724.8132
2021-05-05,2772.0,2741.6968
2021-05-06,2783.9998,2787.9546
2021-05-07,2792.0,2795.3071
2021-05-08,2819.0,2819.054
2021-05-09,2826.0,2822.336
2021-05-10,2831.0,2827.98
2021-05-11,2843.0,2834.6816
2021-05-12,2860.0,2845.1616
2021-05-13,2877.0,2855.553
2021-05-14,2902.0,2855.8833
2021-05-15,2914.0,2864.777
2021-05-16,2919.0,2861.5525
2021-05-17,2954.0,2883.4902
2021-05-18,2979.0,2886.2195
2021-05-19,2994.9998,2909.59
2021-05-20,3003.0,2931.852
2021-05-21,3010.0,2950.4841
2021-05-22,3039.0,2964.8523
