,Actual_data,Predicted_data
2020-10-08,4588.0,4627.306
2020-10-09,4600.0,4645.068
2020-10-10,4624.0,4630.6704
2020-10-11,4645.0,4656.7085
2020-10-12,4675.0,4682.2437
2020-10-13,4713.0,4695.6533
2020-10-14,4744.0,4718.968
2020-10-15,4752.0,4726.271
2020-10-16,4769.0,4726.4004
2020-10-17,4801.0,4755.4336
2020-10-18,4851.0,4794.044
2020-10-19,4869.0,4836.928
2020-10-20,4897.0,4832.146
2020-10-21,4921.0,4868.5845
2020-10-22,4988.0,4919.935
2020-10-23,5091.0,5028.4927
2020-10-24,5126.0,5186.707
2020-10-25,5153.0,5173.755
2020-10-26,5220.0,5191.6797
2020-10-27,5255.0,5302.8867
2020-10-28,5286.0,5326.8594
2020-10-29,5344.0,5349.3555
2020-10-30,5376.0,5430.0024
2020-10-31,5403.0,5416.14
2020-11-01,5441.0,5437.6245
2020-11-02,5482.0,5499.742
2020-11-03,5509.0,5534.197
2020-11-04,5552.0005,5547.23
2020-11-05,5579.0,5627.022
2020-11-06,5626.0,5596.0605
2020-11-07,5647.0005,5672.629
2020-11-08,5672.0005,5683.2935
2020-11-09,5694.0,5678.8887
2020-11-10,5727.0005,5679.0786
2020-11-11,5780.0005,5742.284
2020-11-12,5815.0,5807.9883
2020-11-13,5862.0005,5824.944
2020-11-14,5911.0,5879.076
2020-11-15,5956.0,5928.126
2020-11-16,5998.0,5959.4165
2020-11-17,6050.0,5973.953
2020-11-18,6137.0005,6039.9155
2020-11-19,6201.0,6164.242
2020-11-20,6274.0,6269.7446
2020-11-21,6367.0005,6336.4595
2020-11-22,6442.0005,6430.0747
2020-11-23,6518.0,6513.0723
2020-11-24,6599.0,6593.9873
2020-11-25,6681.0,6681.7563
2020-11-26,6864.0005,6762.1274
2020-11-27,6981.0,6998.9517
2020-11-28,7106.0,7073.6714
2020-11-29,7200.0,7182.758
2020-11-30,7277.0005,7254.5625
2020-12-01,7373.0,7348.6206
2020-12-02,7517.0005,7431.152
2020-12-03,7658.0,7670.3228
2020-12-04,7818.0,7779.3115
2020-12-05,7975.0,7976.978
2020-12-06,8159.0005,8130.034
2020-12-07,8315.0,8376.206
2020-12-08,8472.0,8501.592
2020-12-09,8691.0,8702.887
2020-12-10,8906.0,8926.906
2020-12-11,9135.0,9142.611
2020-12-12,9407.0,9377.465
2020-12-13,9738.0,9689.929
2020-12-14,9964.0,10026.013
2020-12-15,10252.0,10249.928
2020-12-16,10581.0,10565.247
2020-12-17,10872.0,10846.937
2020-12-18,11175.0,11142.941
2020-12-19,11449.0,11422.219
2020-12-20,11698.0,11661.301
2020-12-21,11942.0,11943.751
2020-12-22,12146.0,12205.015
2020-12-23,12455.0,12392.844
2020-12-24,12739.999,12720.064
2020-12-25,13003.0,12978.579
2020-12-26,13258.0,13222.69
2020-12-27,13499.0,13478.593
2020-12-28,13692.0,13694.46
2020-12-29,13948.0,13900.8125
2020-12-30,14225.0,14183.358
2020-12-31,14449.999,14471.691
2021-01-01,14733.999,14692.107
2021-01-02,14960.999,14940.9795
2021-01-03,15165.0,15132.204
2021-01-04,15433.999,15401.891
2021-01-05,15663.0,15645.179
2021-01-06,15946.999,15902.883
2021-01-07,16250.0,16207.182
2021-01-08,16508.0,16482.967
2021-01-09,16719.0,16735.564
2021-01-10,16911.0,16886.281
2021-01-11,17058.0,17026.752
2021-01-12,17233.0,17223.506
2021-01-13,17433.998,17385.4
2021-01-14,17605.0,17588.986
2021-01-15,17791.0,17792.848
2021-01-16,17959.0,17941.754
2021-01-17,18133.998,18092.535
2021-01-18,18239.0,18214.398
2021-01-19,18378.0,18329.627
2021-01-20,18517.0,18470.268
2021-01-21,18655.0,18624.402
2021-01-22,18771.0,18724.51
2021-01-23,18888.0,18865.139
2021-01-24,18987.0,18963.11
2021-01-25,19064.0,19042.113
2021-01-26,19141.0,19166.889
2021-01-27,19290.998,19306.064
2021-01-28,19409.0,19407.875
2021-01-29,19544.0,19519.541
2021-01-30,19690.0,19652.236
2021-01-31,19803.0,19764.26
2021-02-01,19895.0,19842.064
2021-02-02,19977.0,19951.291
2021-02-03,20088.0,20052.162
2021-02-04,20222.0,20183.55
2021-02-05,20336.0,20305.217
2021-02-06,20447.0,20410.047
2021-02-07,20559.0,20554.4
2021-02-08,20642.0,20656.332
2021-02-09,20768.0,20760.314
2021-02-10,20937.0,20911.305
2021-02-11,21125.0,21090.982
2021-02-12,21230.0,21272.266
2021-02-13,21329.0,21305.215
2021-02-14,21409.0,21383.455
2021-02-15,21511.0,21479.15
2021-02-16,21645.0,21613.955
2021-02-17,21799.0,21772.781
2021-02-18,22040.0,22011.436
2021-02-19,22229.0,22195.531
2021-02-20,22399.0,22366.771
2021-02-21,22570.0,22543.238
2021-02-22,22691.0,22665.41
2021-02-23,22818.0,22682.48
2021-02-24,22961.002,22797.562
2021-02-25,23099.0,22848.72
2021-02-26,23240.0,22914.814
2021-02-27,23409.0,23097.03
2021-02-28,23550.0,23151.936
2021-03-01,23710.0,23331.0
