,Actual_data,Predicted_data
2020-10-08,4588.0,4644.3335
2020-10-09,4600.0,4656.969
2020-10-10,4624.0,4650.1743
2020-10-11,4645.0,4700.918
2020-10-12,4675.0,4734.346
2020-10-13,4713.0,4745.4023
2020-10-14,4744.0,4784.0366
2020-10-15,4752.0,4802.1797
2020-10-16,4769.0,4793.0317
2020-10-17,4801.0,4826.1934
2020-10-18,4851.0,4882.6343
2020-10-19,4869.0,4926.405
2020-10-20,4897.0,4899.8423
2020-10-21,4921.0,4916.8027
2020-10-22,4988.0,4976.147
2020-10-23,5091.0,5037.919
2020-10-24,5126.0,5199.0327
2020-10-25,5153.0,5202.955
2020-10-26,5220.0,5147.5083
2020-10-27,5255.0,5262.651
2020-10-28,5286.0,5299.9756
2020-10-29,5344.0,5285.034
2020-10-30,5376.0,5377.263
2020-10-31,5403.0,5390.3896
2020-11-01,5441.0,5398.2656
2020-11-02,5482.0,5473.8477
2020-11-03,5509.0,5519.2183
2020-11-04,5552.0005,5511.589
2020-11-05,5579.0,5574.68
2020-11-06,5626.0,5583.961
2020-11-07,5647.0005,5648.3
2020-11-08,5672.0005,5631.0493
2020-11-09,5694.0,5681.14
2020-11-10,5727.0005,5725.077
2020-11-11,5780.0005,5771.5957
2020-11-12,5815.0,5836.1772
2020-11-13,5862.0005,5811.3726
2020-11-14,5911.0,5880.809
2020-11-15,5956.0,5952.378
2020-11-16,5998.0,5987.9907
2020-11-17,6050.0,6034.5117
2020-11-18,6137.0005,6113.1543
2020-11-19,6201.0,6230.0674
2020-11-20,6274.0,6234.629
2020-11-21,6367.0005,6315.2456
2020-11-22,6442.0005,6459.059
2020-11-23,6518.0,6508.1665
2020-11-24,6599.0,6591.231
2020-11-25,6681.0,6701.24
2020-11-26,6864.0005,6784.926
2020-11-27,6981.0,7065.439
2020-11-28,7106.0,7095.4517
2020-11-29,7200.0,7153.721
2020-11-30,7277.0005,7289.675
2020-12-01,7373.0,7358.343
2020-12-02,7517.0005,7479.6343
2020-12-03,7658.0,7640.9253
2020-12-04,7818.0,7769.43
2020-12-05,7975.0,7928.071
2020-12-06,8159.0005,8107.3096
2020-12-07,8315.0,8307.272
2020-12-08,8472.0,8494.341
2020-12-09,8691.0,8662.288
2020-12-10,8906.0,8902.979
2020-12-11,9135.0,9126.657
2020-12-12,9407.0,9373.515
2020-12-13,9738.0,9645.454
2020-12-14,9964.0,10006.343
2020-12-15,10252.0,10367.977
2020-12-16,10581.0,10623.372
2020-12-17,10872.0,10883.679
2020-12-18,11175.0,11150.316
2020-12-19,11449.0,11432.608
2020-12-20,11698.0,11665.998
2020-12-21,11942.0,11920.763
2020-12-22,12146.0,12104.93
2020-12-23,12455.0,12387.699
2020-12-24,12739.999,12838.749
2020-12-25,13003.0,12961.668
2020-12-26,13258.0,13274.573
2020-12-27,13499.0,13473.352
2020-12-28,13692.0,13677.135
2020-12-29,13948.0,13997.888
2020-12-30,14225.0,14213.973
2020-12-31,14449.999,14435.6
2021-01-01,14733.999,14751.177
2021-01-02,14960.999,15073.268
2021-01-03,15165.0,15288.57
2021-01-04,15433.999,15526.117
2021-01-05,15663.0,15752.862
2021-01-06,15946.999,15927.615
2021-01-07,16250.0,16271.451
2021-01-08,16508.0,16383.453
2021-01-09,16719.0,16551.959
2021-01-10,16911.0,16898.094
2021-01-11,17058.0,17033.133
2021-01-12,17233.0,17264.459
2021-01-13,17433.998,17378.525
2021-01-14,17605.0,17574.213
2021-01-15,17791.0,17766.4
2021-01-16,17959.0,17919.34
2021-01-17,18133.998,18058.354
2021-01-18,18239.0,18206.158
2021-01-19,18378.0,18560.79
2021-01-20,18517.0,18601.814
2021-01-21,18655.0,18710.879
2021-01-22,18771.0,18790.346
2021-01-23,18888.0,18905.93
2021-01-24,18987.0,18998.467
2021-01-25,19064.0,19120.52
2021-01-26,19141.0,19276.484
2021-01-27,19290.998,19355.521
2021-01-28,19409.0,19568.367
2021-01-29,19544.0,19706.92
2021-01-30,19690.0,19710.96
2021-01-31,19803.0,19757.684
2021-02-01,19895.0,19887.14
2021-02-02,19977.0,19994.852
2021-02-03,20088.0,20107.596
2021-02-04,20222.0,20263.424
2021-02-05,20336.0,20380.785
2021-02-06,20447.0,20408.758
2021-02-07,20559.0,20478.22
2021-02-08,20642.0,20616.008
2021-02-09,20768.0,20728.744
2021-02-10,20937.0,20934.215
2021-02-11,21125.0,21090.234
2021-02-12,21230.0,21175.926
2021-02-13,21329.0,21320.98
2021-02-14,21409.0,21389.176
2021-02-15,21511.0,21504.652
2021-02-16,21645.0,21648.373
2021-02-17,21799.0,21812.117
2021-02-18,22040.0,21840.05
2021-02-19,22229.0,22122.94
2021-02-20,22399.0,21917.854
2021-02-21,22570.0,21996.076
2021-02-22,22691.0,22201.693
2021-02-23,22818.0,22308.646
2021-02-24,22961.002,22530.889
2021-02-25,23099.0,22717.764
2021-02-26,23240.0,22974.203
2021-02-27,23409.0,23213.375
2021-02-28,23550.0,23404.121
2021-03-01,23710.0,23556.783
