,Actual_data,Predicted_data
2020-12-29,13948.0,13498.019
2020-12-30,14225.0,13803.161
2020-12-31,14450.0,13917.961
2021-01-01,14734.0,14374.598
2021-01-02,14961.0,14584.801
2021-01-03,15164.999,15141.139
2021-01-04,15434.0,15247.535
2021-01-05,15663.0,15715.635
2021-01-06,15946.999,15947.619
2021-01-07,16250.0,16105.161
2021-01-08,16508.0,16295.503
2021-01-09,16719.0,16927.992
2021-01-10,16911.0,17330.408
2021-01-11,17058.0,17795.9
2021-01-12,17233.0,18083.162
2021-01-13,17434.0,18008.086
2021-01-14,17605.0,17922.0
2021-01-15,17791.0,18062.117
2021-01-16,17959.0,18105.52
2021-01-17,18134.0,18391.08
2021-01-18,18239.0,18539.688
2021-01-19,18378.0,18292.666
2021-01-20,18517.0,18653.09
2021-01-21,18655.0,18894.455
2021-01-22,18771.0,18963.365
2021-01-23,18888.0,18985.537
2021-01-24,18987.0,19170.53
2021-01-25,19064.0,19182.238
2021-01-26,19141.0,19061.205
2021-01-27,19291.0,19264.816
2021-01-28,19409.0,19477.975
2021-01-29,19544.0,19598.91
2021-01-30,19690.0,19820.791
2021-01-31,19803.0,20070.898
2021-02-01,19895.0,20034.09
2021-02-02,19977.0,19967.186
2021-02-03,20088.0,20028.855
2021-02-04,20222.0,20300.637
2021-02-05,20336.0,20487.008
2021-02-06,20447.0,20525.768
2021-02-07,20559.002,20642.42
2021-02-08,20642.0,20796.64
2021-02-09,20768.0,20540.342
2021-02-10,20937.0,20810.207
2021-02-11,21125.0,21105.041
2021-02-12,21230.0,21369.65
2021-02-13,21329.0,20927.291
2021-02-14,21409.0,21337.28
2021-02-15,21511.0,21386.385
2021-02-16,21645.0,21556.572
2021-02-17,21799.0,21825.072
2021-02-18,22039.998,22030.857
2021-02-19,22228.998,22359.643
2021-02-20,22399.0,22617.262
2021-02-21,22570.0,23010.525
2021-02-22,22690.998,23331.984
2021-02-23,22818.0,23033.287
2021-02-24,22961.0,23030.578
2021-02-25,23099.0,23188.08
2021-02-26,23240.0,23254.6
2021-02-27,23409.0,23339.244
2021-02-28,23550.0,23548.932
2021-03-01,23710.0,23676.602
2021-03-02,23825.998,23837.951
2021-03-03,24052.998,23696.16
2021-03-04,24239.0,23925.432
2021-03-05,24412.0,24386.39
2021-03-06,24585.0,24925.115
2021-03-07,24757.0,25161.35
2021-03-08,24885.0,25331.512
2021-03-09,25073.0,25023.123
2021-03-10,25276.0,25125.766
2021-03-11,25460.0,25638.86
2021-03-12,25626.0,25948.354
2021-03-13,25790.0,26022.64
2021-03-14,25993.0,26232.068
2021-03-15,26154.0,26414.559
2021-03-16,26301.998,26402.465
2021-03-17,26488.0,26483.959
2021-03-18,26647.0,26783.111
2021-03-19,26804.0,26893.514
2021-03-20,26993.0,26963.637
2021-03-21,27150.0,27246.707
2021-03-22,27300.998,27326.299
2021-03-23,27425.0,27393.791
2021-03-24,27578.998,27326.504
2021-03-25,27726.0,27500.484
2021-03-26,27922.0,27779.51
2021-03-27,28067.0,27918.037
2021-03-28,28220.0,27890.775
2021-03-29,28350.998,28193.723
2021-03-30,28468.0,28343.887
2021-03-31,28579.0,28250.566
2021-04-01,28709.0,28309.562
2021-04-02,28869.0,28575.922
2021-04-03,29016.0,28910.445
2021-04-04,29166.0,29091.582
2021-04-05,29277.0,29192.611
2021-04-06,29383.998,28865.736
2021-04-07,29559.0,28969.572
2021-04-08,29789.0,29271.547
2021-04-09,29992.0,29959.898
2021-04-10,30194.0,30245.504
2021-04-11,30380.0,30522.537
2021-04-12,30556.0,30859.336
2021-04-13,30724.0,30947.684
2021-04-14,30962.0,31036.496
2021-04-15,31186.0,31112.44
2021-04-16,31407.0,31454.133
2021-04-17,31616.0,31677.959
2021-04-18,31800.0,31926.203
2021-04-19,31946.0,32061.334
2021-04-20,32135.0,31887.305
2021-04-21,32368.998,32266.422
2021-04-22,32591.002,32706.537
2021-04-23,32889.0,32695.729
2021-04-24,33133.004,32818.816
2021-04-25,33324.004,32437.291
2021-04-26,33474.0,32742.744
2021-04-27,33669.0,33206.23
2021-04-28,33863.004,33855.305
2021-04-29,34045.004,34282.035
2021-04-30,34196.0,34075.98
2021-05-01,34386.0,34007.504
2021-05-02,34531.0,34391.465
2021-05-03,34661.0,34278.223
2021-05-04,34785.0,34352.195
2021-05-05,34953.004,34962.504
2021-05-06,35095.0,35189.32
2021-05-07,35234.0,35405.758
2021-05-08,35428.0,35367.203
2021-05-09,35577.004,35656.53
2021-05-10,35714.0,35430.152
2021-05-11,35851.0,35493.094
2021-05-12,36038.0,36230.11
2021-05-13,36264.004,36225.34
2021-05-14,36437.0,36412.85
2021-05-15,36607.0,35485.105
2021-05-16,36768.0,36060.094
2021-05-17,36918.0,36750.086
2021-05-18,37055.0,36660.793
2021-05-19,37219.0,36625.023
2021-05-20,37406.0,37060.617
2021-05-21,37570.0,36946.68
2021-05-22,37735.0,36955.8
