,Actual_data,Predicted_data
2020-10-08,295.0,295.10986
2020-10-09,296.0,296.75287
2020-10-10,296.0,296.77783
2020-10-11,296.0,295.4572
2020-10-12,296.99997,293.15106
2020-10-13,296.99997,295.63815
2020-10-14,296.99997,293.0775
2020-10-15,296.99997,293.39285
2020-10-16,296.99997,295.55505
2020-10-17,299.0,295.18085
2020-10-18,299.0,296.7606
2020-10-19,300.0,297.30682
2020-10-20,301.0,298.99927
2020-10-21,301.0,299.4661
2020-10-22,301.0,298.77887
2020-10-23,301.0,298.89584
2020-10-24,301.0,296.18994
2020-10-25,303.0,298.7825
2020-10-26,306.0,299.97748
2020-10-27,310.99997,303.35138
2020-10-28,313.99997,309.28732
2020-10-29,313.99997,309.2642
2020-10-30,315.0,307.2486
2020-10-31,316.0,307.18527
2020-11-01,318.0,308.49646
2020-11-02,319.0,310.61
2020-11-03,320.0,310.6301
2020-11-04,320.0,312.01498
2020-11-05,325.0,313.04562
2020-11-06,338.0,320.32544
2020-11-07,343.0,337.8296
2020-11-08,353.0,339.5031
2020-11-09,356.99997,354.07376
2020-11-10,359.0,352.26144
2020-11-11,370.0,353.0003
2020-11-12,373.99997,371.4637
2020-11-13,376.99997,375.80276
2020-11-14,381.0,379.6785
2020-11-15,384.0,384.14423
2020-11-16,388.0,390.20343
2020-11-17,390.99997,391.08035
2020-11-18,399.99997,393.2666
2020-11-19,428.0,415.10626
2020-11-20,446.0,441.23398
2020-11-21,457.0,454.96875
2020-11-22,476.0,465.23
2020-11-23,478.0,482.65924
2020-11-24,481.0,479.61548
2020-11-25,492.0,491.72903
2020-11-26,537.0,523.37994
2020-11-27,575.99994,565.8626
2020-11-28,590.0,589.90607
2020-11-29,605.0,600.754
2020-11-30,624.99994,619.6103
2020-12-01,636.0,635.37683
2020-12-02,643.0,645.1992
2020-12-03,655.99994,653.9541
2020-12-04,672.0,673.57623
2020-12-05,699.0,694.28613
2020-12-06,715.0,715.1187
2020-12-07,731.0,730.59753
2020-12-08,744.0,744.6947
2020-12-09,773.0,764.5196
2020-12-10,789.0,791.5876
2020-12-11,801.0,800.8039
2020-12-12,818.0,817.5945
2020-12-13,842.0,843.5058
2020-12-14,870.0,863.98804
2020-12-15,886.0,888.4859
2020-12-16,905.0,909.55664
2020-12-17,935.0,935.409
2020-12-18,979.0,972.2693
2020-12-19,1011.0,1017.012
2020-12-20,1062.0,1053.0776
2020-12-21,1077.0,1081.551
2020-12-22,1095.0,1094.9963
2020-12-23,1124.0,1116.091
2020-12-24,1145.0,1144.1182
2020-12-25,1160.0,1161.9218
2020-12-26,1182.0,1182.6924
2020-12-27,1226.0,1218.5308
2020-12-28,1251.0,1250.1875
2020-12-29,1267.0,1264.6417
2020-12-30,1303.0,1297.1946
2020-12-31,1325.0,1326.4517
2021-01-01,1360.0,1349.0958
2021-01-02,1397.0,1385.1315
2021-01-03,1409.0,1403.5355
2021-01-04,1442.0,1432.7395
2021-01-05,1463.0,1461.8184
2021-01-06,1492.0,1483.1688
2021-01-07,1512.0,1505.9407
2021-01-08,1534.0,1520.362
2021-01-09,1560.0,1551.2456
2021-01-10,1579.0,1569.8688
2021-01-11,1592.0,1585.5122
2021-01-12,1647.0,1632.6664
2021-01-13,1689.0,1673.2468
2021-01-14,1705.0,1699.3009
2021-01-15,1727.0,1719.8643
2021-01-16,1747.0,1739.3727
2021-01-17,1765.0,1761.0776
2021-01-18,1787.0,1783.7458
2021-01-19,1798.0,1792.8394
2021-01-20,1817.0,1810.5562
2021-01-21,1833.0,1826.8046
2021-01-22,1854.0,1852.0868
2021-01-23,1886.0,1881.4803
2021-01-24,1903.0,1902.1749
2021-01-25,1914.0,1924.5781
2021-01-26,1926.0,1934.2971
2021-01-27,1947.0,1950.5292
2021-01-28,1966.0,1969.0626
2021-01-29,1981.0,1985.0614
2021-01-30,1993.0,1999.1152
2021-01-31,2011.0,2010.3672
2021-02-01,2015.0,2023.0941
2021-02-02,2025.9999,2025.7076
2021-02-03,2034.0,2042.1898
2021-02-04,2041.9999,2049.4563
2021-02-05,2047.9999,2059.8547
2021-02-06,2060.0,2069.211
2021-02-07,2064.0,2076.8108
2021-02-08,2068.0,2081.543
2021-02-09,2075.0,2088.0242
2021-02-10,2084.0,2092.6174
2021-02-11,2089.0,2100.1387
2021-02-12,2093.0,2105.4207
2021-02-13,2097.0,2098.321
2021-02-14,2103.0,2102.6282
2021-02-15,2106.0,2106.228
2021-02-16,2113.9998,2113.1443
2021-02-17,2122.0,2121.5625
2021-02-18,2128.9998,2126.7886
2021-02-19,2137.9998,2136.961
2021-02-20,2146.0,2142.6277
2021-02-21,2152.9998,2149.6782
2021-02-22,2158.9998,2155.766
2021-02-23,2164.0,2117.925
2021-02-24,2172.0,2117.8193
2021-02-25,2173.9998,2126.2722
2021-02-26,2179.9998,2104.6855
2021-02-27,2181.0,2112.5415
2021-02-28,2182.9998,2102.379
2021-03-01,2188.0,2092.6187
