,Actual_data,Predicted_data
2020-10-08,295.0,289.66754
2020-10-09,296.0,297.75104
2020-10-10,296.0,290.45996
2020-10-11,296.0,290.41058
2020-10-12,296.99997,294.3615
2020-10-13,296.99997,298.8659
2020-10-14,296.99997,295.40137
2020-10-15,296.99997,296.76627
2020-10-16,296.99997,297.50735
2020-10-17,299.0,297.56683
2020-10-18,299.0,302.63095
2020-10-19,300.0,294.94708
2020-10-20,301.0,300.32443
2020-10-21,301.0,300.9981
2020-10-22,301.0,299.04742
2020-10-23,301.0,301.49115
2020-10-24,301.0,302.4594
2020-10-25,303.0,302.74268
2020-10-26,306.0,307.99658
2020-10-27,310.99997,308.77005
2020-10-28,313.99997,312.42563
2020-10-29,313.99997,308.63275
2020-10-30,315.0,306.40298
2020-10-31,316.0,318.52414
2020-11-01,318.0,321.716
2020-11-02,319.0,325.29282
2020-11-03,320.0,322.16187
2020-11-04,320.0,324.10147
2020-11-05,325.0,322.96786
2020-11-06,338.0,335.74173
2020-11-07,343.0,348.2935
2020-11-08,353.0,339.363
2020-11-09,356.99997,353.94772
2020-11-10,359.0,355.7996
2020-11-11,370.0,366.12994
2020-11-12,373.99997,385.732
2020-11-13,376.99997,382.91638
2020-11-14,381.0,391.5206
2020-11-15,384.0,401.81476
2020-11-16,388.0,402.6582
2020-11-17,390.99997,407.71063
2020-11-18,399.99997,406.59402
2020-11-19,428.0,418.09366
2020-11-20,446.0,438.75504
2020-11-21,457.0,463.45447
2020-11-22,476.0,467.6583
2020-11-23,478.0,481.82248
2020-11-24,481.0,495.30426
2020-11-25,492.0,532.75037
2020-11-26,537.0,544.7869
2020-11-27,575.99994,593.7711
2020-11-28,590.0,599.43506
2020-11-29,605.0,606.6609
2020-11-30,624.99994,607.2614
2020-12-01,636.0,624.9428
2020-12-02,643.0,637.2676
2020-12-03,655.99994,651.4558
2020-12-04,672.0,670.3911
2020-12-05,699.0,685.0558
2020-12-06,715.0,702.3845
2020-12-07,731.0,716.7092
2020-12-08,744.0,735.66046
2020-12-09,773.0,756.0195
2020-12-10,789.0,774.5093
2020-12-11,801.0,794.6206
2020-12-12,818.0,820.0055
2020-12-13,842.0,846.31885
2020-12-14,870.0,870.90295
2020-12-15,886.0,900.3571
2020-12-16,905.0,914.6794
2020-12-17,935.0,943.03937
2020-12-18,979.0,970.9406
2020-12-19,1011.0,1018.6954
2020-12-20,1062.0,1045.1552
2020-12-21,1077.0,1084.266
2020-12-22,1095.0,1093.139
2020-12-23,1124.0,1126.6199
2020-12-24,1145.0,1137.544
2020-12-25,1160.0,1155.1244
2020-12-26,1182.0,1179.187
2020-12-27,1226.0,1213.8635
2020-12-28,1251.0,1249.1483
2020-12-29,1267.0,1276.2716
2020-12-30,1303.0,1306.9656
2020-12-31,1325.0,1332.0178
2021-01-01,1360.0,1356.7659
2021-01-02,1397.0,1377.9165
2021-01-03,1409.0,1404.2096
2021-01-04,1442.0,1430.049
2021-01-05,1463.0,1469.1559
2021-01-06,1492.0,1489.7291
2021-01-07,1512.0,1507.3164
2021-01-08,1534.0,1539.8014
2021-01-09,1560.0,1567.094
2021-01-10,1579.0,1593.5164
2021-01-11,1592.0,1625.519
2021-01-12,1647.0,1648.4464
2021-01-13,1689.0,1690.2697
2021-01-14,1705.0,1681.1493
2021-01-15,1727.0,1744.215
2021-01-16,1747.0,1749.2568
2021-01-17,1765.0,1764.5616
2021-01-18,1787.0,1786.042
2021-01-19,1798.0,1804.8439
2021-01-20,1817.0,1824.6936
2021-01-21,1833.0,1845.6232
2021-01-22,1854.0,1865.9363
2021-01-23,1886.0,1878.521
2021-01-24,1903.0,1877.6033
2021-01-25,1914.0,1922.5126
2021-01-26,1926.0,1929.462
2021-01-27,1947.0,1946.4479
2021-01-28,1966.0,1958.1819
2021-01-29,1981.0,1977.4067
2021-01-30,1993.0,1991.0071
2021-01-31,2011.0,2000.7932
2021-02-01,2015.0,2012.0972
2021-02-02,2025.9999,2010.1392
2021-02-03,2034.0,2033.9094
2021-02-04,2041.9999,2042.5321
2021-02-05,2047.9999,2049.9524
2021-02-06,2060.0,2054.1106
2021-02-07,2064.0,2065.475
2021-02-08,2068.0,2060.6504
2021-02-09,2075.0,2070.001
2021-02-10,2084.0,2083.3545
2021-02-11,2089.0,2091.233
2021-02-12,2093.0,2089.9397
2021-02-13,2097.0,2094.8281
2021-02-14,2103.0,2103.2522
2021-02-15,2106.0,2113.99
2021-02-16,2113.9998,2112.623
2021-02-17,2122.0,2126.4824
2021-02-18,2128.9998,2131.095
2021-02-19,2137.9998,2134.4216
2021-02-20,2146.0,2141.6096
2021-02-21,2152.9998,2147.2292
2021-02-22,2158.9998,2152.9983
2021-02-23,2164.0,2159.1594
2021-02-24,2172.0,2171.5593
2021-02-25,2173.9998,2179.3071
2021-02-26,2179.9998,2187.7727
2021-02-27,2181.0,2191.1807
2021-02-28,2182.9998,2194.7122
2021-03-01,2188.0,2200.6514
