,Actual_data,Predicted_data
2020-12-29,2378.0,2388.1133
2020-12-30,2401.0,2407.8232
2020-12-31,2424.0,2426.8286
2021-01-01,2448.0,2444.2583
2021-01-02,2468.0,2467.5183
2021-01-03,2482.0,2481.931
2021-01-04,2507.0,2505.3972
2021-01-05,2531.0,2533.0662
2021-01-06,2559.0,2555.9946
2021-01-07,2595.0,2586.1055
2021-01-08,2625.0,2617.3135
2021-01-09,2646.0,2642.775
2021-01-10,2665.0,2663.199
2021-01-11,2669.0,2674.525
2021-01-12,2677.0,2681.9136
2021-01-13,2700.0,2691.447
2021-01-14,2718.0,2717.152
2021-01-15,2741.0,2729.544
2021-01-16,2761.0,2760.4226
2021-01-17,2776.0,2774.0732
2021-01-18,2794.0,2790.136
2021-01-19,2803.0,2805.0654
2021-01-20,2810.0,2811.7656
2021-01-21,2818.0,2824.6958
2021-01-22,2833.0,2834.7234
2021-01-23,2851.0,2848.6262
2021-01-24,2859.0,2862.8323
2021-01-25,2874.0,2869.815
2021-01-26,2882.0,2889.9785
2021-01-27,2893.0,2901.1323
2021-01-28,2936.0,2932.0845
2021-01-29,2979.0,2971.6555
2021-01-30,3001.0002,2995.3845
2021-01-31,3017.0002,3018.4
2021-02-01,3022.0002,3022.159
2021-02-02,3032.0002,3024.902
2021-02-03,3044.0,3037.4817
2021-02-04,3050.0,3044.36
2021-02-05,3057.0,3050.0356
2021-02-06,3063.9998,3059.663
2021-02-07,3065.0,3065.2334
2021-02-08,3071.0,3071.7737
2021-02-09,3076.0,3077.7188
2021-02-10,3078.0,3082.8289
2021-02-11,3079.0002,3083.3174
2021-02-12,3083.0,3084.1162
2021-02-13,3088.0,3089.8806
2021-02-14,3093.0,3099.146
2021-02-15,3101.0,3101.107
2021-02-16,3104.0,3108.8613
2021-02-17,3119.0,3119.2046
2021-02-18,3142.0002,3141.4827
2021-02-19,3164.0,3165.082
2021-02-20,3183.0002,3185.1338
2021-02-21,3190.0,3195.201
2021-02-22,3201.0,3196.9126
2021-02-23,3209.0002,3209.824
2021-02-24,3227.0,3220.7031
2021-02-25,3236.0,3240.8008
2021-02-26,3242.0,3240.2537
2021-02-27,3249.0002,3240.3323
2021-02-28,3253.0,3248.3918
2021-03-01,3266.0,3256.6755
2021-03-02,3273.0,3270.1172
2021-03-03,3279.0,3273.2188
2021-03-04,3286.0002,3279.4565
2021-03-05,3292.0,3288.068
2021-03-06,3305.0,3296.6208
2021-03-07,3318.0,3314.8525
2021-03-08,3321.0002,3319.4805
2021-03-09,3323.0,3321.4456
2021-03-10,3327.0002,3326.8657
2021-03-11,3338.0002,3338.579
2021-03-12,3347.0002,3353.215
2021-03-13,3361.0,3356.2913
2021-03-14,3370.0,3366.4019
2021-03-15,3373.0002,3375.016
2021-03-16,3377.0,3375.1572
2021-03-17,3381.0,3376.2063
2021-03-18,3386.0,3382.1511
2021-03-19,3390.0,3385.8186
2021-03-20,3401.0,3393.349
2021-03-21,3406.0,3410.43
2021-03-22,3417.0,3422.385
2021-03-23,3437.0,3431.033
2021-03-24,3449.0,3449.0554
2021-03-25,3459.0,3456.8235
2021-03-26,3472.0002,3466.5737
2021-03-27,3483.0,3473.486
2021-03-28,3490.0,3489.3564
2021-03-29,3493.0002,3497.9788
2021-03-30,3498.0002,3499.87
2021-03-31,3504.0,3512.9795
2021-04-01,3511.0,3522.4084
2021-04-02,3541.0,3538.7114
2021-04-03,3558.0,3568.948
2021-04-04,3574.0002,3575.1133
2021-04-05,3594.0,3596.704
2021-04-06,3619.0,3608.201
2021-04-07,3628.0,3635.2625
2021-04-08,3639.0,3640.155
2021-04-09,3646.0,3649.133
2021-04-10,3672.0002,3660.7656
2021-04-11,3685.0,3683.9246
2021-04-12,3700.0,3693.006
2021-04-13,3710.0,3706.9595
2021-04-14,3724.0002,3712.5862
2021-04-15,3743.0,3731.7644
2021-04-16,3767.0,3757.5308
2021-04-17,3796.0002,3781.331
2021-04-18,3824.0,3807.6409
2021-04-19,3843.0002,3830.4705
2021-04-20,3864.0002,3851.1453
2021-04-21,3880.0002,3874.7375
2021-04-22,3903.0,3894.1287
2021-04-23,3925.0002,3921.1858
2021-04-24,3957.0002,3945.3782
2021-04-25,3981.0,3980.704
2021-04-26,4006.0,4009.161
2021-04-27,4028.0,4031.259
2021-04-28,4053.0,4052.8845
2021-04-29,4081.0002,4080.2522
2021-04-30,4110.0,4110.473
2021-05-01,4122.0,4136.2246
2021-05-02,4152.0,4150.8887
2021-05-03,4184.0,4178.1025
2021-05-04,4206.0,4209.3755
2021-05-05,4244.0,4224.624
2021-05-06,4266.0,4264.038
2021-05-07,4278.0,4276.0234
2021-05-08,4299.0,4297.3193
2021-05-09,4318.0,4315.88
2021-05-10,4337.0,4334.3364
2021-05-11,4352.0,4349.189
2021-05-12,4359.0,4357.436
2021-05-13,4382.0,4378.077
2021-05-14,4417.0,4412.332
2021-05-15,4436.0,4433.9316
2021-05-16,4447.0,4448.608
2021-05-17,4474.0,4453.445
2021-05-18,4497.0,4475.309
2021-05-19,4521.0,4485.415
2021-05-20,4554.0,4519.759
2021-05-21,4565.0,4545.3716
2021-05-22,4581.0,4540.629
