,Actual_data,Predicted_data
2020-10-08,1568.0,1543.1272
2020-10-09,1568.0,1548.5334
2020-10-10,1568.0,1551.4572
2020-10-11,1568.0,1554.3416
2020-10-12,1569.0,1556.8055
2020-10-13,1570.0,1558.686
2020-10-14,1570.0,1558.7031
2020-10-15,1571.0,1558.5818
2020-10-16,1571.0,1559.9908
2020-10-17,1571.0,1559.9097
2020-10-18,1571.0,1560.8446
2020-10-19,1573.0,1561.8163
2020-10-20,1575.0,1563.1481
2020-10-21,1577.0,1561.4037
2020-10-22,1578.0,1560.2609
2020-10-23,1578.0,1559.9651
2020-10-24,1578.0,1561.1508
2020-10-25,1578.0,1563.5984
2020-10-26,1581.0,1565.7488
2020-10-27,1581.0,1568.6844
2020-10-28,1586.0,1567.1715
2020-10-29,1587.0,1571.9429
2020-10-30,1587.0,1570.2369
2020-10-31,1587.0,1571.517
2020-11-01,1587.0,1574.807
2020-11-02,1588.0,1577.2222
2020-11-03,1588.0,1579.1509
2020-11-04,1590.0,1579.2148
2020-11-05,1590.0,1581.2081
2020-11-06,1591.0,1580.2397
2020-11-07,1591.0,1581.9373
2020-11-08,1593.0,1582.3154
2020-11-09,1594.0,1584.3778
2020-11-10,1595.0,1583.3032
2020-11-11,1595.0,1583.6946
2020-11-12,1596.0,1584.4696
2020-11-13,1596.0,1586.6675
2020-11-14,1596.0,1587.1425
2020-11-15,1598.0,1588.7308
2020-11-16,1612.0,1590.9943
2020-11-17,1615.0,1608.0017
2020-11-18,1631.0,1607.1315
2020-11-19,1639.0,1625.3347
2020-11-20,1649.0,1631.8859
2020-11-21,1657.0,1632.9565
2020-11-22,1663.0,1636.7812
2020-11-23,1667.0,1638.8356
2020-11-24,1676.0,1642.5552
2020-11-25,1679.0,1649.9805
2020-11-26,1681.0,1658.5555
2020-11-27,1684.0,1663.6641
2020-11-28,1689.0,1672.0181
2020-11-29,1700.0,1678.7205
2020-11-30,1704.0,1686.3733
2020-12-01,1715.0,1690.6655
2020-12-02,1720.0,1699.8733
2020-12-03,1731.0,1706.6855
2020-12-04,1740.0,1714.5653
2020-12-05,1757.0,1721.0765
2020-12-06,1768.0,1732.0472
2020-12-07,1777.0,1745.5297
2020-12-08,1782.0,1753.909
2020-12-09,1786.0,1764.2163
2020-12-10,1794.0,1774.0209
2020-12-11,1797.0,1786.8755
2020-12-12,1816.0,1796.9412
2020-12-13,1834.0,1830.6647
2020-12-14,1850.0,1841.3563
2020-12-15,1865.0001,1856.091
2020-12-16,1893.0,1867.6005
2020-12-17,1901.9999,1889.0139
2020-12-18,1933.0,1919.788
2020-12-19,1962.0,1960.5095
2020-12-20,1987.0,2002.447
2020-12-21,2035.0001,2038.1445
2020-12-22,2094.0,2082.6777
2020-12-23,2119.0,2135.1104
2020-12-24,2169.0,2182.9502
2020-12-25,2236.0,2231.8716
2020-12-26,2270.0,2280.9805
2020-12-27,2304.0002,2309.596
2020-12-28,2350.0,2360.395
2020-12-29,2378.0,2379.2244
2020-12-30,2401.0,2393.3582
2020-12-31,2424.0002,2425.6658
2021-01-01,2448.0,2448.4321
2021-01-02,2468.0,2475.2236
2021-01-03,2482.0002,2498.0435
2021-01-04,2507.0002,2516.6497
2021-01-05,2531.0,2549.9084
2021-01-06,2559.0,2569.063
2021-01-07,2595.0,2590.2998
2021-01-08,2625.0,2611.8809
2021-01-09,2646.0,2633.0674
2021-01-10,2665.0,2649.2659
2021-01-11,2669.0,2669.0867
2021-01-12,2677.0,2667.5103
2021-01-13,2700.0,2702.8171
2021-01-14,2718.0,2733.0813
2021-01-15,2741.0,2748.4307
2021-01-16,2761.0002,2766.1777
2021-01-17,2776.0,2776.9507
2021-01-18,2794.0,2789.618
2021-01-19,2803.0,2805.9565
2021-01-20,2810.0,2813.7908
2021-01-21,2818.0,2831.4478
2021-01-22,2833.0,2841.4214
2021-01-23,2851.0,2853.1387
2021-01-24,2859.0002,2867.187
2021-01-25,2874.0,2879.997
2021-01-26,2882.0,2900.6338
2021-01-27,2893.0,2910.0408
2021-01-28,2936.0,2925.1697
2021-01-29,2979.0,2970.6155
2021-01-30,3001.0,2997.6548
2021-01-31,3017.0,3010.195
2021-02-01,3022.0002,3043.7974
2021-02-02,3032.0,3037.0586
2021-02-03,3044.0,3057.1057
2021-02-04,3050.0,3063.037
2021-02-05,3057.0,3065.661
2021-02-06,3064.0,3069.7495
2021-02-07,3065.0,3068.7095
2021-02-08,3071.0,3069.5088
2021-02-09,3076.0,3070.3662
2021-02-10,3078.0,3073.8125
2021-02-11,3079.0,3080.1572
2021-02-12,3083.0,3083.5608
2021-02-13,3088.0,3083.612
2021-02-14,3093.0,3090.4387
2021-02-15,3101.0,3100.6143
2021-02-16,3104.0,3108.2708
2021-02-17,3119.0,3124.2937
2021-02-18,3142.0,3126.6543
2021-02-19,3164.0,3143.012
2021-02-20,3183.0,3173.5918
2021-02-21,3190.0,3196.1575
2021-02-22,3201.0,3206.5254
2021-02-23,3209.0,3226.6436
2021-02-24,3227.0,3251.6238
2021-02-25,3236.0002,3255.203
2021-02-26,3242.0,3264.393
2021-02-27,3249.0,3267.907
2021-02-28,3253.0,3272.6643
2021-03-01,3266.0,3275.7148
