,Actual_data,Predicted_data
2020-10-08,496.0,499.83517
2020-10-09,496.0,496.12753
2020-10-10,496.0,496.07993
2020-10-11,496.0,496.1899
2020-10-12,497.0,497.92746
2020-10-13,498.99997,496.19974
2020-10-14,498.99997,495.51944
2020-10-15,498.99997,495.2057
2020-10-16,498.99997,499.95874
2020-10-17,499.99997,496.03894
2020-10-18,499.99997,498.88663
2020-10-19,502.0,498.79712
2020-10-20,502.0,497.65915
2020-10-21,503.0,497.1354
2020-10-22,503.0,496.66656
2020-10-23,509.00003,500.70148
2020-10-24,509.00003,504.01132
2020-10-25,509.00003,502.59293
2020-10-26,509.00003,502.413
2020-10-27,509.00003,505.84787
2020-10-28,509.00003,504.8423
2020-10-29,511.0,506.9096
2020-10-30,511.0,504.16214
2020-10-31,511.0,507.87866
2020-11-01,514.0,508.8092
2020-11-02,514.0,515.45996
2020-11-03,516.0,513.2798
2020-11-04,516.0,516.02325
2020-11-05,516.0,518.908
2020-11-06,516.0,518.188
2020-11-07,516.0,516.9276
2020-11-08,518.0,519.4981
2020-11-09,519.0,525.1284
2020-11-10,524.0,524.5101
2020-11-11,528.0,526.47815
2020-11-12,534.0,528.85547
2020-11-13,539.0,536.93036
2020-11-14,547.0,543.6551
2020-11-15,556.0,548.9494
2020-11-16,559.99994,560.36597
2020-11-17,578.0,565.9594
2020-11-18,587.0,581.82855
2020-11-19,595.0,593.1632
2020-11-20,599.0,604.49896
2020-11-21,606.0,605.1313
2020-11-22,614.0,611.64966
2020-11-23,615.0,621.9479
2020-11-24,618.0,621.1174
2020-11-25,632.0,624.58295
2020-11-26,646.0,639.9774
2020-11-27,659.0,655.2781
2020-11-28,675.0,670.6485
2020-11-29,683.0,682.8909
2020-11-30,696.0,695.0964
2020-12-01,718.0,709.2327
2020-12-02,728.0,720.9905
2020-12-03,730.99994,731.8892
2020-12-04,731.99994,737.8605
2020-12-05,737.99994,742.4723
2020-12-06,743.0,745.2957
2020-12-07,748.0,744.94507
2020-12-08,759.0,757.91626
2020-12-09,767.99994,768.62555
2020-12-10,773.0,773.1718
2020-12-11,775.99994,779.1796
2020-12-12,785.0,781.39856
2020-12-13,800.0,790.56354
2020-12-14,822.0,802.43945
2020-12-15,826.99994,823.2085
2020-12-16,829.0,830.0201
2020-12-17,839.0,834.5997
2020-12-18,842.99994,841.0119
2020-12-19,852.0,845.76013
2020-12-20,866.0,860.27185
2020-12-21,878.99994,878.48267
2020-12-22,905.0,900.74854
2020-12-23,941.0,936.08356
2020-12-24,956.00006,964.0112
2020-12-25,992.0,987.28827
2020-12-26,1020.0,1022.13385
2020-12-27,1037.0,1037.1108
2020-12-28,1049.0,1049.7532
2020-12-29,1064.0,1062.7378
2020-12-30,1073.0,1077.371
2020-12-31,1081.0001,1085.2797
2021-01-01,1098.0,1101.0895
2021-01-02,1111.0,1116.8801
2021-01-03,1137.0,1138.8953
2021-01-04,1211.0,1191.7411
2021-01-05,1234.0,1236.8126
2021-01-06,1264.0,1257.064
2021-01-07,1292.0,1289.0773
2021-01-08,1313.0,1309.2758
2021-01-09,1319.0,1317.7783
2021-01-10,1340.0,1334.6222
2021-01-11,1364.0,1355.5425
2021-01-12,1371.0,1364.5714
2021-01-13,1375.0,1372.5255
2021-01-14,1406.0,1395.9304
2021-01-15,1412.0,1412.7528
2021-01-16,1418.0,1418.3329
2021-01-17,1433.0,1437.255
2021-01-18,1444.0,1439.9768
2021-01-19,1452.0,1450.883
2021-01-20,1463.0,1462.4393
2021-01-21,1468.9999,1467.2207
2021-01-22,1471.0,1469.394
2021-01-23,1478.0,1472.9648
2021-01-24,1495.0,1494.7522
2021-01-25,1511.0,1506.6008
2021-01-26,1523.0,1526.9341
2021-01-27,1635.0,1626.3284
2021-01-28,1679.0,1669.1835
2021-01-29,1733.0,1722.8726
2021-01-30,1766.0,1762.2931
2021-01-31,1783.0,1782.4695
2021-02-01,1815.0,1809.722
2021-02-02,1838.9999,1832.3368
2021-02-03,1845.0,1839.5875
2021-02-04,1857.0,1850.8771
2021-02-05,1871.0,1865.1276
2021-02-06,1882.9999,1876.4586
2021-02-07,1893.0,1879.4956
2021-02-08,1900.0,1893.686
2021-02-09,1908.0001,1904.6766
2021-02-10,1922.0001,1916.3076
2021-02-11,1935.0,1931.6035
2021-02-12,1941.0,1930.8798
2021-02-13,1944.0001,1938.6168
2021-02-14,1946.0,1940.5522
2021-02-15,1949.0,1942.8296
2021-02-16,1951.0001,1945.0626
2021-02-17,1954.0001,1948.3541
2021-02-18,1970.0,1963.7893
2021-02-19,1974.0,1968.2875
2021-02-20,1979.0001,1973.8568
2021-02-21,1985.0,1978.7109
2021-02-22,1990.0001,1983.9973
2021-02-23,1997.0001,1919.8221
2021-02-24,2032.0001,1919.2352
2021-02-25,2047.0,1915.1937
2021-02-26,2058.0,1912.5787
2021-02-27,2070.0002,1904.7094
2021-02-28,2084.0,1912.911
2021-03-01,2092.0,1895.1495
