,Actual_data,Predicted_data
2020-12-29,1064.0,1043.1945
2020-12-30,1073.0,1053.3633
2020-12-31,1081.0,1069.5529
2021-01-01,1098.0,1078.7095
2021-01-02,1110.9999,1114.9564
2021-01-03,1136.9999,1135.2667
2021-01-04,1211.0,1183.3972
2021-01-05,1234.0,1225.7632
2021-01-06,1264.0,1288.7031
2021-01-07,1291.9999,1299.8323
2021-01-08,1312.9999,1308.3629
2021-01-09,1319.0,1330.9921
2021-01-10,1340.0,1354.465
2021-01-11,1363.9999,1362.582
2021-01-12,1371.0,1370.7847
2021-01-13,1375.0,1389.9799
2021-01-14,1405.9999,1384.2496
2021-01-15,1412.0,1407.1138
2021-01-16,1417.9999,1412.9572
2021-01-17,1433.0,1395.6919
2021-01-18,1444.0,1401.9639
2021-01-19,1451.9999,1411.573
2021-01-20,1463.0,1429.6249
2021-01-21,1468.9999,1458.8192
2021-01-22,1471.0,1477.0321
2021-01-23,1478.0,1491.5691
2021-01-24,1495.0,1523.7646
2021-01-25,1510.9999,1576.7036
2021-01-26,1522.9999,1591.5942
2021-01-27,1635.0,1606.56
2021-01-28,1678.9999,1677.975
2021-01-29,1732.9999,1718.3257
2021-01-30,1765.9999,1777.2855
2021-01-31,1782.9999,1774.4772
2021-02-01,1815.0,1813.9211
2021-02-02,1839.0,1842.8376
2021-02-03,1845.0,1852.7749
2021-02-04,1857.0,1867.2109
2021-02-05,1870.9999,1874.5435
2021-02-06,1883.0,1885.4277
2021-02-07,1892.9999,1892.1106
2021-02-08,1900.0,1896.691
2021-02-09,1908.0,1900.3213
2021-02-10,1921.9999,1902.9875
2021-02-11,1934.9999,1906.8516
2021-02-12,1941.0,1917.5985
2021-02-13,1943.9999,1925.0266
2021-02-14,1946.0,1929.5405
2021-02-15,1949.0,1932.6998
2021-02-16,1950.9999,1937.6584
2021-02-17,1954.0,1939.1699
2021-02-18,1970.0,1945.8949
2021-02-19,1974.0,1972.0831
2021-02-20,1979.0,1963.8981
2021-02-21,1984.9999,1985.1969
2021-02-22,1989.9999,1996.1154
2021-02-23,1996.9999,2003.8767
2021-02-24,2031.9999,2020.5399
2021-02-25,2047.0,2041.2816
2021-02-26,2058.0,2039.1726
2021-02-27,2070.0,2062.856
2021-02-28,2084.0,2073.6875
2021-03-01,2092.0,2084.7742
2021-03-02,2096.0,2092.2817
2021-03-03,2099.0,2100.261
2021-03-04,2105.0,2106.4414
2021-03-05,2111.0,2117.446
2021-03-06,2114.0,2124.8071
2021-03-07,2118.0,2126.1711
2021-03-08,2133.0,2135.663
2021-03-09,2166.0,2158.3623
2021-03-10,2167.0,2159.4666
2021-03-11,2168.0,2153.588
2021-03-12,2170.0,2188.7231
2021-03-13,2173.0,2175.3157
2021-03-14,2174.0,2168.4692
2021-03-15,2175.0,2161.3472
2021-03-16,2177.0002,2161.3481
2021-03-17,2178.0,2163.768
2021-03-18,2179.0,2162.9678
2021-03-19,2181.0,2165.709
2021-03-20,2182.0,2170.6162
2021-03-21,2184.0,2170.3352
2021-03-22,2186.0,2176.114
2021-03-23,2187.0,2178.3987
2021-03-24,2189.0,2178.133
2021-03-25,2194.0,2182.5464
2021-03-26,2197.0,2192.4543
2021-03-27,2202.0,2192.2942
2021-03-28,2204.0,2203.237
2021-03-29,2206.0,2199.814
2021-03-30,2207.0,2204.8398
2021-03-31,2209.0,2203.3208
2021-04-01,2212.0,2207.0542
2021-04-02,2213.0,2210.559
2021-04-03,2216.0,2208.331
2021-04-04,2220.0,2216.5413
2021-04-05,2220.0,2221.2861
2021-04-06,2226.0,2213.7522
2021-04-07,2228.0,2230.7354
2021-04-08,2228.0,2224.0923
2021-04-09,2233.0,2222.5962
2021-04-10,2234.0,2233.95
2021-04-11,2234.0,2225.648
2021-04-12,2238.0,2225.368
2021-04-13,2247.0,2233.915
2021-04-14,2252.0,2249.1816
2021-04-15,2256.0,2252.4956
2021-04-16,2267.0,2258.522
2021-04-17,2271.0,2273.7627
2021-04-18,2284.0,2271.9817
2021-04-19,2295.0002,2292.8767
2021-04-20,2299.0,2306.328
2021-04-21,2316.0002,2307.142
2021-04-22,2325.0,2322.2295
2021-04-23,2341.0,2335.9187
2021-04-24,2356.0,2354.0276
2021-04-25,2364.0,2373.4424
2021-04-26,2379.0002,2382.1084
2021-04-27,2385.0,2388.3867
2021-04-28,2397.0,2393.194
2021-04-29,2405.0,2405.0332
2021-04-30,2409.0,2414.4922
2021-05-01,2413.0,2414.3438
2021-05-02,2428.0,2417.017
2021-05-03,2433.0,2426.2263
2021-05-04,2437.0,2442.7476
2021-05-05,2445.0,2447.9956
2021-05-06,2453.0,2453.0566
2021-05-07,2474.0,2465.273
2021-05-08,2479.0,2471.3936
2021-05-09,2485.0,2480.2568
2021-05-10,2494.0,2467.1982
2021-05-11,2518.0,2468.3652
2021-05-12,2540.0,2452.7764
2021-05-13,2563.0,2507.3694
2021-05-14,2574.0,2519.0627
2021-05-15,2585.0,2552.1436
2021-05-16,2599.0,2552.6738
2021-05-17,2626.0,2568.969
2021-05-18,2637.0,2577.2615
2021-05-19,2641.0,2597.6528
2021-05-20,2656.0,2615.758
2021-05-21,2669.0,2630.4702
2021-05-22,2684.0,2639.1917
