,Actual_data,Predicted_data
2020-12-29,819.0,817.8855
2020-12-30,838.0,837.3841
2020-12-31,845.00006,846.12195
2021-01-01,856.0,856.06445
2021-01-02,860.0,861.29333
2021-01-03,868.0,865.71686
2021-01-04,874.0,875.67645
2021-01-05,882.0,880.8505
2021-01-06,891.0,890.47784
2021-01-07,900.00006,897.37054
2021-01-08,908.0,906.4449
2021-01-09,913.00006,910.45483
2021-01-10,917.0,915.9158
2021-01-11,917.99994,921.93176
2021-01-12,925.0,921.8225
2021-01-13,934.0,930.72186
2021-01-14,937.0,936.4081
2021-01-15,940.0,940.104
2021-01-16,945.0,941.1809
2021-01-17,947.99994,946.5538
2021-01-18,950.0,950.8701
2021-01-19,957.0,957.311
2021-01-20,958.0,956.2549
2021-01-21,958.0,958.8804
2021-01-22,959.0,959.0047
2021-01-23,960.00006,958.7098
2021-01-24,960.00006,961.98157
2021-01-25,1085.0,1055.6208
2021-01-26,1089.0,1088.8376
2021-01-27,1090.0,1089.3904
2021-01-28,1094.0,1093.5128
2021-01-29,1095.0,1094.2484
2021-01-30,1097.0,1095.9175
2021-01-31,1097.0,1097.8745
2021-02-01,1098.0,1099.5922
2021-02-02,1098.0,1101.4371
2021-02-03,1105.0,1103.2334
2021-02-04,1107.0,1106.255
2021-02-05,1107.0,1109.7083
2021-02-06,1115.0,1117.3031
2021-02-07,1121.0,1119.7845
2021-02-08,1125.0,1128.8433
2021-02-09,1127.0,1130.1934
2021-02-10,1127.0,1126.0687
2021-02-11,1130.0,1130.5887
2021-02-12,1131.0,1131.5775
2021-02-13,1136.0,1134.81
2021-02-14,1138.0,1134.3589
2021-02-15,1146.0,1144.6655
2021-02-16,1150.0,1150.0144
2021-02-17,1157.0,1159.5894
2021-02-18,1169.0,1167.5637
2021-02-19,1173.0,1173.1815
2021-02-20,1175.0,1174.8042
2021-02-21,1175.0,1177.7057
2021-02-22,1178.0,1177.3452
2021-02-23,1179.0,1176.9077
2021-02-24,1181.0,1177.6393
2021-02-25,1181.0,1183.8441
2021-02-26,1187.0,1183.3707
2021-02-27,1189.0,1192.323
2021-02-28,1190.0,1189.1865
2021-03-01,1190.0,1189.4027
2021-03-02,1191.0,1192.1068
2021-03-03,1193.0,1196.8223
2021-03-04,1196.0,1190.0956
2021-03-05,1196.0,1194.4358
2021-03-06,1196.0,1197.6857
2021-03-07,1197.0,1200.6127
2021-03-08,1197.0,1195.4313
2021-03-09,1198.0,1197.3916
2021-03-10,1201.0,1198.9856
2021-03-11,1202.0,1199.4216
2021-03-12,1202.0,1201.4023
2021-03-13,1203.0,1201.1505
2021-03-14,1203.0,1203.8411
2021-03-15,1205.0,1204.1124
2021-03-16,1206.0,1204.1079
2021-03-17,1207.0,1204.7041
2021-03-18,1209.0,1208.7957
2021-03-19,1216.0,1212.8463
2021-03-20,1224.0,1219.2792
2021-03-21,1225.0,1223.4072
2021-03-22,1225.0,1222.2026
2021-03-23,1229.0,1226.6177
2021-03-24,1231.0,1228.8623
2021-03-25,1234.0,1232.3274
2021-03-26,1248.0,1244.6592
2021-03-27,1258.0,1256.7986
2021-03-28,1266.0,1270.8358
2021-03-29,1268.0,1279.216
2021-03-30,1279.0,1281.0376
2021-03-31,1286.0,1296.9562
2021-04-01,1296.0,1301.0742
2021-04-02,1315.0,1313.3956
2021-04-03,1334.0,1332.654
2021-04-04,1363.0,1355.2823
2021-04-05,1376.0,1383.9181
2021-04-06,1398.0,1398.28
2021-04-07,1459.0,1428.5085
2021-04-08,1484.0,1480.6808
2021-04-09,1510.0,1500.4797
2021-04-10,1523.0,1525.6698
2021-04-11,1530.0001,1534.4977
2021-04-12,1547.0,1546.0541
2021-04-13,1560.0,1558.8534
2021-04-14,1571.0,1568.0048
2021-04-15,1581.0,1580.8082
2021-04-16,1587.0,1591.0978
2021-04-17,1591.0,1592.1934
2021-04-18,1596.0001,1598.657
2021-04-19,1617.0001,1609.5215
2021-04-20,1625.0,1629.3903
2021-04-21,1642.0,1638.806
2021-04-22,1655.0,1652.5688
2021-04-23,1657.0,1659.4421
2021-04-24,1667.0,1665.0797
2021-04-25,1673.0,1672.2316
2021-04-26,1677.0001,1679.9274
2021-04-27,1685.0001,1686.0907
2021-04-28,1695.0001,1691.2877
2021-04-29,1699.0,1705.1189
2021-04-30,1730.0,1715.105
2021-05-01,1743.0,1745.7539
2021-05-02,1752.0,1754.6578
2021-05-03,1757.0,1763.8477
2021-05-04,1770.0,1764.8849
2021-05-05,1788.0,1783.4137
2021-05-06,1806.0,1805.2334
2021-05-07,1813.0001,1812.2822
2021-05-08,1822.0,1820.0212
2021-05-09,1824.0,1824.0707
2021-05-10,1828.0001,1827.0873
2021-05-11,1835.0,1833.3695
2021-05-12,1843.0,1843.0428
2021-05-13,1861.0,1859.9446
2021-05-14,1892.0,1888.455
2021-05-15,1902.0,1901.3579
2021-05-16,1906.0,1906.9054
2021-05-17,1908.0,1917.5961
2021-05-18,1920.0001,1915.7086
2021-05-19,1930.0001,1923.092
2021-05-20,1938.0001,1928.3918
2021-05-21,1953.0,1930.283
2021-05-22,1958.0,1947.0978
