,Actual_data,Predicted_data
2020-10-08,377.0,385.65692
2020-10-09,382.0,386.45343
2020-10-10,383.0,390.45624
2020-10-11,385.0,396.74646
2020-10-12,398.0,399.11218
2020-10-13,408.0,403.56012
2020-10-14,412.0,403.7555
2020-10-15,413.0,412.20786
2020-10-16,415.0,419.88675
2020-10-17,415.0,423.02774
2020-10-18,416.0,424.98132
2020-10-19,418.0,424.5582
2020-10-20,419.0,424.08295
2020-10-21,423.0,424.576
2020-10-22,423.0,424.41882
2020-10-23,423.0,427.29938
2020-10-24,428.0,427.25415
2020-10-25,429.0,426.78363
2020-10-26,430.0,430.67975
2020-10-27,435.0,431.80396
2020-10-28,442.0,432.5598
2020-10-29,442.0,436.2893
2020-10-30,442.0,443.21826
2020-10-31,442.0,444.68384
2020-11-01,442.0,444.7465
2020-11-02,442.0,444.0277
2020-11-03,442.0,442.95538
2020-11-04,443.0,441.83997
2020-11-05,443.0,440.88885
2020-11-06,443.0,441.1756
2020-11-07,444.0,440.59216
2020-11-08,445.0,440.2275
2020-11-09,445.0,441.12186
2020-11-10,445.0,442.11005
2020-11-11,446.0,442.0925
2020-11-12,448.0,442.23154
2020-11-13,448.0,443.6119
2020-11-14,450.0,446.1585
2020-11-15,450.0,446.3974
2020-11-16,453.0,449.3245
2020-11-17,454.0,449.80505
2020-11-18,455.0,454.06494
2020-11-19,456.0,455.51953
2020-11-20,456.0,457.2469
2020-11-21,457.0,458.9131
2020-11-22,457.0,459.55908
2020-11-23,460.0,461.63684
2020-11-24,460.0,462.7299
2020-11-25,464.0,467.5055
2020-11-26,465.0,468.8039
2020-11-27,470.0,475.11823
2020-11-28,483.0,477.87842
2020-11-29,489.0,488.84695
2020-11-30,494.0,499.53778
2020-12-01,504.0,504.54083
2020-12-02,509.0,512.40094
2020-12-03,516.0,522.412
2020-12-04,537.0,528.6113
2020-12-05,547.0,544.52814
2020-12-06,550.0,551.7296
2020-12-07,552.0,556.0966
2020-12-08,563.0,561.3262
2020-12-09,573.0,572.9948
2020-12-10,582.0,587.7819
2020-12-11,592.0,599.35394
2020-12-12,610.0,610.9075
2020-12-13,623.0,624.76666
2020-12-14,625.0,636.18933
2020-12-15,657.0,642.6983
2020-12-16,672.0,670.2293
2020-12-17,683.0,671.1804
2020-12-18,688.0,671.76886
2020-12-19,693.0,683.6564
2020-12-20,696.0,695.10767
2020-12-21,699.0,707.8975
2020-12-22,708.0,719.66077
2020-12-23,743.0,737.665
2020-12-24,754.0,763.94385
2020-12-25,767.0,780.3259
2020-12-26,778.0,779.5268
2020-12-27,786.0,792.299
2020-12-28,789.0,802.58636
2020-12-29,819.0,810.0573
2020-12-30,838.0,833.5812
2020-12-31,845.0,845.3315
2021-01-01,856.0,844.3615
2021-01-02,860.0,850.9801
2021-01-03,868.0,859.13617
2021-01-04,874.0,868.6416
2021-01-05,882.0,880.2278
2021-01-06,891.0,889.79297
2021-01-07,900.0,899.81305
2021-01-08,908.0,907.5907
2021-01-09,913.0,913.3541
2021-01-10,917.0,917.7986
2021-01-11,918.0,921.74426
2021-01-12,925.0,929.1737
2021-01-13,934.0,931.0075
2021-01-14,937.0,940.30817
2021-01-15,940.0,949.4177
2021-01-16,945.0,945.79517
2021-01-17,948.0,944.09827
2021-01-18,950.0,943.6285
2021-01-19,957.0,939.3281
2021-01-20,958.0,945.0164
2021-01-21,958.0,954.65564
2021-01-22,959.0,964.8384
2021-01-23,960.0,987.7315
2021-01-24,960.0,1011.5178
2021-01-25,1085.0,1030.7504
2021-01-26,1089.0,1088.4902
2021-01-27,1090.0,1092.4185
2021-01-28,1094.0,1096.2383
2021-01-29,1095.0,1095.367
2021-01-30,1097.0,1095.7822
2021-01-31,1097.0,1096.1088
2021-02-01,1098.0,1100.9293
2021-02-02,1098.0,1103.6475
2021-02-03,1105.0,1109.386
2021-02-04,1107.0,1105.7086
2021-02-05,1107.0,1117.8441
2021-02-06,1115.0,1115.5199
2021-02-07,1121.0,1111.709
2021-02-08,1125.0,1125.4153
2021-02-09,1127.0,1125.6606
2021-02-10,1127.0,1124.0299
2021-02-11,1130.0,1122.5253
2021-02-12,1131.0,1126.8068
2021-02-13,1136.0,1134.2125
2021-02-14,1138.0,1138.7089
2021-02-15,1146.0,1147.4598
2021-02-16,1150.0,1150.1436
2021-02-17,1157.0,1162.2839
2021-02-18,1169.0,1163.4569
2021-02-19,1173.0,1169.283
2021-02-20,1175.0,1179.7496
2021-02-21,1175.0,1173.6145
2021-02-22,1178.0,1170.8457
2021-02-23,1179.0,1170.6158
2021-02-24,1181.0,1170.4465
2021-02-25,1181.0,1177.0804
2021-02-26,1187.0,1181.5583
2021-02-27,1189.0,1184.9463
2021-02-28,1190.0,1186.7004
2021-03-01,1190.0,1187.7369
