,Actual_data,Predicted_data
2020-12-29,1754.0,1754.1847
2020-12-30,1792.9999,1798.9141
2020-12-31,1867.0,1855.9802
2021-01-01,1924.0,1918.8434
2021-01-02,1950.0,1957.3184
2021-01-03,1969.0,1969.3284
2021-01-04,2005.9999,2001.3688
2021-01-05,2020.9999,2032.7617
2021-01-06,2059.0,2048.5881
2021-01-07,2082.0,2087.572
2021-01-08,2106.0,2106.8125
2021-01-09,2123.0,2115.779
2021-01-10,2157.0,2153.1384
2021-01-11,2176.0,2183.9558
2021-01-12,2197.0,2193.6416
2021-01-13,2232.0,2230.162
2021-01-14,2272.0,2263.7512
2021-01-15,2319.0,2318.4783
2021-01-16,2380.0,2373.381
2021-01-17,2414.0,2419.635
2021-01-18,2424.0,2430.096
2021-01-19,2441.0,2451.0642
2021-01-20,2454.0,2462.8818
2021-01-21,2473.0,2489.4438
2021-01-22,2496.0,2505.4563
2021-01-23,2529.0,2535.4907
2021-01-24,2549.0002,2564.119
2021-01-25,2569.0,2574.7004
2021-01-26,2596.0002,2605.0479
2021-01-27,2628.0,2631.765
2021-01-28,2681.9998,2685.2705
2021-01-29,2716.0,2723.858
2021-01-30,2736.0,2745.8132
2021-01-31,2756.0,2765.4348
2021-02-01,2771.0,2772.3975
2021-02-02,2783.0,2777.4836
2021-02-03,2802.0,2796.0422
2021-02-04,2828.0,2819.8613
2021-02-05,2861.0,2863.4941
2021-02-06,2875.0,2869.5752
2021-02-07,2883.9998,2883.0786
2021-02-08,2893.0,2883.155
2021-02-09,2902.0,2901.0784
2021-02-10,2921.0,2917.342
2021-02-11,2950.0002,2935.8333
2021-02-12,2977.0,2969.8105
2021-02-13,3004.0,3001.5645
2021-02-14,3019.0,3020.5723
2021-02-15,3034.0,3030.9563
2021-02-16,3053.0,3057.183
2021-02-17,3072.0002,3069.386
2021-02-18,3100.0002,3091.5305
2021-02-19,3116.0002,3107.145
2021-02-20,3130.0002,3127.8784
2021-02-21,3142.0,3124.6567
2021-02-22,3154.0,3137.9775
2021-02-23,3166.0002,3147.7627
2021-02-24,3179.0,3170.9219
2021-02-25,3197.0002,3197.7146
2021-02-26,3208.0002,3195.0623
2021-02-27,3217.0,3216.058
2021-02-28,3222.0002,3227.3179
2021-03-01,3238.0002,3233.9683
2021-03-02,3255.0002,3251.9734
2021-03-03,3263.0002,3285.8108
2021-03-04,3281.0,3293.6882
2021-03-05,3301.0,3305.5405
2021-03-06,3313.0002,3308.972
2021-03-07,3319.0,3313.82
2021-03-08,3331.0,3339.793
2021-03-09,3350.0,3365.3052
2021-03-10,3357.0002,3376.539
2021-03-11,3371.0002,3387.2676
2021-03-12,3386.0,3394.9202
2021-03-13,3403.0,3412.0767
2021-03-14,3416.0,3422.4583
2021-03-15,3420.0,3429.5764
2021-03-16,3427.0,3437.706
2021-03-17,3438.0,3435.4062
2021-03-18,3445.0,3452.514
2021-03-19,3452.0,3449.9983
2021-03-20,3461.0,3469.4285
2021-03-21,3480.0,3485.8528
2021-03-22,3506.0002,3499.3477
2021-03-23,3514.0,3521.712
2021-03-24,3531.0002,3525.71
2021-03-25,3551.0002,3544.3816
2021-03-26,3562.0002,3571.527
2021-03-27,3595.0002,3590.605
2021-03-28,3651.0,3630.0674
2021-03-29,3704.0,3698.879
2021-03-30,3747.0002,3739.114
2021-03-31,3805.0002,3791.648
2021-04-01,3859.0,3854.3137
2021-04-02,3897.0002,3900.3267
2021-04-03,3958.0,3955.2925
2021-04-04,4019.0,4025.1406
2021-04-05,4067.0,4078.1658
2021-04-06,4101.0,4109.196
2021-04-07,4139.0,4143.627
2021-04-08,4191.0,4184.738
2021-04-09,4244.0,4234.2095
2021-04-10,4300.0,4302.9673
2021-04-11,4345.0,4351.233
2021-04-12,4392.0,4392.331
2021-04-13,4431.0,4438.981
2021-04-14,4480.0,4477.605
2021-04-15,4534.0,4527.626
2021-04-16,4578.0,4577.2773
2021-04-17,4613.0,4615.448
2021-04-18,4644.0,4644.719
2021-04-19,4670.0,4681.1533
2021-04-20,4699.0,4697.5483
2021-04-21,4732.0,4741.8125
2021-04-22,4769.0,4770.431
2021-04-23,4802.0,4806.05
2021-04-24,4846.0,4840.839
2021-04-25,4889.0,4892.468
2021-04-26,4914.0,4915.9507
2021-04-27,4944.0,4937.709
2021-04-28,4977.0,4985.807
2021-04-29,5017.0,5006.7666
2021-04-30,5049.0,5051.752
2021-05-01,5078.0,5083.373
2021-05-02,5111.0,5103.2153
2021-05-03,5127.0,5130.7886
2021-05-04,5143.0,5139.23
2021-05-05,5166.0,5164.219
2021-05-06,5194.0,5192.5127
2021-05-07,5215.0,5213.6836
2021-05-08,5241.9995,5242.199
2021-05-09,5252.0,5255.766
2021-05-10,5272.0,5273.329
2021-05-11,5285.9995,5289.793
2021-05-12,5296.0,5298.156
2021-05-13,5316.0,5316.2095
2021-05-14,5340.0,5338.8394
2021-05-15,5382.0,5378.299
2021-05-16,5412.9995,5363.7563
2021-05-17,5424.9995,5375.5405
2021-05-18,5438.0,5354.234
2021-05-19,5465.0,5375.1562
2021-05-20,5482.0,5399.454
2021-05-21,5496.9995,5384.026
2021-05-22,5525.0,5404.0464
