,Actual_data,Predicted_data
2020-12-29,18242.0,18412.096
2020-12-30,18629.0,18769.674
2020-12-31,18994.998,19102.133
2021-01-01,19352.0,19456.861
2021-01-02,19602.0,19761.863
2021-01-03,19799.998,19950.664
2021-01-04,20138.0,20257.932
2021-01-05,20328.0,20469.547
2021-01-06,20591.0,20690.53
2021-01-07,20888.0,20981.084
2021-01-08,21079.0,21195.52
2021-01-09,21266.998,21378.861
2021-01-10,21454.0,21586.574
2021-01-11,21595.0,21680.441
2021-01-12,21762.0,21922.92
2021-01-13,21914.0,22031.822
2021-01-14,22048.0,22196.033
2021-01-15,22175.0,22303.354
2021-01-16,22330.998,22463.225
2021-01-17,22476.0,22567.918
2021-01-18,22607.998,22709.049
2021-01-19,22709.0,22769.762
2021-01-20,22852.0,22909.52
2021-01-21,22977.0,23045.969
2021-01-22,23091.998,23165.701
2021-01-23,23218.998,23313.342
2021-01-24,23352.0,23425.328
2021-01-25,23452.998,23504.504
2021-01-26,23557.0,23626.086
2021-01-27,23686.0,23762.232
2021-01-28,23791.0,23880.082
2021-01-29,23903.0,23983.082
2021-01-30,24055.0,24140.07
2021-01-31,24154.998,24261.672
2021-02-01,24262.0,24349.209
2021-02-02,24389.998,24473.756
2021-02-03,24578.0,24654.91
2021-02-04,24749.998,24796.53
2021-02-05,24875.998,24966.348
2021-02-06,25018.998,25142.617
2021-02-07,25163.0,25251.918
2021-02-08,25274.998,25430.75
2021-02-09,25364.998,25461.344
2021-02-10,25539.998,25663.52
2021-02-11,25722.998,25813.865
2021-02-12,25881.0,25968.01
2021-02-13,26017.0,26172.24
2021-02-14,26169.0,26256.416
2021-02-15,26318.998,26408.732
2021-02-16,26479.998,26594.812
2021-02-17,26738.0,26853.203
2021-02-18,26922.998,26995.621
2021-02-19,27102.998,27183.426
2021-02-20,27226.0,27334.283
2021-02-21,27355.998,27466.904
2021-02-22,27461.998,27569.521
2021-02-23,27586.998,27642.994
2021-02-24,27730.998,27854.031
2021-02-25,27852.998,27951.188
2021-02-26,27984.0,28047.904
2021-02-27,28114.998,28291.104
2021-02-28,28235.0,28390.828
2021-03-01,28326.998,28544.088
2021-03-02,28448.998,28567.535
2021-03-03,28568.0,28678.463
2021-03-04,28685.998,28865.467
2021-03-05,28815.0,28923.482
2021-03-06,28942.998,29126.242
2021-03-07,29075.0,29255.648
2021-03-08,29175.0,29431.693
2021-03-09,29276.998,29532.352
2021-03-10,29414.998,29630.643
2021-03-11,29552.998,29731.377
2021-03-12,29692.998,29869.135
2021-03-13,29832.998,29977.713
2021-03-14,29944.998,30068.068
2021-03-15,30053.998,30189.012
2021-03-16,30133.0,30313.871
2021-03-17,30253.0,30458.87
2021-03-18,30377.0,30537.232
2021-03-19,30522.998,30672.021
2021-03-20,30637.998,30818.812
2021-03-21,30762.998,30863.18
2021-03-22,30871.998,30967.203
2021-03-23,30968.998,31100.793
2021-03-24,31105.998,31210.8
2021-03-25,31232.998,31353.275
2021-03-26,31353.998,31496.996
2021-03-27,31480.998,31553.709
2021-03-28,31618.998,31702.51
2021-03-29,31725.998,31830.72
2021-03-30,31871.0,31925.781
2021-03-31,32029.0,32085.758
2021-04-01,32227.998,32284.604
2021-04-02,32393.998,32421.879
2021-04-03,32549.0,32612.703
2021-04-04,32697.998,32774.555
2021-04-05,32850.0,32929.195
2021-04-06,32997.0,33103.477
2021-04-07,33195.0,33262.11
2021-04-08,33439.0,33484.78
2021-04-09,33654.0,33766.758
2021-04-10,33855.0,33919.676
2021-04-11,34069.0,34152.605
2021-04-12,34230.996,34398.574
2021-04-13,34389.0,34498.543
2021-04-14,34636.0,34724.664
2021-04-15,34853.0,34994.36
2021-04-16,35069.0,35202.008
2021-04-17,35286.0,35366.305
2021-04-18,35489.996,35584.72
2021-04-19,35627.0,35769.625
2021-04-20,35775.0,35955.14
2021-04-21,35993.0,36150.61
2021-04-22,36223.0,36332.55
2021-04-23,36427.0,36597.047
2021-04-24,36680.0,36795.535
2021-04-25,36855.0,36998.6
2021-04-26,37009.0,37150.117
2021-04-27,37125.0,37318.516
2021-04-28,37382.0,37505.74
2021-04-29,37609.0,37708.55
2021-04-30,37836.0,37955.94
2021-05-01,38031.0,38136.63
2021-05-02,38213.0,38370.414
2021-05-03,38340.0,38469.12
2021-05-04,38524.0,38615.59
2021-05-05,38762.0,38874.207
2021-05-06,38974.0,39121.418
2021-05-07,39153.0,39304.938
2021-05-08,39395.0,39521.285
2021-05-09,39590.0,39716.7
2021-05-10,39731.0,39866.87
2021-05-11,39894.0,40027.355
2021-05-12,40116.0,40239.16
2021-05-13,40343.0,40506.145
2021-05-14,40574.0,40731.344
2021-05-15,40828.0,41011.51
2021-05-16,41040.996,41074.492
2021-05-17,41236.0,41368.156
2021-05-18,41408.0,41585.83
2021-05-19,41657.0,41820.047
2021-05-20,41898.996,42020.727
2021-05-21,42071.0,42307.402
2021-05-22,42279.0,42476.527
