,Actual_data,Predicted_data
2020-10-08,78.0,78.25319
2020-10-09,78.0,77.64076
2020-10-10,78.0,77.94015
2020-10-11,78.0,78.163994
2020-10-12,78.0,77.99716
2020-10-13,78.0,78.03881
2020-10-14,78.0,78.02098
2020-10-15,78.0,78.02949
2020-10-16,78.0,78.05941
2020-10-17,78.0,77.956406
2020-10-18,78.0,78.04454
2020-10-19,78.0,77.74199
2020-10-20,78.0,78.17587
2020-10-21,78.0,78.115555
2020-10-22,78.0,77.77665
2020-10-23,78.0,77.920425
2020-10-24,78.0,78.0655
2020-10-25,78.0,78.210915
2020-10-26,79.0,78.89497
2020-10-27,79.0,78.78051
2020-10-28,79.0,78.98369
2020-10-29,79.0,79.290245
2020-10-30,79.0,79.34036
2020-10-31,82.0,81.70423
2020-11-01,82.0,82.072784
2020-11-02,82.0,81.89956
2020-11-03,82.0,82.246346
2020-11-04,82.0,81.72564
2020-11-05,82.0,82.00901
2020-11-06,82.0,81.835655
2020-11-07,82.0,82.1539
2020-11-08,82.0,81.96053
2020-11-09,82.0,82.21691
2020-11-10,82.0,81.924675
2020-11-11,82.0,81.800644
2020-11-12,82.0,82.03403
2020-11-13,83.0,83.07715
2020-11-14,84.0,83.55411
2020-11-15,84.0,84.07625
2020-11-16,85.0,84.96742
2020-11-17,86.0,85.68777
2020-11-18,86.0,85.87582
2020-11-19,86.0,86.20851
2020-11-20,86.0,85.891624
2020-11-21,86.0,85.90478
2020-11-22,86.0,86.11041
2020-11-23,87.0,86.93494
2020-11-24,89.0,88.75975
2020-11-25,89.0,89.24476
2020-11-26,92.99999,92.70308
2020-11-27,96.0,95.943825
2020-11-28,96.0,96.42975
2020-11-29,99.00001,98.843895
2020-11-30,100.0,100.167984
2020-12-01,102.0,101.96847
2020-12-02,109.0,108.92509
2020-12-03,113.0,112.75743
2020-12-04,113.0,113.592224
2020-12-05,117.0,116.90828
2020-12-06,120.0,120.06037
2020-12-07,120.0,120.114494
2020-12-08,121.0,120.942215
2020-12-09,122.0,121.651505
2020-12-10,123.00001,121.813614
2020-12-11,123.00001,123.44776
2020-12-12,124.0,124.36629
2020-12-13,124.0,124.78026
2020-12-14,127.00001,126.44601
2020-12-15,128.0,128.29898
2020-12-16,128.0,127.96947
2020-12-17,128.0,127.77148
2020-12-18,128.0,128.06357
2020-12-19,128.0,128.65388
2020-12-20,129.0,128.48552
2020-12-21,129.0,128.17625
2020-12-22,130.0,129.80972
2020-12-23,131.0,131.59602
2020-12-24,133.0,133.2443
2020-12-25,134.0,134.66037
2020-12-26,135.0,135.5444
2020-12-27,141.0,140.34972
2020-12-28,143.0,142.51134
2020-12-29,147.00002,146.23259
2020-12-30,149.00002,148.72525
2020-12-31,149.00002,149.46434
2021-01-01,150.0,150.33849
2021-01-02,153.00002,152.45282
2021-01-03,154.0,154.02834
2021-01-04,154.0,154.0165
2021-01-05,154.0,154.44302
2021-01-06,155.0,155.26779
2021-01-07,158.0,157.43921
2021-01-08,158.0,157.90114
2021-01-09,158.0,157.94571
2021-01-10,158.0,157.70502
2021-01-11,158.0,158.41458
2021-01-12,159.0,158.55734
2021-01-13,159.0,159.53493
2021-01-14,161.0,160.84962
2021-01-15,165.0,165.27846
2021-01-16,166.00002,166.49484
2021-01-17,167.0,166.70322
2021-01-18,169.0,168.72437
2021-01-19,172.0,171.10129
2021-01-20,172.0,172.13162
2021-01-21,173.0,173.23958
2021-01-22,173.0,173.788
2021-01-23,174.0,174.57056
2021-01-24,185.0,184.07072
2021-01-25,187.0,186.54933
2021-01-26,189.0,188.23506
2021-01-27,193.0,192.77597
2021-01-28,193.99998,193.83315
2021-01-29,193.99998,194.34418
2021-01-30,193.99998,194.11108
2021-01-31,196.0,195.79276
2021-02-01,196.0,195.78708
2021-02-02,196.0,195.84853
2021-02-03,197.0,196.74013
2021-02-04,197.0,196.79735
2021-02-05,197.0,197.13158
2021-02-06,197.0,196.87016
2021-02-07,198.00002,198.02148
2021-02-08,199.0,198.75586
2021-02-09,200.0,199.94904
2021-02-10,200.99998,200.25047
2021-02-11,200.99998,201.12288
2021-02-12,203.0,203.33092
2021-02-13,208.0,207.84578
2021-02-14,210.0,209.95633
2021-02-15,210.0,209.88556
2021-02-16,210.0,209.88773
2021-02-17,212.0,211.87926
2021-02-18,213.00002,212.94269
2021-02-19,214.0,213.98444
2021-02-20,214.0,213.97502
2021-02-21,215.0,214.9936
2021-02-22,215.0,214.87422
2021-02-23,216.0,216.55249
2021-02-24,218.0,221.76184
2021-02-25,218.0,223.91339
2021-02-26,219.0,226.11916
2021-02-27,219.99998,221.60286
2021-02-28,226.0,222.8829
2021-03-01,227.0,226.07915
