,Actual_data,Predicted_data
2020-10-08,78.0,77.53628
2020-10-09,78.0,77.280754
2020-10-10,78.0,77.97582
2020-10-11,78.0,78.13454
2020-10-12,78.0,77.68692
2020-10-13,78.0,77.71808
2020-10-14,78.0,77.37333
2020-10-15,78.0,77.8314
2020-10-16,78.0,78.45708
2020-10-17,78.0,77.67314
2020-10-18,78.0,77.59045
2020-10-19,78.0,77.74399
2020-10-20,78.0,78.07322
2020-10-21,78.0,77.79914
2020-10-22,78.0,77.58248
2020-10-23,78.0,77.648926
2020-10-24,78.0,77.97185
2020-10-25,78.0,78.070946
2020-10-26,79.0,78.92276
2020-10-27,79.0,78.81678
2020-10-28,79.0,79.0845
2020-10-29,79.0,79.22096
2020-10-30,79.0,79.212776
2020-10-31,82.0,80.32956
2020-11-01,82.0,81.75285
2020-11-02,82.0,81.61197
2020-11-03,82.0,82.3795
2020-11-04,82.0,81.58564
2020-11-05,82.0,81.859055
2020-11-06,82.0,82.15191
2020-11-07,82.0,82.64591
2020-11-08,82.0,82.18619
2020-11-09,82.0,81.9368
2020-11-10,82.0,81.89703
2020-11-11,82.0,81.576035
2020-11-12,82.0,81.99633
2020-11-13,83.0,82.937454
2020-11-14,84.0,82.79965
2020-11-15,84.0,83.8511
2020-11-16,85.0,84.66315
2020-11-17,86.0,85.50938
2020-11-18,86.0,85.73625
2020-11-19,86.0,86.32584
2020-11-20,86.0,86.07872
2020-11-21,86.0,85.766106
2020-11-22,86.0,86.074425
2020-11-23,87.0,86.59073
2020-11-24,89.0,88.200066
2020-11-25,89.0,89.78053
2020-11-26,92.99999,91.771286
2020-11-27,96.0,95.62916
2020-11-28,96.0,97.54097
2020-11-29,99.00001,98.33774
2020-11-30,100.0,100.99483
2020-12-01,102.0,102.01475
2020-12-02,109.0,106.83014
2020-12-03,113.0,111.518616
2020-12-04,113.0,112.757805
2020-12-05,117.0,116.351265
2020-12-06,120.0,119.14658
2020-12-07,120.0,119.90713
2020-12-08,121.0,121.21593
2020-12-09,122.0,121.79026
2020-12-10,123.00001,122.016945
2020-12-11,123.00001,123.625465
2020-12-12,124.0,123.699326
2020-12-13,124.0,123.855385
2020-12-14,127.00001,125.43795
2020-12-15,128.0,128.22768
2020-12-16,128.0,127.11221
2020-12-17,128.0,127.42674
2020-12-18,128.0,127.91886
2020-12-19,128.0,128.16661
2020-12-20,129.0,128.89404
2020-12-21,129.0,128.5435
2020-12-22,130.0,129.69312
2020-12-23,131.0,131.59335
2020-12-24,133.0,132.06186
2020-12-25,134.0,133.67262
2020-12-26,135.0,134.47266
2020-12-27,141.0,139.7013
2020-12-28,143.0,142.59015
2020-12-29,147.00002,146.12366
2020-12-30,149.00002,148.63889
2020-12-31,149.00002,148.44972
2021-01-01,150.0,149.91176
2021-01-02,153.00002,152.40703
2021-01-03,154.0,154.16692
2021-01-04,154.0,153.89845
2021-01-05,154.0,153.88205
2021-01-06,155.0,154.51749
2021-01-07,158.0,157.42131
2021-01-08,158.0,157.5707
2021-01-09,158.0,157.62492
2021-01-10,158.0,157.22328
2021-01-11,158.0,157.65555
2021-01-12,159.0,158.06686
2021-01-13,159.0,158.73296
2021-01-14,161.0,160.26578
2021-01-15,165.0,164.84193
2021-01-16,166.00002,165.48479
2021-01-17,167.0,166.30864
2021-01-18,169.0,168.72392
2021-01-19,172.0,171.09955
2021-01-20,172.0,171.83476
2021-01-21,173.0,172.63806
2021-01-22,173.0,173.31189
2021-01-23,174.0,173.91672
2021-01-24,185.0,183.73564
2021-01-25,187.0,186.64519
2021-01-26,189.0,188.15007
2021-01-27,193.0,192.49336
2021-01-28,193.99998,193.35146
2021-01-29,193.99998,193.61673
2021-01-30,193.99998,193.20013
2021-01-31,196.0,195.11403
2021-02-01,196.0,195.30098
2021-02-02,196.0,195.50189
2021-02-03,197.0,196.50931
2021-02-04,197.0,196.5287
2021-02-05,197.0,196.55807
2021-02-06,197.0,196.37122
2021-02-07,198.00002,197.51967
2021-02-08,199.0,198.2949
2021-02-09,200.0,199.33408
2021-02-10,200.99998,200.26485
2021-02-11,200.99998,200.56578
2021-02-12,203.0,202.62653
2021-02-13,208.0,207.3296
2021-02-14,210.0,209.36772
2021-02-15,210.0,209.33769
2021-02-16,210.0,209.38612
2021-02-17,212.0,211.33167
2021-02-18,213.00002,212.38734
2021-02-19,214.0,213.3508
2021-02-20,214.0,213.35341
2021-02-21,215.0,214.43605
2021-02-22,215.0,214.3764
2021-02-23,216.0,213.61346
2021-02-24,218.0,217.9161
2021-02-25,218.0,218.54869
2021-02-26,219.0,219.83115
2021-02-27,219.99998,217.0869
2021-02-28,226.0,219.21976
2021-03-01,227.0,223.8383
