,Actual_data,Predicted_data
2020-10-08,154.0,153.98865
2020-10-09,154.0,154.23016
2020-10-10,154.0,152.90341
2020-10-11,155.0,153.49039
2020-10-12,155.0,154.83357
2020-10-13,155.0,154.64787
2020-10-14,156.0,152.89313
2020-10-15,156.0,154.60164
2020-10-16,156.0,155.73256
2020-10-17,156.0,155.24893
2020-10-18,156.0,155.06326
2020-10-19,156.0,155.55217
2020-10-20,156.0,155.90738
2020-10-21,157.0,156.26707
2020-10-22,157.0,157.18619
2020-10-23,157.0,156.66309
2020-10-24,157.0,157.50743
2020-10-25,158.0,158.05214
2020-10-26,159.0,158.5312
2020-10-27,159.0,159.1882
2020-10-28,159.0,158.33046
2020-10-29,161.0,159.48018
2020-10-30,163.0,161.62862
2020-10-31,163.0,162.4295
2020-11-01,163.0,161.09503
2020-11-02,164.0,162.62918
2020-11-03,164.0,163.77217
2020-11-04,165.0,164.75441
2020-11-05,165.0,165.05095
2020-11-06,165.0,164.06102
2020-11-07,165.0,163.31343
2020-11-08,166.0,164.49808
2020-11-09,166.0,166.37444
2020-11-10,166.0,166.98975
2020-11-11,166.0,164.28546
2020-11-12,167.0,166.21068
2020-11-13,167.0,168.1511
2020-11-14,167.0,167.39694
2020-11-15,167.0,167.28278
2020-11-16,167.0,166.85098
2020-11-17,167.0,167.81496
2020-11-18,170.0,168.45255
2020-11-19,170.0,171.2433
2020-11-20,170.0,168.16243
2020-11-21,171.0,170.12764
2020-11-22,172.0,172.16748
2020-11-23,173.0,174.13792
2020-11-24,175.0,173.89774
2020-11-25,178.0,175.58012
2020-11-26,185.00002,177.97108
2020-11-27,192.0,186.36494
2020-11-28,195.0,192.00992
2020-11-29,195.0,195.06615
2020-11-30,198.00002,195.19957
2020-12-01,201.00002,203.32858
2020-12-02,211.0,206.43332
2020-12-03,213.0,217.82411
2020-12-04,218.0,213.5117
2020-12-05,219.0,224.76486
2020-12-06,222.0,226.58727
2020-12-07,260.0,253.27728
2020-12-08,321.00003,314.21323
2020-12-09,335.0,339.7911
2020-12-10,351.0,349.4317
2020-12-11,398.0,396.256
2020-12-12,421.0,423.37448
2020-12-13,429.0,428.2075
2020-12-14,434.00003,440.16556
2020-12-15,483.00003,474.50146
2020-12-16,488.99997,492.36465
2020-12-17,499.0,497.18036
2020-12-18,530.0,529.4217
2020-12-19,539.0,540.53156
2020-12-20,545.0,544.98505
2020-12-21,562.0,558.88116
2020-12-22,568.0,570.39886
2020-12-23,586.0,582.5068
2020-12-24,595.00006,593.9128
2020-12-25,607.0,605.8618
2020-12-26,615.0,615.96747
2020-12-27,616.0,615.6465
2020-12-28,618.0,622.32367
2020-12-29,622.0,624.51324
2020-12-30,638.0,638.8089
2020-12-31,673.0,673.4043
2021-01-01,716.0,711.5458
2021-01-02,733.0,731.3905
2021-01-03,740.00006,740.4723
2021-01-04,745.0,743.8786
2021-01-05,749.0,748.7346
2021-01-06,751.0,750.2692
2021-01-07,760.0,759.2172
2021-01-08,770.0,769.706
2021-01-09,778.0,779.9043
2021-01-10,812.0,809.9653
2021-01-11,826.0,826.2334
2021-01-12,833.0,832.4553
2021-01-13,844.0,844.829
2021-01-14,854.0,855.3685
2021-01-15,860.0,860.4834
2021-01-16,868.0,868.25867
2021-01-17,886.0,885.90173
2021-01-18,892.0,891.6338
2021-01-19,900.0,897.8841
2021-01-20,903.0,902.7895
2021-01-21,906.0,903.1015
2021-01-22,909.0,907.2601
2021-01-23,911.0,910.7363
2021-01-24,913.0,912.1357
2021-01-25,915.0,915.25854
2021-01-26,915.0,915.1664
2021-01-27,921.0,920.4146
2021-01-28,927.0,926.18243
2021-01-29,929.0,929.5444
2021-01-30,931.0,930.3029
2021-01-31,937.0,935.3477
2021-02-01,938.0,935.895
2021-02-02,939.0,936.9292
2021-02-03,939.0,937.68097
2021-02-04,941.0,940.0325
2021-02-05,941.0,940.0637
2021-02-06,943.0,941.8019
2021-02-07,944.0,943.7616
2021-02-08,945.0,945.03613
2021-02-09,948.0,949.20514
2021-02-10,948.0,947.71765
2021-02-11,950.0,950.51764
2021-02-12,950.0,950.5516
2021-02-13,952.0,951.3345
2021-02-14,955.0,954.52765
2021-02-15,958.99994,958.1981
2021-02-16,965.99994,965.38513
2021-02-17,974.99994,974.2473
2021-02-18,981.0,980.1405
2021-02-19,992.99994,991.7081
2021-02-20,993.99994,993.42267
2021-02-21,998.0,997.53253
2021-02-22,999.0,997.8805
2021-02-23,1000.99994,989.1398
2021-02-24,1001.99994,987.672
2021-02-25,1004.0,986.84766
2021-02-26,1005.0,988.74396
2021-02-27,1008.0,984.3981
2021-02-28,1013.0,984.9503
2021-03-01,1015.0,985.954
