,Actual_data,Predicted_data
2020-10-08,154.0,154.2546
2020-10-09,154.0,154.42998
2020-10-10,154.0,152.66714
2020-10-11,155.0,153.43182
2020-10-12,155.0,154.61667
2020-10-13,155.0,153.92456
2020-10-14,156.0,151.35472
2020-10-15,156.0,153.91025
2020-10-16,156.0,154.15286
2020-10-17,156.0,154.11848
2020-10-18,156.0,153.74991
2020-10-19,156.0,153.43524
2020-10-20,156.0,152.82478
2020-10-21,157.0,154.21684
2020-10-22,157.0,155.83255
2020-10-23,157.0,154.92166
2020-10-24,157.0,156.14963
2020-10-25,158.0,155.70764
2020-10-26,159.0,156.48047
2020-10-27,159.0,156.85088
2020-10-28,159.0,155.78117
2020-10-29,161.0,156.67276
2020-10-30,163.0,160.32062
2020-10-31,163.0,161.86885
2020-11-01,163.0,160.22202
2020-11-02,164.0,161.90334
2020-11-03,164.0,162.23589
2020-11-04,165.0,163.07846
2020-11-05,165.0,163.0927
2020-11-06,165.0,162.65324
2020-11-07,165.0,162.01125
2020-11-08,166.0,163.29398
2020-11-09,166.0,164.96042
2020-11-10,166.0,165.74113
2020-11-11,166.0,163.22939
2020-11-12,167.0,164.45848
2020-11-13,167.0,166.28432
2020-11-14,167.0,166.13113
2020-11-15,167.0,165.45526
2020-11-16,167.0,165.03996
2020-11-17,167.0,165.48668
2020-11-18,170.0,166.07614
2020-11-19,170.0,168.62962
2020-11-20,170.0,166.35416
2020-11-21,171.0,167.46507
2020-11-22,172.0,168.76071
2020-11-23,173.0,170.26137
2020-11-24,175.0,170.03949
2020-11-25,178.0,171.91719
2020-11-26,185.00002,174.65018
2020-11-27,192.0,183.29427
2020-11-28,195.0,191.39326
2020-11-29,195.0,193.311
2020-11-30,198.00002,193.36604
2020-12-01,201.00002,202.51945
2020-12-02,211.0,206.55562
2020-12-03,213.0,221.60693
2020-12-04,218.0,215.42125
2020-12-05,219.0,227.06206
2020-12-06,222.0,227.21663
2020-12-07,260.0,245.27888
2020-12-08,321.00003,299.92834
2020-12-09,335.0,342.17966
2020-12-10,351.0,348.91684
2020-12-11,398.0,393.00247
2020-12-12,421.0,419.1825
2020-12-13,429.0,427.43655
2020-12-14,434.00003,439.59143
2020-12-15,483.00003,476.34305
2020-12-16,488.99997,491.1096
2020-12-17,499.0,495.35208
2020-12-18,530.0,528.46155
2020-12-19,539.0,540.8156
2020-12-20,545.0,542.9665
2020-12-21,562.0,559.63214
2020-12-22,568.0,569.241
2020-12-23,586.0,584.053
2020-12-24,595.00006,595.0008
2020-12-25,607.0,606.87366
2020-12-26,615.0,614.4861
2020-12-27,616.0,615.1158
2020-12-28,618.0,618.8443
2020-12-29,622.0,619.2819
2020-12-30,638.0,636.3163
2020-12-31,673.0,670.7289
2021-01-01,716.0,713.98035
2021-01-02,733.0,733.53864
2021-01-03,740.00006,740.80676
2021-01-04,745.0,745.55725
2021-01-05,749.0,749.61255
2021-01-06,751.0,750.9023
2021-01-07,760.0,758.88275
2021-01-08,770.0,769.5775
2021-01-09,778.0,777.33386
2021-01-10,812.0,811.2082
2021-01-11,826.0,826.7896
2021-01-12,833.0,832.15784
2021-01-13,844.0,844.2088
2021-01-14,854.0,854.6487
2021-01-15,860.0,859.71313
2021-01-16,868.0,868.20245
2021-01-17,886.0,885.89905
2021-01-18,892.0,891.5776
2021-01-19,900.0,900.20856
2021-01-20,903.0,905.77985
2021-01-21,906.0,905.7157
2021-01-22,909.0,910.19305
2021-01-23,911.0,912.34076
2021-01-24,913.0,914.0722
2021-01-25,915.0,916.04456
2021-01-26,915.0,916.58875
2021-01-27,921.0,919.3966
2021-01-28,927.0,926.9883
2021-01-29,929.0,929.72064
2021-01-30,931.0,932.2011
2021-01-31,937.0,938.0234
2021-02-01,938.0,939.4456
2021-02-02,939.0,939.69745
2021-02-03,939.0,941.00946
2021-02-04,941.0,942.0327
2021-02-05,941.0,943.0736
2021-02-06,943.0,944.0442
2021-02-07,944.0,944.9328
2021-02-08,945.0,945.286
2021-02-09,948.0,950.0355
2021-02-10,948.0,948.5058
2021-02-11,950.0,950.72797
2021-02-12,950.0,950.08295
2021-02-13,952.0,953.18365
2021-02-14,955.0,956.3173
2021-02-15,958.99994,959.8636
2021-02-16,965.99994,967.4074
2021-02-17,974.99994,976.3639
2021-02-18,981.0,982.15405
2021-02-19,992.99994,993.8852
2021-02-20,993.99994,995.7416
2021-02-21,998.0,999.3809
2021-02-22,999.0,1000.27954
2021-02-23,1000.99994,979.3974
2021-02-24,1001.99994,976.9573
2021-02-25,1004.0,972.2225
2021-02-26,1005.0,975.88666
2021-02-27,1008.0,976.0884
2021-02-28,1013.0,980.3782
2021-03-01,1015.0,975.28033
