,Actual_data,Predicted_data
2020-12-29,622.0,621.12555
2020-12-30,638.0,638.8351
2020-12-31,673.0,669.1233
2021-01-01,716.0,726.03564
2021-01-02,733.0,715.7275
2021-01-03,739.99994,659.9946
2021-01-04,745.0,740.94366
2021-01-05,748.99994,743.4662
2021-01-06,751.0,764.04913
2021-01-07,760.0,764.2344
2021-01-08,770.0,773.27594
2021-01-09,778.0,790.5726
2021-01-10,812.0,787.32635
2021-01-11,825.99994,844.1966
2021-01-12,833.0,833.88824
2021-01-13,843.99994,849.19995
2021-01-14,853.99994,849.04626
2021-01-15,859.99994,874.75726
2021-01-16,868.0,872.0429
2021-01-17,885.99994,873.7859
2021-01-18,892.0,897.1499
2021-01-19,900.0,904.0504
2021-01-20,903.0,902.6382
2021-01-21,905.99994,908.36993
2021-01-22,909.0,904.7174
2021-01-23,911.0,910.84344
2021-01-24,912.99994,911.9019
2021-01-25,914.99994,910.65326
2021-01-26,914.99994,912.04443
2021-01-27,920.99994,909.5136
2021-01-28,927.0,915.85706
2021-01-29,929.0,934.5205
2021-01-30,930.99994,928.5709
2021-01-31,937.0,922.71
2021-02-01,938.0,934.44507
2021-02-02,938.99994,941.04663
2021-02-03,938.99994,930.51306
2021-02-04,940.99994,931.25555
2021-02-05,940.99994,934.1027
2021-02-06,943.0,936.8293
2021-02-07,944.0,934.56793
2021-02-08,945.0,939.43164
2021-02-09,947.99994,936.92694
2021-02-10,947.99994,941.6822
2021-02-11,949.99994,943.38257
2021-02-12,949.99994,939.9374
2021-02-13,952.0,944.1447
2021-02-14,955.0,942.98285
2021-02-15,958.99994,951.83325
2021-02-16,965.99994,956.79315
2021-02-17,974.99994,965.19604
2021-02-18,981.0,977.97644
2021-02-19,992.99994,984.0736
2021-02-20,993.99994,990.9723
2021-02-21,998.0,1000.2601
2021-02-22,999.0,989.6491
2021-02-23,1000.99994,1000.1692
2021-02-24,1001.99994,996.3872
2021-02-25,1004.0,998.80536
2021-02-26,1005.0,997.6959
2021-02-27,1008.0,999.3335
2021-02-28,1013.0,1000.1222
2021-03-01,1015.0,1010.31604
2021-03-02,1015.0,1013.4819
2021-03-03,1016.0,1004.4607
2021-03-04,1016.0,1003.1338
2021-03-05,1018.99994,1007.443
2021-03-06,1023.0,1009.8313
2021-03-07,1025.0,1021.0614
2021-03-08,1028.0,1021.55536
2021-03-09,1039.0,1019.47845
2021-03-10,1060.0,1034.73
2021-03-11,1083.0,1064.055
2021-03-12,1088.0,1079.6992
2021-03-13,1089.0,1085.0233
2021-03-14,1090.0,1080.8652
2021-03-15,1092.0,1077.9413
2021-03-16,1095.0,1091.5149
2021-03-17,1099.0,1097.3215
2021-03-18,1104.0,1100.4999
2021-03-19,1107.0,1103.7782
2021-03-20,1110.0,1105.5156
2021-03-21,1117.0,1102.8821
2021-03-22,1118.0,1111.337
2021-03-23,1126.0,1121.4299
2021-03-24,1128.0,1116.3286
2021-03-25,1128.0,1136.9832
2021-03-26,1128.0,1120.3994
2021-03-27,1133.0,1113.8658
2021-03-28,1137.0,1123.4774
2021-03-29,1140.0,1139.994
2021-03-30,1143.0,1137.4066
2021-03-31,1154.0,1136.3989
2021-04-01,1159.0,1146.8425
2021-04-02,1166.0,1171.9198
2021-04-03,1169.0,1165.8207
2021-04-04,1180.0,1173.128
2021-04-05,1181.0,1174.488
2021-04-06,1185.0,1196.9615
2021-04-07,1211.0,1179.7478
2021-04-08,1224.0,1211.4512
2021-04-09,1233.0,1260.2706
2021-04-10,1258.0,1265.5564
2021-04-11,1269.0,1266.2662
2021-04-12,1303.0,1310.7949
2021-04-13,1335.0,1326.2808
2021-04-14,1364.9999,1372.0017
2021-04-15,1386.0,1376.4413
2021-04-16,1409.9999,1410.13
2021-04-17,1436.0,1429.0494
2021-04-18,1457.0,1452.1493
2021-04-19,1485.0,1484.2338
2021-04-20,1506.0,1512.3063
2021-04-21,1545.0,1551.9336
2021-04-22,1576.9999,1576.0017
2021-04-23,1615.0,1617.2434
2021-04-24,1664.9999,1652.3801
2021-04-25,1707.9999,1686.7054
2021-04-26,1721.0,1704.9956
2021-04-27,1739.0,1734.6031
2021-04-28,1772.0,1795.8594
2021-04-29,1818.0,1813.8964
2021-04-30,1879.0,1856.6582
2021-05-01,1931.0,1925.1638
2021-05-02,1983.0,1981.2662
2021-05-03,2003.9999,2022.4249
2021-05-04,2033.0,2016.6243
2021-05-05,2055.0,2073.1409
2021-05-06,2093.0,2095.914
2021-05-07,2128.0,2125.5159
2021-05-08,2176.0,2175.9739
2021-05-09,2204.0,2207.272
2021-05-10,2228.0,2227.7644
2021-05-11,2247.0,2250.9224
2021-05-12,2278.0,2240.1313
2021-05-13,2309.0,2258.4163
2021-05-14,2335.0,2284.1345
2021-05-15,2357.0,2320.3115
2021-05-16,2368.0002,2315.5696
2021-05-17,2384.0,2291.5679
2021-05-18,2390.0,2328.706
2021-05-19,2417.0,2343.2532
2021-05-20,2442.0,2357.9165
2021-05-21,2455.0,2388.278
2021-05-22,2484.0,2399.7898
