,Actual_data,Predicted_data
2020-10-08,956.00006,954.71375
2020-10-09,956.00006,963.90826
2020-10-10,964.0,970.2074
2020-10-11,965.0,963.4004
2020-10-12,968.00006,981.61743
2020-10-13,968.00006,968.5645
2020-10-14,976.0,975.78894
2020-10-15,987.00006,973.7629
2020-10-16,991.0,988.26636
2020-10-17,993.0,1006.3454
2020-10-18,994.00006,996.8103
2020-10-19,999.00006,996.1393
2020-10-20,1002.0,997.54224
2020-10-21,1008.0,1009.44507
2020-10-22,1012.0,1010.5466
2020-10-23,1016.99994,1021.66656
2020-10-24,1019.0,1023.1064
2020-10-25,1019.0,1030.9232
2020-10-26,1021.99994,1029.05
2020-10-27,1024.0,1026.7158
2020-10-28,1034.0,1034.6722
2020-10-29,1039.0,1037.9515
2020-10-30,1042.0,1056.1376
2020-10-31,1045.0,1051.8379
2020-11-01,1048.9999,1051.3712
2020-11-02,1051.0,1055.2605
2020-11-03,1052.0,1062.308
2020-11-04,1056.0,1062.4216
2020-11-05,1061.0,1063.1714
2020-11-06,1061.0,1071.8536
2020-11-07,1062.0,1080.439
2020-11-08,1065.0,1071.4891
2020-11-09,1067.0,1074.3927
2020-11-10,1070.0,1081.1183
2020-11-11,1071.0,1082.2047
2020-11-12,1072.9999,1087.481
2020-11-13,1077.0,1085.6494
2020-11-14,1078.0,1089.4775
2020-11-15,1080.0,1097.2223
2020-11-16,1090.0,1093.306
2020-11-17,1103.0,1099.4187
2020-11-18,1115.0,1116.3154
2020-11-19,1127.0,1132.6302
2020-11-20,1157.0,1142.5791
2020-11-21,1179.0,1171.527
2020-11-22,1206.0,1202.2485
2020-11-23,1228.9999,1214.4624
2020-11-24,1246.0,1243.1646
2020-11-25,1285.9999,1256.8364
2020-11-26,1304.0,1307.3562
2020-11-27,1328.9999,1336.3378
2020-11-28,1354.0,1315.8156
2020-11-29,1375.0,1347.2109
2020-11-30,1409.0,1375.0433
2020-12-01,1425.0,1419.3445
2020-12-02,1448.0001,1452.3074
2020-12-03,1470.0,1450.4716
2020-12-04,1487.0,1483.72
2020-12-05,1506.0,1507.9341
2020-12-06,1548.0,1530.8909
2020-12-07,1588.0,1598.0592
2020-12-08,1613.0,1641.2996
2020-12-09,1659.0,1668.0707
2020-12-10,1696.0,1724.3368
2020-12-11,1733.0,1759.7015
2020-12-12,1775.0,1793.2896
2020-12-13,1837.0,1843.0566
2020-12-14,1873.0,1908.5223
2020-12-15,1928.0,1962.233
2020-12-16,1995.0,2010.5748
2020-12-17,2074.9998,2052.5134
2020-12-18,2140.0,2098.3489
2020-12-19,2186.0,2180.8538
2020-12-20,2248.0,2212.0962
2020-12-21,2336.0,2308.6968
2020-12-22,2381.0,2363.6765
2020-12-23,2429.9998,2464.6545
2020-12-24,2483.0,2467.4248
2020-12-25,2538.0,2520.533
2020-12-26,2592.9998,2579.377
2020-12-27,2653.9998,2641.1335
2020-12-28,2700.0,2714.209
2020-12-29,2731.9998,2760.1514
2020-12-30,2779.9998,2788.189
2020-12-31,2838.9998,2887.8037
2021-01-01,2903.9998,2942.6794
2021-01-02,2974.9998,2989.8936
2021-01-03,3023.0,3041.2295
2021-01-04,3126.0,3077.3098
2021-01-05,3175.0,3186.0793
2021-01-06,3213.0,3232.2732
2021-01-07,3253.9998,3262.7786
2021-01-08,3284.0,3303.0415
2021-01-09,3332.9998,3293.7964
2021-01-10,3365.9998,3376.839
2021-01-11,3388.0,3374.5164
2021-01-12,3408.9998,3397.7144
2021-01-13,3431.0,3421.5723
2021-01-14,3456.0,3441.6526
2021-01-15,3479.9998,3467.7363
2021-01-16,3512.9998,3495.5054
2021-01-17,3547.9998,3531.386
2021-01-18,3560.9998,3565.121
2021-01-19,3580.0,3587.982
2021-01-20,3595.9998,3615.9993
2021-01-21,3618.9998,3627.7598
2021-01-22,3628.0,3639.0337
2021-01-23,3639.9998,3660.7888
2021-01-24,3664.9998,3663.6711
2021-01-25,3679.0,3671.767
2021-01-26,3697.0,3705.1194
2021-01-27,3717.0,3721.8726
2021-01-28,3758.0,3744.793
2021-01-29,3776.9998,3757.6602
2021-01-30,3791.9998,3795.4917
2021-01-31,3813.0,3829.271
2021-02-01,3824.0,3844.7705
2021-02-02,3831.9998,3860.6765
2021-02-03,3852.9998,3868.735
2021-02-04,3897.0,3886.0325
2021-02-05,3922.9998,3902.0618
2021-02-06,3948.0,3937.7698
2021-02-07,3965.0,3979.7039
2021-02-08,3983.0,3994.1816
2021-02-09,3998.9998,4016.4067
2021-02-10,4019.0,4034.584
2021-02-11,4044.0,4062.1204
2021-02-12,4087.0,4094.0737
2021-02-13,4117.0,4124.205
2021-02-14,4136.0,4143.885
2021-02-15,4148.0,4155.0454
2021-02-16,4169.0,4151.8525
2021-02-17,4190.0,4189.1245
2021-02-18,4207.0,4209.93
2021-02-19,4245.0,4218.486
2021-02-20,4282.0,4276.6006
2021-02-21,4303.0,4298.9966
2021-02-22,4322.0,4283.2954
2021-02-23,4336.0,4293.8984
2021-02-24,4354.0,4331.397
2021-02-25,4376.0,4351.03
2021-02-26,4391.0,4380.1123
2021-02-27,4418.0,4406.1187
2021-02-28,4431.0,4419.3237
2021-03-01,4445.0,4429.754
