,Actual_data,Predicted_data
2020-10-08,956.00006,961.86975
2020-10-09,956.00006,966.8132
2020-10-10,964.0,973.83044
2020-10-11,965.0,967.8797
2020-10-12,968.00006,979.79346
2020-10-13,968.00006,977.7411
2020-10-14,976.0,975.67584
2020-10-15,987.00006,982.9994
2020-10-16,991.0,988.2384
2020-10-17,993.0,1010.60364
2020-10-18,994.00006,1010.44464
2020-10-19,999.00006,1010.20386
2020-10-20,1002.0,1006.97375
2020-10-21,1008.0,1007.96893
2020-10-22,1012.0,1013.4039
2020-10-23,1016.99994,1020.9505
2020-10-24,1019.0,1029.1436
2020-10-25,1019.0,1032.3607
2020-10-26,1021.99994,1033.978
2020-10-27,1024.0,1026.3723
2020-10-28,1034.0,1030.8213
2020-10-29,1039.0,1038.0927
2020-10-30,1042.0,1049.3099
2020-10-31,1045.0,1059.457
2020-11-01,1048.9999,1057.9988
2020-11-02,1051.0,1062.9553
2020-11-03,1052.0,1061.6421
2020-11-04,1056.0,1061.6051
2020-11-05,1061.0,1060.8749
2020-11-06,1061.0,1067.601
2020-11-07,1062.0,1075.5455
2020-11-08,1065.0,1071.2723
2020-11-09,1067.0,1071.5206
2020-11-10,1070.0,1076.6066
2020-11-11,1071.0,1076.3425
2020-11-12,1072.9999,1081.6145
2020-11-13,1077.0,1082.8854
2020-11-14,1078.0,1083.7922
2020-11-15,1080.0,1090.5526
2020-11-16,1090.0,1089.0753
2020-11-17,1103.0,1096.9652
2020-11-18,1115.0,1112.992
2020-11-19,1127.0,1129.5137
2020-11-20,1157.0,1147.9796
2020-11-21,1179.0,1195.38
2020-11-22,1206.0,1206.3489
2020-11-23,1228.9999,1239.0511
2020-11-24,1246.0,1272.4174
2020-11-25,1285.9999,1302.4855
2020-11-26,1304.0,1344.5433
2020-11-27,1328.9999,1369.53
2020-11-28,1354.0,1375.3965
2020-11-29,1375.0,1397.3813
2020-11-30,1409.0,1432.8387
2020-12-01,1425.0,1453.0068
2020-12-02,1448.0001,1488.4094
2020-12-03,1470.0,1496.0509
2020-12-04,1487.0,1509.949
2020-12-05,1506.0,1538.2775
2020-12-06,1548.0,1540.9675
2020-12-07,1588.0,1607.2006
2020-12-08,1613.0,1631.8575
2020-12-09,1659.0,1668.1418
2020-12-10,1696.0,1729.4065
2020-12-11,1733.0,1764.7283
2020-12-12,1775.0,1797.1143
2020-12-13,1837.0,1839.4847
2020-12-14,1873.0,1920.8232
2020-12-15,1928.0,1961.8468
2020-12-16,1995.0,2001.0745
2020-12-17,2074.9998,2072.9014
2020-12-18,2140.0,2140.1973
2020-12-19,2186.0,2204.4922
2020-12-20,2248.0,2270.987
2020-12-21,2336.0,2325.5964
2020-12-22,2381.0,2407.336
2020-12-23,2429.9998,2472.9973
2020-12-24,2483.0,2500.6467
2020-12-25,2538.0,2557.627
2020-12-26,2592.9998,2612.1262
2020-12-27,2653.9998,2654.9368
2020-12-28,2700.0,2711.033
2020-12-29,2731.9998,2772.809
2020-12-30,2779.9998,2805.81
2020-12-31,2838.9998,2836.0283
2021-01-01,2903.9998,2897.2043
2021-01-02,2974.9998,2955.8267
2021-01-03,3023.0,3007.9524
2021-01-04,3126.0,3076.3894
2021-01-05,3175.0,3086.578
2021-01-06,3213.0,3153.4475
2021-01-07,3253.9998,3257.2625
2021-01-08,3284.0,3299.0825
2021-01-09,3332.9998,3330.9827
2021-01-10,3365.9998,3353.73
2021-01-11,3388.0,3388.741
2021-01-12,3408.9998,3411.6978
2021-01-13,3431.0,3432.404
2021-01-14,3456.0,3455.42
2021-01-15,3479.9998,3479.4658
2021-01-16,3512.9998,3507.2253
2021-01-17,3547.9998,3559.3225
2021-01-18,3560.9998,3600.6943
2021-01-19,3580.0,3547.036
2021-01-20,3595.9998,3620.8477
2021-01-21,3618.9998,3623.252
2021-01-22,3628.0,3657.4045
2021-01-23,3639.9998,3613.8953
2021-01-24,3664.9998,3670.7463
2021-01-25,3679.0,3719.5115
2021-01-26,3697.0,3694.5818
2021-01-27,3717.0,3744.932
2021-01-28,3758.0,3787.3167
2021-01-29,3776.9998,3822.9868
2021-01-30,3791.9998,3773.7847
2021-01-31,3813.0,3837.9697
2021-02-01,3824.0,3891.0303
2021-02-02,3831.9998,3838.6218
2021-02-03,3852.9998,3840.5352
2021-02-04,3897.0,3898.3699
2021-02-05,3922.9998,3935.8113
2021-02-06,3948.0,3935.6958
2021-02-07,3965.0,4006.1243
2021-02-08,3983.0,4024.309
2021-02-09,3998.9998,4027.8499
2021-02-10,4019.0,4017.524
2021-02-11,4044.0,4046.1736
2021-02-12,4087.0,4077.731
2021-02-13,4117.0,4122.469
2021-02-14,4136.0,4139.7227
2021-02-15,4148.0,4148.5312
2021-02-16,4169.0,4173.5005
2021-02-17,4190.0,4194.7866
2021-02-18,4207.0,4191.31
2021-02-19,4245.0,4196.6826
2021-02-20,4282.0,4248.2466
2021-02-21,4303.0,4321.358
2021-02-22,4322.0,4279.201
2021-02-23,4336.0,4346.4956
2021-02-24,4354.0,4339.4043
2021-02-25,4376.0,4337.04
2021-02-26,4391.0,4380.6855
2021-02-27,4418.0,4401.123
2021-02-28,4431.0,4424.7964
2021-03-01,4445.0,4431.727
