,Actual_data,Predicted_data
2020-12-29,554.0,562.0594
2020-12-30,555.0,555.5494
2020-12-31,560.0,556.5858
2021-01-01,566.0,567.01965
2021-01-02,577.0,568.04517
2021-01-03,589.0,584.84283
2021-01-04,592.0,588.07355
2021-01-05,596.0,580.991
2021-01-06,596.99994,594.04596
2021-01-07,597.99994,593.6535
2021-01-08,597.99994,600.23456
2021-01-09,603.0,600.27893
2021-01-10,607.0,613.6464
2021-01-11,610.0,609.4651
2021-01-12,612.0,610.37445
2021-01-13,612.0,610.7795
2021-01-14,617.99994,609.918
2021-01-15,631.0,625.5343
2021-01-16,644.0,650.61816
2021-01-17,658.99994,652.33093
2021-01-18,663.0,661.66675
2021-01-19,669.0,668.58685
2021-01-20,678.0,682.1277
2021-01-21,692.0,688.90955
2021-01-22,699.0,704.61096
2021-01-23,709.0,705.1602
2021-01-24,710.0,714.27057
2021-01-25,713.0,719.10474
2021-01-26,721.99994,728.85425
2021-01-27,734.0,735.77484
2021-01-28,741.99994,745.879
2021-01-29,747.0,745.3981
2021-01-30,748.0,750.1467
2021-01-31,749.0,755.8958
2021-02-01,750.0,757.8425
2021-02-02,753.0,756.1302
2021-02-03,759.0,757.1909
2021-02-04,761.0,761.6985
2021-02-05,761.0,757.5594
2021-02-06,762.0,761.1422
2021-02-07,766.0,762.9066
2021-02-08,766.0,766.8355
2021-02-09,766.0,761.75903
2021-02-10,768.0,767.59
2021-02-11,768.0,770.8553
2021-02-12,772.0,768.289
2021-02-13,772.0,777.7957
2021-02-14,774.0,770.3583
2021-02-15,779.0,779.3849
2021-02-16,781.0,785.48145
2021-02-17,796.0,781.7864
2021-02-18,800.0,809.4379
2021-02-19,810.0,790.91534
2021-02-20,820.0,815.3224
2021-02-21,828.00006,824.6066
2021-02-22,831.0,833.9624
2021-02-23,837.0,842.9213
2021-02-24,838.0,849.4547
2021-02-25,849.00006,849.3987
2021-02-26,854.0,858.1177
2021-02-27,859.0,857.2227
2021-02-28,859.0,864.77094
2021-03-01,861.0,865.98016
2021-03-02,868.00006,870.16455
2021-03-03,871.0,874.25165
2021-03-04,872.0,873.28375
2021-03-05,872.0,877.90204
2021-03-06,875.0,879.16925
2021-03-07,881.0,880.9761
2021-03-08,887.00006,885.6151
2021-03-09,890.00006,889.37756
2021-03-10,893.0,890.8142
2021-03-11,896.0,894.2112
2021-03-12,900.0,895.81775
2021-03-13,901.0,898.25305
2021-03-14,903.0,898.48987
2021-03-15,904.0,901.36053
2021-03-16,905.0,900.978
2021-03-17,905.0,902.3982
2021-03-18,905.0,902.14404
2021-03-19,905.0,902.8445
2021-03-20,905.0,902.95166
2021-03-21,905.0,903.5376
2021-03-22,907.0,904.3304
2021-03-23,908.00006,907.5142
2021-03-24,908.00006,907.2161
2021-03-25,909.00006,908.6008
2021-03-26,911.00006,911.1196
2021-03-27,911.00006,913.07837
2021-03-28,912.0,911.6712
2021-03-29,913.0,914.64
2021-03-30,913.0,914.3104
2021-03-31,913.0,913.9128
2021-04-01,914.0,914.8626
2021-04-02,915.0,916.02625
2021-04-03,916.0,916.33105
2021-04-04,917.0,917.6026
2021-04-05,922.0,918.4594
2021-04-06,937.0,923.6721
2021-04-07,944.0,942.4377
2021-04-08,945.0,944.04224
2021-04-09,956.0,951.0493
2021-04-10,963.0,954.8914
2021-04-11,969.0,965.371
2021-04-12,972.00006,974.5953
2021-04-13,978.0,981.2736
2021-04-14,979.0,986.21893
2021-04-15,990.0,988.87274
2021-04-16,996.0,992.4652
2021-04-17,1002.0,1000.5859
2021-04-18,1004.0,1008.1307
2021-04-19,1007.0,1013.40607
2021-04-20,1011.0,1018.1105
2021-04-21,1015.00006,1020.5936
2021-04-22,1023.0,1023.91644
2021-04-23,1029.0,1027.6202
2021-04-24,1030.0,1034.286
2021-04-25,1039.0,1040.1439
2021-04-26,1039.0,1038.5962
2021-04-27,1041.0,1037.8584
2021-04-28,1046.0,1047.4961
2021-04-29,1048.0,1050.291
2021-04-30,1053.0,1054.3064
2021-05-01,1055.0,1060.6149
2021-05-02,1056.0,1063.5394
2021-05-03,1080.0,1068.4275
2021-05-04,1089.0,1083.2036
2021-05-05,1101.0,1090.4044
2021-05-06,1111.0,1110.9653
2021-05-07,1123.0,1122.719
2021-05-08,1135.0,1137.6421
2021-05-09,1159.0,1157.6549
2021-05-10,1168.0,1189.1827
2021-05-11,1178.0,1223.4626
2021-05-12,1195.0,1232.4929
2021-05-13,1207.0,1231.6077
2021-05-14,1256.9999,1251.5845
2021-05-15,1283.0,1311.1515
2021-05-16,1296.0,1307.6748
2021-05-17,1315.9999,1368.5104
2021-05-18,1328.0,1410.3746
2021-05-19,1338.0,1444.1117
2021-05-20,1344.9999,1475.271
2021-05-21,1361.9999,1500.9946
2021-05-22,1378.0,1524.2186
