,Actual_data,Predicted_data
2020-10-08,173.0,173.84438
2020-10-09,174.0,173.11734
2020-10-10,176.0,172.90714
2020-10-11,176.0,176.90561
2020-10-12,176.0,182.40465
2020-10-13,176.0,177.35791
2020-10-14,176.0,176.42325
2020-10-15,176.0,176.44366
2020-10-16,176.0,175.9035
2020-10-17,177.0,176.0046
2020-10-18,177.0,175.82619
2020-10-19,177.0,179.8418
2020-10-20,177.0,177.67249
2020-10-21,178.0,177.1397
2020-10-22,178.0,176.96399
2020-10-23,179.0,180.657
2020-10-24,181.0,178.16125
2020-10-25,181.0,181.47995
2020-10-26,181.0,187.1102
2020-10-27,184.0,181.85162
2020-10-28,184.0,182.18568
2020-10-29,184.0,191.45642
2020-10-30,185.0,184.47716
2020-10-31,185.0,182.98268
2020-11-01,187.99998,187.65689
2020-11-02,190.0,185.7698
2020-11-03,190.0,193.96315
2020-11-04,190.0,196.43428
2020-11-05,190.0,190.32217
2020-11-06,190.0,189.72299
2020-11-07,190.0,189.2432
2020-11-08,194.0,188.7309
2020-11-09,196.0,191.58644
2020-11-10,198.0,201.6034
2020-11-11,199.0,201.26947
2020-11-12,207.0,202.66228
2020-11-13,216.00002,214.45865
2020-11-14,229.0,229.96692
2020-11-15,238.0,252.36952
2020-11-16,248.00002,261.73993
2020-11-17,264.00003,268.9678
2020-11-18,279.0,288.76855
2020-11-19,307.0,304.2866
2020-11-20,321.0,317.33212
2020-11-21,340.00003,339.51047
2020-11-22,353.0,339.39847
2020-11-23,358.0,356.6978
2020-11-24,365.00003,373.66284
2020-11-25,373.0,364.68784
2020-11-26,382.0,377.3053
2020-11-27,393.00003,387.00336
2020-11-28,400.0,398.04077
2020-11-29,420.0,405.44366
2020-11-30,424.0,422.8163
2020-12-01,426.0,412.0458
2020-12-02,426.99997,431.22382
2020-12-03,428.99997,426.64993
2020-12-04,431.99997,434.10938
2020-12-05,435.99997,429.24973
2020-12-06,444.00003,434.18365
2020-12-07,447.0,443.76047
2020-12-08,454.0,449.34042
2020-12-09,456.0,452.09424
2020-12-10,461.0,457.52444
2020-12-11,465.0,459.94922
2020-12-12,473.0,465.41418
2020-12-13,479.00003,474.52692
2020-12-14,480.00003,480.81094
2020-12-15,481.00003,484.97858
2020-12-16,485.00003,483.08707
2020-12-17,485.00003,485.12442
2020-12-18,490.00003,489.60355
2020-12-19,495.00003,483.89508
2020-12-20,499.0,496.78882
2020-12-21,508.0,504.3345
2020-12-22,513.0,509.58173
2020-12-23,525.0,517.6366
2020-12-24,527.0,525.94946
2020-12-25,532.0,521.0062
2020-12-26,538.0,531.74524
2020-12-27,543.0,540.66016
2020-12-28,550.0,551.85535
2020-12-29,554.0,554.0691
2020-12-30,555.0,560.77185
2020-12-31,560.0,562.292
2021-01-01,566.0,560.90125
2021-01-02,577.0,573.59283
2021-01-03,589.0,583.213
2021-01-04,592.0,595.8476
2021-01-05,596.0,593.1348
2021-01-06,597.0,602.3065
2021-01-07,598.0,604.9327
2021-01-08,598.0,605.035
2021-01-09,603.0,601.54004
2021-01-10,607.0,603.92615
2021-01-11,610.0,619.2976
2021-01-12,612.0,623.30084
2021-01-13,612.0,624.1873
2021-01-14,618.0,623.4471
2021-01-15,631.00006,620.8548
2021-01-16,644.0,641.9593
2021-01-17,659.0,655.83075
2021-01-18,663.0,666.7477
2021-01-19,669.0,663.4199
2021-01-20,678.0,681.5873
2021-01-21,692.0,693.8164
2021-01-22,699.0,708.8427
2021-01-23,709.0,705.2466
2021-01-24,710.0,719.3983
2021-01-25,713.0,705.4517
2021-01-26,722.0,716.9755
2021-01-27,734.00006,728.2628
2021-01-28,742.0,754.5975
2021-01-29,747.0,758.4523
2021-01-30,748.0,761.7663
2021-01-31,749.0,751.4843
2021-02-01,750.0,746.2462
2021-02-02,753.0,741.97614
2021-02-03,759.0,748.4154
2021-02-04,761.0,767.1544
2021-02-05,761.0,774.1593
2021-02-06,762.0,765.908
2021-02-07,766.0,761.4738
2021-02-08,766.0,770.7852
2021-02-09,766.0,767.7025
2021-02-10,768.0,762.8117
2021-02-11,768.0,768.07574
2021-02-12,772.0,765.4204
2021-02-13,772.0,771.7257
2021-02-14,774.0,774.0872
2021-02-15,779.0,774.43835
2021-02-16,781.0,785.3465
2021-02-17,796.0,787.2925
2021-02-18,800.0,716.152
2021-02-19,810.0,833.00275
2021-02-20,820.0,813.6795
2021-02-21,828.0,874.2111
2021-02-22,831.0,876.29254
2021-02-23,837.0,861.3736
2021-02-24,838.0,854.9246
2021-02-25,849.0,853.6943
2021-02-26,853.99994,858.2286
2021-02-27,858.99994,863.5168
2021-02-28,858.99994,865.28265
2021-03-01,860.99994,867.50604
