,Actual_data,Predicted_data
2020-10-08,59.0,60.27652
2020-10-09,59.0,59.578117
2020-10-10,59.0,58.819416
2020-10-11,59.0,58.945873
2020-10-12,59.0,58.403572
2020-10-13,59.0,58.307774
2020-10-14,59.0,58.114376
2020-10-15,59.0,58.302605
2020-10-16,59.0,58.741905
2020-10-17,59.0,58.405693
2020-10-18,59.0,58.26911
2020-10-19,59.0,58.085163
2020-10-20,59.0,58.18991
2020-10-21,59.0,58.693535
2020-10-22,59.0,58.345257
2020-10-23,59.0,57.637123
2020-10-24,59.0,58.04467
2020-10-25,59.0,58.33416
2020-10-26,59.0,58.29106
2020-10-27,59.0,58.16528
2020-10-28,59.0,58.477474
2020-10-29,59.0,58.969097
2020-10-30,59.0,59.209866
2020-10-31,59.0,58.24108
2020-11-01,59.0,58.27614
2020-11-02,59.0,58.28754
2020-11-03,59.0,58.999218
2020-11-04,60.0,59.00259
2020-11-05,60.0,59.388477
2020-11-06,60.0,59.635853
2020-11-07,60.0,60.50193
2020-11-08,60.0,60.28563
2020-11-09,60.0,60.136517
2020-11-10,60.0,60.075386
2020-11-11,60.0,59.965828
2020-11-12,61.0,60.321526
2020-11-13,62.000004,61.555252
2020-11-14,62.000004,61.821457
2020-11-15,62.000004,61.13322
2020-11-16,63.0,62.15417
2020-11-17,63.0,63.022926
2020-11-18,63.0,63.145332
2020-11-19,63.0,63.818375
2020-11-20,65.0,63.869915
2020-11-21,65.0,65.3056
2020-11-22,65.0,64.722885
2020-11-23,66.0,64.26696
2020-11-24,67.0,65.74891
2020-11-25,70.0,67.00133
2020-11-26,73.0,70.83775
2020-11-27,76.0,72.30465
2020-11-28,78.0,76.52452
2020-11-29,79.0,79.13668
2020-11-30,79.99999,80.16313
2020-12-01,81.0,80.69431
2020-12-02,83.0,82.75019
2020-12-03,84.0,85.67488
2020-12-04,86.0,85.491035
2020-12-05,87.0,86.56957
2020-12-06,87.0,87.957756
2020-12-07,87.0,87.78643
2020-12-08,88.99999,88.5244
2020-12-09,88.99999,91.388214
2020-12-10,102.0,95.36427
2020-12-11,107.0,105.13937
2020-12-12,107.0,107.27244
2020-12-13,110.0,110.40259
2020-12-14,118.0,115.3554
2020-12-15,127.0,126.35617
2020-12-16,141.99998,140.89459
2020-12-17,154.0,154.258
2020-12-18,181.0,180.42686
2020-12-19,204.99998,203.90721
2020-12-20,228.99998,228.36029
2020-12-21,252.0,251.79433
2020-12-22,271.0,271.7037
2020-12-23,304.0,303.91693
2020-12-24,330.0,330.24338
2020-12-25,349.99997,349.81323
2020-12-26,374.0,373.03214
2020-12-27,381.0,382.572
2020-12-28,392.0,392.3451
2020-12-29,397.0,397.98886
2020-12-30,406.99997,406.2958
2020-12-31,416.0,415.9255
2021-01-01,421.0,420.95947
2021-01-02,434.0,433.62814
2021-01-03,438.0,438.37427
2021-01-04,448.0,447.3799
2021-01-05,455.99997,455.31973
2021-01-06,461.0,460.1198
2021-01-07,470.0,470.1565
2021-01-08,476.0,476.22864
2021-01-09,481.0,481.2151
2021-01-10,485.0,484.95547
2021-01-11,487.0,486.56943
2021-01-12,489.0,488.2189
2021-01-13,489.99997,489.2882
2021-01-14,491.99997,491.7454
2021-01-15,493.0,494.26205
2021-01-16,497.0,497.24182
2021-01-17,497.0,496.9361
2021-01-18,499.0,498.66238
2021-01-19,500.0,499.76608
2021-01-20,506.0,505.7692
2021-01-21,511.0,510.27148
2021-01-22,513.0,512.624
2021-01-23,516.0,515.3909
2021-01-24,518.0,517.8783
2021-01-25,518.0,518.02484
2021-01-26,518.0,519.2528
2021-01-27,518.0,517.9194
2021-01-28,518.0,517.4398
2021-01-29,519.0,518.167
2021-01-30,521.0,520.097
2021-01-31,522.0,520.587
2021-02-01,522.0,520.9872
2021-02-02,523.0,521.8511
2021-02-03,524.0,522.0056
2021-02-04,527.0,527.20056
2021-02-05,529.0,528.9864
2021-02-06,535.0,536.7868
2021-02-07,537.0,536.6115
2021-02-08,537.0,538.14777
2021-02-09,539.0,538.3138
2021-02-10,539.0,537.2809
2021-02-11,543.0,539.9332
2021-02-12,547.0,544.63416
2021-02-13,547.0,546.2291
2021-02-14,547.0,546.3301
2021-02-15,547.0,546.47845
2021-02-16,548.0,547.3306
2021-02-17,548.0,547.54315
2021-02-18,553.0,552.33435
2021-02-19,556.0,555.41943
2021-02-20,558.0,557.2098
2021-02-21,561.0,560.1037
2021-02-22,561.0,559.82104
2021-02-23,561.0,541.7074
2021-02-24,563.00006,531.3239
2021-02-25,568.0,525.3752
2021-02-26,568.0,524.2499
2021-02-27,569.0,526.24097
2021-02-28,570.0,520.605
2021-03-01,570.0,518.6928
