,Actual_data,Predicted_data
2020-12-29,397.0,390.01227
2020-12-30,407.0,413.8747
2020-12-31,416.0,423.30612
2021-01-01,421.0,426.35175
2021-01-02,434.00003,428.4992
2021-01-03,438.0,433.86172
2021-01-04,448.0,448.41736
2021-01-05,456.0,470.22214
2021-01-06,461.0,471.83112
2021-01-07,470.00003,472.37424
2021-01-08,476.0,474.09
2021-01-09,481.0,480.38446
2021-01-10,485.00003,483.63773
2021-01-11,487.0,487.57755
2021-01-12,489.0,490.55396
2021-01-13,489.99997,493.43866
2021-01-14,492.0,493.63153
2021-01-15,493.00003,495.8692
2021-01-16,497.0,495.0802
2021-01-17,497.0,500.82492
2021-01-18,499.0,498.59402
2021-01-19,499.99997,508.17944
2021-01-20,506.00003,505.60123
2021-01-21,511.00003,514.73535
2021-01-22,513.0,514.6973
2021-01-23,516.0,515.46484
2021-01-24,518.0,521.4839
2021-01-25,518.0,521.29
2021-01-26,518.0,519.4035
2021-01-27,518.0,520.45087
2021-01-28,518.0,519.18976
2021-01-29,519.0,518.21063
2021-01-30,521.0,520.05756
2021-01-31,522.0,521.8465
2021-02-01,522.0,521.13446
2021-02-02,523.0,521.2776
2021-02-03,524.0,524.68335
2021-02-04,527.0,524.245
2021-02-05,529.0,528.4895
2021-02-06,535.0,528.0468
2021-02-07,537.0,536.1319
2021-02-08,537.0,537.2318
2021-02-09,539.0,540.39575
2021-02-10,539.0,546.04156
2021-02-11,543.0,541.1325
2021-02-12,547.0,550.741
2021-02-13,547.0,550.6565
2021-02-14,547.0,547.6512
2021-02-15,547.0,553.15674
2021-02-16,548.0,551.42926
2021-02-17,548.0,551.9398
2021-02-18,553.0,548.86096
2021-02-19,556.0,561.084
2021-02-20,558.0,561.16986
2021-02-21,561.0,563.7891
2021-02-22,561.0,567.07556
2021-02-23,561.0,563.664
2021-02-24,563.0,566.15027
2021-02-25,568.0,568.8715
2021-02-26,568.0,572.0254
2021-02-27,569.0,568.97754
2021-02-28,570.0,579.9096
2021-03-01,570.0,578.2487
2021-03-02,575.0,574.75
2021-03-03,579.0,585.18146
2021-03-04,582.0,585.87134
2021-03-05,584.0,587.72723
2021-03-06,589.0,589.4131
2021-03-07,593.0,593.77356
2021-03-08,596.0,595.516
2021-03-09,598.0,597.7772
2021-03-10,600.0,599.7459
2021-03-11,602.0,601.61475
2021-03-12,604.0,602.72314
2021-03-13,605.0,604.0748
2021-03-14,606.0,604.43494
2021-03-15,609.0,606.31055
2021-03-16,611.0,610.31116
2021-03-17,612.0,611.1112
2021-03-18,614.0,612.59607
2021-03-19,614.0,616.13794
2021-03-20,615.0,613.8088
2021-03-21,616.0,617.888
2021-03-22,617.0,617.67816
2021-03-23,617.0,618.2748
2021-03-24,617.0,617.0763
2021-03-25,617.0,617.9067
2021-03-26,620.0,617.56854
2021-03-27,622.0,623.9463
2021-03-28,622.0,624.3381
2021-03-29,623.0,623.6888
2021-03-30,623.0,627.9403
2021-03-31,625.0,625.0901
2021-04-01,627.0,629.53546
2021-04-02,631.0,629.8223
2021-04-03,632.0,633.72003
2021-04-04,634.0,633.2766
2021-04-05,636.0,639.41254
2021-04-06,636.0,639.6535
2021-04-07,639.0,636.81494
2021-04-08,644.0,643.93945
2021-04-09,646.0,646.5989
2021-04-10,653.0,647.5516
2021-04-11,660.0,657.2585
2021-04-12,663.0,662.23914
2021-04-13,663.0,666.28143
2021-04-14,665.0,668.7787
2021-04-15,668.0,673.2816
2021-04-16,671.0,673.77734
2021-04-17,672.0,674.4811
2021-04-18,673.0,674.32355
2021-04-19,675.0,676.4445
2021-04-20,676.0,677.99347
2021-04-21,683.0,677.35767
2021-04-22,687.0,686.3242
2021-04-23,690.0,693.7879
2021-04-24,693.0,698.81055
2021-04-25,696.0,700.2194
2021-04-26,697.0,700.4955
2021-04-27,702.0,699.1479
2021-04-28,705.0,704.5888
2021-04-29,706.0,708.4019
2021-04-30,707.0,709.03986
2021-05-01,714.0,709.93646
2021-05-02,715.0,716.1201
2021-05-03,716.0,719.7837
2021-05-04,724.0,730.4738
2021-05-05,737.0,737.2125
2021-05-06,743.0,740.0887
2021-05-07,755.0,753.87134
2021-05-08,760.0,765.652
2021-05-09,778.0,781.36316
2021-05-10,792.0,799.37354
2021-05-11,816.0,819.0467
2021-05-12,829.0,815.91656
2021-05-13,838.0,839.3374
2021-05-14,848.0,878.7226
2021-05-15,862.00006,875.49774
2021-05-16,871.0,869.2733
2021-05-17,886.0,895.9887
2021-05-18,897.0,920.9632
2021-05-19,901.0,943.90295
2021-05-20,907.0,966.94415
2021-05-21,912.0,987.93427
2021-05-22,919.00006,1001.5268
