,Actual_data,Predicted_data
2020-12-29,1608.0,1615.0208
2020-12-30,1635.0,1631.7792
2020-12-31,1653.0,1646.4875
2021-01-01,1668.0,1664.2815
2021-01-02,1675.0,1675.7524
2021-01-03,1684.0001,1684.494
2021-01-04,1707.0001,1708.9327
2021-01-05,1725.0,1722.5308
2021-01-06,1749.0,1748.2401
2021-01-07,1769.0,1770.4863
2021-01-08,1790.0,1789.9086
2021-01-09,1817.0,1809.5583
2021-01-10,1847.0,1841.7188
2021-01-11,1858.0,1852.2913
2021-01-12,1861.0,1863.8489
2021-01-13,1866.0001,1863.9706
2021-01-14,1878.0,1877.9426
2021-01-15,1884.0,1882.3855
2021-01-16,1892.0,1891.9502
2021-01-17,1899.0001,1900.0858
2021-01-18,1909.9999,1908.921
2021-01-19,1918.0,1920.738
2021-01-20,1926.0,1928.8097
2021-01-21,1936.0,1941.782
2021-01-22,1942.9999,1945.0168
2021-01-23,1960.0,1959.3062
2021-01-24,1968.9999,1973.8779
2021-01-25,1982.0,1983.0175
2021-01-26,1987.9999,1991.829
2021-01-27,1991.9999,1994.186
2021-01-28,1996.0,1993.2046
2021-01-29,2001.9999,1998.289
2021-01-30,2010.9999,2006.1262
2021-01-31,2016.0,2012.9344
2021-02-01,2020.0,2020.879
2021-02-02,2024.9999,2029.9043
2021-02-03,2061.0,2053.8103
2021-02-04,2074.0,2071.9304
2021-02-05,2087.0,2079.2998
2021-02-06,2100.0,2099.4968
2021-02-07,2114.0,2111.7764
2021-02-08,2124.0,2129.2935
2021-02-09,2129.0,2132.6045
2021-02-10,2131.0,2136.1147
2021-02-11,2132.0,2142.6387
2021-02-12,2145.0,2152.6272
2021-02-13,2160.0,2171.4768
2021-02-14,2172.0,2181.9019
2021-02-15,2181.0,2202.8867
2021-02-16,2239.0,2244.2512
2021-02-17,2314.0,2307.1362
2021-02-18,2342.0,2344.5596
2021-02-19,2365.9998,2360.9126
2021-02-20,2378.0,2377.3674
2021-02-21,2388.0,2388.1626
2021-02-22,2394.0,2392.2358
2021-02-23,2402.0,2396.8657
2021-02-24,2414.0,2404.8467
2021-02-25,2430.0,2412.7085
2021-02-26,2433.0,2423.9587
2021-02-27,2437.0,2426.2017
2021-02-28,2444.0,2437.6396
2021-03-01,2448.0,2443.2
2021-03-02,2452.0,2449.4587
2021-03-03,2456.0,2452.7842
2021-03-04,2460.0,2467.4636
2021-03-05,2469.0,2472.9954
2021-03-06,2476.0,2479.1843
2021-03-07,2482.0,2479.533
2021-03-08,2496.0,2494.8787
2021-03-09,2511.0,2511.0916
2021-03-10,2517.0,2520.1328
2021-03-11,2521.0,2524.8215
2021-03-12,2524.0,2522.7903
2021-03-13,2533.0,2533.128
2021-03-14,2535.0,2542.8003
2021-03-15,2541.0,2543.0664
2021-03-16,2545.0,2550.621
2021-03-17,2551.0,2554.484
2021-03-18,2565.0,2556.9036
2021-03-19,2569.9998,2571.294
2021-03-20,2576.0,2578.9956
2021-03-21,2581.0,2587.36
2021-03-22,2592.0,2600.7861
2021-03-23,2600.0,2603.3003
2021-03-24,2600.0,2605.4646
2021-03-25,2603.9998,2594.236
2021-03-26,2607.0,2599.2124
2021-03-27,2609.0,2601.9463
2021-03-28,2617.0,2612.2405
2021-03-29,2618.0,2624.767
2021-03-30,2623.0,2623.62
2021-03-31,2631.0,2642.0298
2021-04-01,2646.0,2646.1672
2021-04-02,2656.0,2652.314
2021-04-03,2666.0,2660.4224
2021-04-04,2678.0,2670.2195
2021-04-05,2692.0,2682.6116
2021-04-06,2698.0,2688.7146
2021-04-07,2710.0,2701.4524
2021-04-08,2730.0,2726.2583
2021-04-09,2748.0,2745.1584
2021-04-10,2762.9998,2764.4822
2021-04-11,2785.0,2791.3538
2021-04-12,2803.0,2808.876
2021-04-13,2817.0,2822.2815
2021-04-14,2827.0,2828.7095
2021-04-15,2830.9998,2835.5417
2021-04-16,2844.0,2847.212
2021-04-17,2851.0,2864.9675
2021-04-18,2873.0,2882.5715
2021-04-19,2886.0,2899.5789
2021-04-20,2902.0,2915.5195
2021-04-21,2909.9998,2927.248
2021-04-22,2916.0002,2937.1865
2021-04-23,2926.0,2935.2708
2021-04-24,2940.0,2953.059
2021-04-25,2946.0,2965.8135
2021-04-26,2953.0,2970.8154
2021-04-27,2966.9998,2985.2522
2021-04-28,3005.0,3007.4229
2021-04-29,3021.0,3026.938
2021-04-30,3033.0,3033.8909
2021-05-01,3050.0002,3043.223
2021-05-02,3066.0,3069.1133
2021-05-03,3076.0,3072.541
2021-05-04,3095.0,3088.856
2021-05-05,3105.0002,3106.893
2021-05-06,3120.0002,3120.77
2021-05-07,3129.0002,3129.6758
2021-05-08,3132.0,3136.8352
2021-05-09,3142.0002,3144.296
2021-05-10,3157.0,3158.701
2021-05-11,3175.0002,3176.2168
2021-05-12,3185.0,3186.6204
2021-05-13,3204.0,3200.853
2021-05-14,3226.0,3225.7434
2021-05-15,3238.0,3236.8616
2021-05-16,3256.0002,3223.067
2021-05-17,3272.0,3235.0813
2021-05-18,3287.0002,3244.4924
2021-05-19,3304.0,3254.2732
2021-05-20,3323.0,3260.7896
2021-05-21,3364.0002,3294.6868
2021-05-22,3381.0,3312.8186
