,Actual_data,Predicted_data
2020-12-29,1608.0,1609.0903
2020-12-30,1635.0,1627.6168
2020-12-31,1653.0,1652.5192
2021-01-01,1668.0,1664.1682
2021-01-02,1675.0,1672.974
2021-01-03,1684.0001,1682.6842
2021-01-04,1707.0001,1704.4478
2021-01-05,1725.0,1725.9863
2021-01-06,1749.0,1745.3202
2021-01-07,1769.0,1762.5013
2021-01-08,1790.0,1787.7684
2021-01-09,1817.0,1815.1766
2021-01-10,1847.0,1844.4597
2021-01-11,1858.0,1850.625
2021-01-12,1861.0,1859.7424
2021-01-13,1866.0001,1863.4573
2021-01-14,1878.0,1873.5658
2021-01-15,1884.0,1877.4125
2021-01-16,1892.0,1890.1063
2021-01-17,1899.0001,1892.9064
2021-01-18,1909.9999,1905.9623
2021-01-19,1918.0,1918.5596
2021-01-20,1926.0,1922.3077
2021-01-21,1936.0,1932.8594
2021-01-22,1942.9999,1948.4567
2021-01-23,1960.0,1952.5614
2021-01-24,1968.9999,1963.7513
2021-01-25,1982.0,1976.743
2021-01-26,1987.9999,1983.0797
2021-01-27,1991.9999,1992.0802
2021-01-28,1996.0,1993.4972
2021-01-29,2001.9999,2000.2822
2021-01-30,2010.9999,2003.1694
2021-01-31,2016.0,2013.3115
2021-02-01,2020.0,2020.226
2021-02-02,2024.9999,2026.1727
2021-02-03,2061.0,2054.3608
2021-02-04,2074.0,2069.8242
2021-02-05,2087.0,2075.1895
2021-02-06,2100.0,2094.3306
2021-02-07,2114.0,2109.163
2021-02-08,2124.0,2118.7727
2021-02-09,2129.0,2126.5645
2021-02-10,2131.0,2124.008
2021-02-11,2132.0,2131.254
2021-02-12,2145.0,2137.5574
2021-02-13,2160.0,2158.9685
2021-02-14,2172.0,2171.8948
2021-02-15,2181.0,2185.2886
2021-02-16,2239.0,2237.6797
2021-02-17,2314.0,2308.7192
2021-02-18,2342.0,2336.9941
2021-02-19,2365.9998,2362.3638
2021-02-20,2378.0,2375.2385
2021-02-21,2388.0,2385.9329
2021-02-22,2394.0,2395.2961
2021-02-23,2402.0,2393.1658
2021-02-24,2414.0,2410.4705
2021-02-25,2430.0,2416.959
2021-02-26,2433.0,2428.2583
2021-02-27,2437.0,2429.7073
2021-02-28,2444.0,2436.4163
2021-03-01,2448.0,2432.0486
2021-03-02,2452.0,2448.87
2021-03-03,2456.0,2445.504
2021-03-04,2460.0,2457.8298
2021-03-05,2469.0,2470.4395
2021-03-06,2476.0,2474.1155
2021-03-07,2482.0,2476.3782
2021-03-08,2496.0,2492.3083
2021-03-09,2511.0,2506.6382
2021-03-10,2517.0,2517.4863
2021-03-11,2521.0,2519.636
2021-03-12,2524.0,2522.8103
2021-03-13,2533.0,2530.801
2021-03-14,2535.0,2531.6506
2021-03-15,2541.0,2540.3833
2021-03-16,2545.0,2540.7144
2021-03-17,2551.0,2547.9617
2021-03-18,2565.0,2561.008
2021-03-19,2569.9998,2562.2373
2021-03-20,2576.0,2575.5078
2021-03-21,2581.0,2576.9878
2021-03-22,2592.0,2592.195
2021-03-23,2600.0,2593.2405
2021-03-24,2600.0,2588.9417
2021-03-25,2603.9998,2592.4102
2021-03-26,2607.0,2603.086
2021-03-27,2609.0,2592.9614
2021-03-28,2617.0,2607.6633
2021-03-29,2618.0,2618.371
2021-03-30,2623.0,2619.993
2021-03-31,2631.0,2634.4978
2021-04-01,2646.0,2643.2053
2021-04-02,2656.0,2655.1694
2021-04-03,2666.0,2659.765
2021-04-04,2678.0,2674.8647
2021-04-05,2692.0,2691.871
2021-04-06,2698.0,2697.4683
2021-04-07,2710.0,2709.0254
2021-04-08,2730.0,2728.2632
2021-04-09,2748.0,2740.1003
2021-04-10,2762.9998,2756.5205
2021-04-11,2785.0,2787.0002
2021-04-12,2803.0,2798.8232
2021-04-13,2817.0,2817.5776
2021-04-14,2827.0,2818.8494
2021-04-15,2830.9998,2829.9937
2021-04-16,2844.0,2840.171
2021-04-17,2851.0,2849.3909
2021-04-18,2873.0,2882.815
2021-04-19,2886.0,2884.6658
2021-04-20,2902.0,2895.2546
2021-04-21,2909.9998,2903.2573
2021-04-22,2916.0002,2909.1924
2021-04-23,2926.0,2924.643
2021-04-24,2940.0,2933.3137
2021-04-25,2946.0,2939.753
2021-04-26,2953.0,2959.5996
2021-04-27,2966.9998,2974.3992
2021-04-28,3005.0,3000.7517
2021-04-29,3021.0,3025.6335
2021-04-30,3033.0,3028.9507
2021-05-01,3050.0002,3037.972
2021-05-02,3066.0,3049.8804
2021-05-03,3076.0,3067.177
2021-05-04,3095.0,3078.447
2021-05-05,3105.0002,3093.3645
2021-05-06,3120.0002,3114.544
2021-05-07,3129.0002,3124.818
2021-05-08,3132.0,3128.995
2021-05-09,3142.0002,3139.9934
2021-05-10,3157.0,3156.2688
2021-05-11,3175.0002,3172.3845
2021-05-12,3185.0,3182.3047
2021-05-13,3204.0,3201.154
2021-05-14,3226.0,3221.8867
2021-05-15,3238.0,3232.9192
2021-05-16,3256.0002,3218.996
2021-05-17,3272.0,3218.4724
2021-05-18,3287.0002,3211.5396
2021-05-19,3304.0,3249.087
2021-05-20,3323.0,3253.3223
2021-05-21,3364.0002,3265.9998
2021-05-22,3381.0,3285.2139
