,Actual_data,Predicted_data
2020-10-08,490.99997,484.3489
2020-10-09,490.99997,483.1704
2020-10-10,494.0,482.62936
2020-10-11,495.0,487.04422
2020-10-12,497.0,493.40585
2020-10-13,499.0,493.51874
2020-10-14,500.0,497.39542
2020-10-15,500.0,499.23917
2020-10-16,501.0,497.47296
2020-10-17,503.0,496.37366
2020-10-18,503.0,500.01443
2020-10-19,505.0,501.85693
2020-10-20,507.0,501.2558
2020-10-21,507.0,506.1558
2020-10-22,518.0,506.8869
2020-10-23,522.0,522.3627
2020-10-24,526.99994,540.0931
2020-10-25,529.0,533.5186
2020-10-26,530.0,537.33575
2020-10-27,531.0,534.8093
2020-10-28,532.0,533.7447
2020-10-29,533.0,534.1751
2020-10-30,536.0,534.9685
2020-10-31,541.0,539.24506
2020-11-01,550.0,549.14233
2020-11-02,560.99994,564.8511
2020-11-03,568.0,582.5267
2020-11-04,578.0,595.10333
2020-11-05,601.00006,600.4451
2020-11-06,626.0,632.11365
2020-11-07,635.0,637.32513
2020-11-08,644.0,659.0827
2020-11-09,654.0,644.99634
2020-11-10,658.0,654.15326
2020-11-11,665.0,657.727
2020-11-12,674.0,661.7777
2020-11-13,682.0,671.9899
2020-11-14,693.0,682.7367
2020-11-15,698.0,696.38745
2020-11-16,704.0,706.34845
2020-11-17,713.0,709.2376
2020-11-18,720.0,721.2599
2020-11-19,733.0,732.8478
2020-11-20,748.0,749.81744
2020-11-21,769.0,766.83606
2020-11-22,782.0,786.7702
2020-11-23,791.0,802.43536
2020-11-24,799.00006,813.42633
2020-11-25,817.0,823.0172
2020-11-26,833.0,846.6407
2020-11-27,864.00006,852.27875
2020-11-28,881.00006,886.3843
2020-11-29,894.0,887.7278
2020-11-30,899.0,892.2168
2020-12-01,915.0,900.7776
2020-12-02,923.0,928.0608
2020-12-03,937.00006,924.9859
2020-12-04,960.0,940.6008
2020-12-05,970.0,961.37225
2020-12-06,985.0,977.02405
2020-12-07,995.0,988.89435
2020-12-08,1010.00006,998.8486
2020-12-09,1014.00006,1021.43036
2020-12-10,1034.0,1027.046
2020-12-11,1044.0,1061.2596
2020-12-12,1054.0,1066.5978
2020-12-13,1064.0,1078.6553
2020-12-14,1119.0,1092.8094
2020-12-15,1156.0,1145.9072
2020-12-16,1191.0,1184.1553
2020-12-17,1209.9999,1186.1403
2020-12-18,1228.0,1200.2759
2020-12-19,1252.0,1221.9082
2020-12-20,1272.0,1247.89
2020-12-21,1288.0,1254.018
2020-12-22,1305.0,1289.6719
2020-12-23,1316.0,1332.5956
2020-12-24,1346.9999,1373.646
2020-12-25,1427.0,1447.0182
2020-12-26,1487.9999,1492.4921
2020-12-27,1546.0,1556.8192
2020-12-28,1581.0,1596.5071
2020-12-29,1608.0,1622.5186
2020-12-30,1634.9999,1645.9086
2020-12-31,1652.9999,1659.0284
2021-01-01,1667.9999,1650.3104
2021-01-02,1675.0,1670.5762
2021-01-03,1684.0,1663.7878
2021-01-04,1707.0,1690.5527
2021-01-05,1725.0,1753.4114
2021-01-06,1749.0,1751.4045
2021-01-07,1768.9999,1792.9991
2021-01-08,1789.9999,1798.8949
2021-01-09,1817.0,1822.0043
2021-01-10,1847.0,1841.8318
2021-01-11,1858.0,1858.0244
2021-01-12,1861.0,1865.3539
2021-01-13,1866.0,1889.4485
2021-01-14,1878.0,1893.7035
2021-01-15,1884.0,1894.2787
2021-01-16,1892.0,1892.148
2021-01-17,1898.9999,1919.8849
2021-01-18,1909.9999,1920.8064
2021-01-19,1917.9999,1933.2095
2021-01-20,1925.9999,1938.819
2021-01-21,1935.9999,1955.1503
2021-01-22,1942.9999,1959.0846
2021-01-23,1960.0,1965.2219
2021-01-24,1969.0,1981.0531
2021-01-25,1982.0,1981.6562
2021-01-26,1988.0,2006.9248
2021-01-27,1992.0,2000.369
2021-01-28,1996.0,2017.7715
2021-01-29,2002.0,2016.7822
2021-01-30,2011.0,2017.1848
2021-01-31,2016.0,2020.0322
2021-02-01,2020.0,2030.8303
2021-02-02,2025.0,2050.7651
2021-02-03,2061.0,2056.855
2021-02-04,2074.0,2079.379
2021-02-05,2087.0,2082.522
2021-02-06,2100.0,2134.351
2021-02-07,2114.0,2118.6692
2021-02-08,2124.0,2100.3303
2021-02-09,2129.0,2086.8765
2021-02-10,2131.0,2098.6497
2021-02-11,2132.0,2112.894
2021-02-12,2145.0,2124.167
2021-02-13,2160.0,2153.5312
2021-02-14,2172.0,2154.9553
2021-02-15,2181.0,2201.3562
2021-02-16,2239.0,2235.6504
2021-02-17,2314.0,2202.6714
2021-02-18,2342.0,2170.8457
2021-02-19,2366.0,2190.872
2021-02-20,2378.0002,2310.8718
2021-02-21,2388.0002,2281.5022
2021-02-22,2394.0002,2272.1064
2021-02-23,2402.0002,2234.9124
2021-02-24,2414.0,2266.5605
2021-02-25,2430.0,2292.0095
2021-02-26,2433.0,2317.1575
2021-02-27,2437.0,2334.3467
2021-02-28,2444.0,2339.2656
2021-03-01,2448.0,2339.757
