,Actual_data,Predicted_data
2020-12-29,1096.0,1050.311
2020-12-30,1141.0,1091.472
2020-12-31,1163.0,1112.8362
2021-01-01,1185.0,1133.9545
2021-01-02,1221.0,1168.0884
2021-01-03,1248.0,1196.5883
2021-01-04,1271.0,1221.6959
2021-01-05,1303.0,1252.9513
2021-01-06,1324.0,1275.3167
2021-01-07,1338.0,1290.4847
2021-01-08,1347.9999,1302.9951
2021-01-09,1377.9999,1331.432
2021-01-10,1387.0,1340.9901
2021-01-11,1397.0,1350.1793
2021-01-12,1412.9999,1365.9878
2021-01-13,1424.0,1378.1669
2021-01-14,1442.0001,1394.5366
2021-01-15,1451.0,1405.1504
2021-01-16,1457.0,1410.1685
2021-01-17,1464.0,1418.113
2021-01-18,1473.0,1426.5092
2021-01-19,1477.9999,1437.38
2021-01-20,1480.9999,1436.6196
2021-01-21,1488.0,1447.5906
2021-01-22,1489.0,1447.3082
2021-01-23,1493.0,1456.3698
2021-01-24,1505.0,1470.9386
2021-01-25,1512.9999,1480.2472
2021-01-26,1520.0,1494.1637
2021-01-27,1528.0,1503.0532
2021-01-28,1553.0,1520.2799
2021-01-29,1562.0,1536.5575
2021-01-30,1572.9999,1540.672
2021-01-31,1573.9999,1543.1005
2021-02-01,1579.9999,1552.1139
2021-02-02,1598.0,1566.4004
2021-02-03,1606.9999,1573.4286
2021-02-04,1610.9999,1574.893
2021-02-05,1613.9999,1580.3497
2021-02-06,1616.0,1581.8469
2021-02-07,1617.0,1582.6301
2021-02-08,1617.0,1585.4692
2021-02-09,1620.0,1588.6808
2021-02-10,1622.0,1587.2593
2021-02-11,1626.0,1589.7379
2021-02-12,1632.0,1596.0328
2021-02-13,1636.9999,1601.9132
2021-02-14,1641.9999,1604.7711
2021-02-15,1641.9999,1608.3602
2021-02-16,1649.0,1613.0157
2021-02-17,1655.0,1617.2374
2021-02-18,1671.9999,1634.7222
2021-02-19,1690.0,1645.7765
2021-02-20,1705.9999,1658.226
2021-02-21,1711.9999,1671.3378
2021-02-22,1719.0,1674.4135
2021-02-23,1723.0,1678.8322
2021-02-24,1724.0,1686.0635
2021-02-25,1728.0,1689.9469
2021-02-26,1737.9999,1697.3083
2021-02-27,1745.9999,1702.3564
2021-02-28,1756.0,1707.3228
2021-03-01,1764.0,1720.1381
2021-03-02,1769.9999,1730.5941
2021-03-03,1789.0,1737.3447
2021-03-04,1800.9999,1747.2875
2021-03-05,1820.0,1764.2058
2021-03-06,1841.9999,1787.022
2021-03-07,1851.0,1805.7025
2021-03-08,1870.9999,1815.8906
2021-03-09,1892.0,1836.6542
2021-03-10,1912.9999,1855.5632
2021-03-11,1919.0,1874.1041
2021-03-12,1945.9999,1879.1495
2021-03-13,1962.0,1902.702
2021-03-14,1968.9999,1914.2094
2021-03-15,1977.9999,1920.6462
2021-03-16,1981.0,1925.7661
2021-03-17,1993.0,1935.9404
2021-03-18,2000.9999,1946.2108
2021-03-19,2008.9999,1948.6497
2021-03-20,2017.0,1959.7191
2021-03-21,2027.0,1964.6965
2021-03-22,2032.0,1978.7145
2021-03-23,2037.9999,1990.1842
2021-03-24,2043.9999,1998.1416
2021-03-25,2061.0,2010.8285
2021-03-26,2074.0,2024.5005
2021-03-27,2113.0,2054.6316
2021-03-28,2129.0,2080.5046
2021-03-29,2141.0,2093.8916
2021-03-30,2169.0,2109.2166
2021-03-31,2190.0,2123.443
2021-04-01,2210.0,2147.8826
2021-04-02,2229.0,2161.2021
2021-04-03,2240.0,2183.6038
2021-04-04,2254.0,2191.7524
2021-04-05,2261.0,2204.2341
2021-04-06,2273.0,2212.0806
2021-04-07,2290.0,2226.3489
2021-04-08,2298.0,2242.1047
2021-04-09,2305.0,2250.3662
2021-04-10,2317.0,2261.4194
2021-04-11,2327.0,2267.9304
2021-04-12,2347.0,2280.4011
2021-04-13,2355.0,2295.422
2021-04-14,2384.0,2315.483
2021-04-15,2404.0,2343.4915
2021-04-16,2413.0,2355.1184
2021-04-17,2425.0,2377.8738
2021-04-18,2435.0,2384.085
2021-04-19,2445.0,2390.2363
2021-04-20,2459.0,2407.9805
2021-04-21,2479.0,2422.8125
2021-04-22,2498.0,2436.925
2021-04-23,2528.0,2461.6213
2021-04-24,2543.0,2482.366
2021-04-25,2558.0,2500.3374
2021-04-26,2574.0,2512.9707
2021-04-27,2584.0,2521.951
2021-04-28,2606.0,2538.7427
2021-04-29,2616.0,2555.0042
2021-04-30,2628.0,2564.4878
2021-05-01,2633.0,2567.1018
2021-05-02,2644.0,2580.0764
2021-05-03,2653.0,2583.6326
2021-05-04,2660.0,2593.9072
2021-05-05,2671.0,2606.0288
2021-05-06,2677.0,2616.762
2021-05-07,2682.0,2622.255
2021-05-08,2691.0002,2630.7734
2021-05-09,2700.0,2639.984
2021-05-10,2704.0,2644.6982
2021-05-11,2708.0,2650.0308
2021-05-12,2720.0,2660.0024
2021-05-13,2730.0,2669.8132
2021-05-14,2734.0,2673.4426
2021-05-15,2739.0,2677.0872
2021-05-16,2759.0002,2662.1714
2021-05-17,2782.0,2685.1794
2021-05-18,2795.0,2696.4194
2021-05-19,2816.0,2704.659
2021-05-20,2829.0002,2727.7913
2021-05-21,2841.0,2723.7285
2021-05-22,2847.0,2739.8125
