,Actual_data,Predicted_data
2020-12-29,1096.0,1101.273
2020-12-30,1141.0,1140.6289
2020-12-31,1163.0,1166.792
2021-01-01,1185.0,1188.01
2021-01-02,1221.0,1221.3534
2021-01-03,1248.0,1250.3663
2021-01-04,1271.0,1275.3323
2021-01-05,1303.0,1302.3062
2021-01-06,1324.0,1326.3483
2021-01-07,1338.0,1342.9429
2021-01-08,1347.9999,1349.6113
2021-01-09,1377.9999,1375.6815
2021-01-10,1387.0,1389.8301
2021-01-11,1397.0,1398.6865
2021-01-12,1412.9999,1413.7089
2021-01-13,1424.0,1428.0948
2021-01-14,1442.0001,1443.3557
2021-01-15,1451.0,1452.7396
2021-01-16,1457.0,1461.2687
2021-01-17,1464.0,1467.3973
2021-01-18,1473.0,1473.0851
2021-01-19,1477.9999,1480.1833
2021-01-20,1480.9999,1482.2825
2021-01-21,1488.0,1489.3396
2021-01-22,1489.0,1490.5237
2021-01-23,1493.0,1499.1559
2021-01-24,1505.0,1506.5839
2021-01-25,1512.9999,1511.9742
2021-01-26,1520.0,1521.6353
2021-01-27,1528.0,1530.8745
2021-01-28,1553.0,1549.1907
2021-01-29,1562.0,1561.4926
2021-01-30,1572.9999,1575.5366
2021-01-31,1573.9999,1580.0232
2021-02-01,1579.9999,1583.1362
2021-02-02,1598.0,1595.5757
2021-02-03,1606.9999,1606.7292
2021-02-04,1610.9999,1611.4789
2021-02-05,1613.9999,1615.6837
2021-02-06,1616.0,1615.0118
2021-02-07,1617.0,1617.9193
2021-02-08,1617.0,1622.3586
2021-02-09,1620.0,1621.5432
2021-02-10,1622.0,1623.4713
2021-02-11,1626.0,1626.7063
2021-02-12,1632.0,1633.9387
2021-02-13,1636.9999,1638.4364
2021-02-14,1641.9999,1645.4103
2021-02-15,1641.9999,1645.8336
2021-02-16,1649.0,1649.5947
2021-02-17,1655.0,1657.5677
2021-02-18,1671.9999,1669.401
2021-02-19,1690.0,1693.8698
2021-02-20,1705.9999,1705.5042
2021-02-21,1711.9999,1721.4612
2021-02-22,1719.0,1722.815
2021-02-23,1723.0,1729.991
2021-02-24,1724.0,1735.436
2021-02-25,1728.0,1735.3408
2021-02-26,1737.9999,1740.6932
2021-02-27,1745.9999,1750.2529
2021-02-28,1756.0,1754.3599
2021-03-01,1764.0,1765.8702
2021-03-02,1769.9999,1774.4489
2021-03-03,1789.0,1781.3508
2021-03-04,1800.9999,1800.5399
2021-03-05,1820.0,1813.345
2021-03-06,1841.9999,1833.8064
2021-03-07,1851.0,1852.1149
2021-03-08,1870.9999,1863.6537
2021-03-09,1892.0,1885.6261
2021-03-10,1912.9999,1904.4716
2021-03-11,1919.0,1921.9971
2021-03-12,1945.9999,1934.2675
2021-03-13,1962.0,1958.567
2021-03-14,1968.9999,1971.4904
2021-03-15,1977.9999,1979.257
2021-03-16,1981.0,1986.1604
2021-03-17,1993.0,1993.5371
2021-03-18,2000.9999,2003.5876
2021-03-19,2008.9999,2013.9702
2021-03-20,2017.0,2019.5256
2021-03-21,2027.0,2027.5491
2021-03-22,2032.0,2039.4888
2021-03-23,2037.9999,2045.5614
2021-03-24,2043.9999,2056.6594
2021-03-25,2061.0,2065.5442
2021-03-26,2074.0,2080.9424
2021-03-27,2113.0,2107.7715
2021-03-28,2129.0,2136.5142
2021-03-29,2141.0,2148.5352
2021-03-30,2169.0,2168.9675
2021-03-31,2190.0,2189.8047
2021-04-01,2210.0,2211.2893
2021-04-02,2229.0,2230.5708
2021-04-03,2240.0,2250.9514
2021-04-04,2254.0,2258.5583
2021-04-05,2261.0,2274.4421
2021-04-06,2273.0,2281.9075
2021-04-07,2290.0,2290.6543
2021-04-08,2298.0,2306.3196
2021-04-09,2305.0,2313.8557
2021-04-10,2317.0,2323.2417
2021-04-11,2327.0,2335.2625
2021-04-12,2347.0,2345.6216
2021-04-13,2355.0,2363.7593
2021-04-14,2384.0,2384.6348
2021-04-15,2404.0,2408.9111
2021-04-16,2413.0,2423.0195
2021-04-17,2425.0,2439.2449
2021-04-18,2435.0,2444.1702
2021-04-19,2445.0,2448.5234
2021-04-20,2459.0,2462.9915
2021-04-21,2479.0,2480.0427
2021-04-22,2498.0,2497.3196
2021-04-23,2528.0,2518.7695
2021-04-24,2543.0,2537.1646
2021-04-25,2558.0,2558.2087
2021-04-26,2574.0,2568.7693
2021-04-27,2584.0,2581.4814
2021-04-28,2606.0,2595.5967
2021-04-29,2616.0,2614.9812
2021-04-30,2628.0,2626.3643
2021-05-01,2633.0,2637.0198
2021-05-02,2644.0,2638.4656
2021-05-03,2653.0,2651.5068
2021-05-04,2660.0,2658.1572
2021-05-05,2671.0,2671.3699
2021-05-06,2677.0,2680.4941
2021-05-07,2682.0,2685.806
2021-05-08,2691.0002,2693.0286
2021-05-09,2700.0,2701.957
2021-05-10,2704.0,2706.6792
2021-05-11,2708.0,2711.6062
2021-05-12,2720.0,2721.5588
2021-05-13,2730.0,2732.5369
2021-05-14,2734.0,2736.9155
2021-05-15,2739.0,2740.7346
2021-05-16,2759.0002,2739.7815
2021-05-17,2782.0,2767.189
2021-05-18,2795.0,2782.8875
2021-05-19,2816.0,2802.5894
2021-05-20,2829.0002,2823.9126
2021-05-21,2841.0,2828.6218
2021-05-22,2847.0,2838.407
