,Actual_data,Predicted_data
2020-10-08,177.0,188.62933
2020-10-09,178.0,190.17761
2020-10-10,178.0,192.65434
2020-10-11,178.0,193.41052
2020-10-12,178.0,192.94427
2020-10-13,179.0,193.49579
2020-10-14,179.0,195.03836
2020-10-15,180.0,196.42865
2020-10-16,180.0,196.64197
2020-10-17,180.0,197.59094
2020-10-18,180.0,197.02306
2020-10-19,181.0,197.26224
2020-10-20,183.0,198.50061
2020-10-21,184.0,201.24309
2020-10-22,184.0,202.57367
2020-10-23,184.0,201.40932
2020-10-24,184.0,200.25711
2020-10-25,184.0,200.64174
2020-10-26,186.0,201.4351
2020-10-27,187.0,203.87642
2020-10-28,187.0,206.29013
2020-10-29,187.0,205.49751
2020-10-30,189.0,204.3562
2020-10-31,189.0,206.28378
2020-11-01,190.0,208.31618
2020-11-02,192.0,207.42712
2020-11-03,193.0,209.81412
2020-11-04,193.0,211.5908
2020-11-05,195.00002,210.9499
2020-11-06,195.00002,211.6092
2020-11-07,195.00002,213.80339
2020-11-08,197.00002,212.73387
2020-11-09,201.00002,214.7887
2020-11-10,203.00002,220.7927
2020-11-11,205.00002,223.5379
2020-11-12,206.0,222.36662
2020-11-13,207.00002,222.7559
2020-11-14,207.00002,223.08447
2020-11-15,215.0,224.36595
2020-11-16,217.99998,234.86003
2020-11-17,217.99998,240.57884
2020-11-18,217.99998,236.49608
2020-11-19,221.99998,232.70294
2020-11-20,224.0,237.35612
2020-11-21,225.0,243.34523
2020-11-22,225.0,244.03401
2020-11-23,225.0,244.39029
2020-11-24,228.0,245.20195
2020-11-25,231.0,249.62448
2020-11-26,239.0,255.73431
2020-11-27,259.0,265.28458
2020-11-28,283.0,298.75204
2020-11-29,305.0,333.33237
2020-11-30,327.0,349.82425
2020-12-01,359.0,359.37546
2020-12-02,375.0,378.415
2020-12-03,385.0,415.88254
2020-12-04,390.0,417.8662
2020-12-05,408.0,422.39313
2020-12-06,422.00003,421.55136
2020-12-07,433.0,440.45932
2020-12-08,442.99997,451.56403
2020-12-09,466.0,462.485
2020-12-10,478.0,484.80557
2020-12-11,497.99997,509.95032
2020-12-12,519.0,521.7632
2020-12-13,534.0,551.0561
2020-12-14,554.99994,575.8118
2020-12-15,579.99994,593.8163
2020-12-16,602.99994,625.04236
2020-12-17,622.0,656.9729
2020-12-18,653.0,685.2391
2020-12-19,756.0,708.45123
2020-12-20,770.0,771.7533
2020-12-21,803.0,806.919
2020-12-22,834.0,846.0763
2020-12-23,892.0,895.3463
2020-12-24,939.0,951.5515
2020-12-25,981.0,990.41785
2020-12-26,1018.99994,1016.1344
2020-12-27,1043.0,1043.1877
2020-12-28,1074.0,1076.9419
2020-12-29,1096.0,1105.6338
2020-12-30,1141.0,1132.4703
2020-12-31,1163.0,1160.8984
2021-01-01,1185.0,1183.559
2021-01-02,1221.0,1216.142
2021-01-03,1248.0,1242.3363
2021-01-04,1271.0,1259.5154
2021-01-05,1303.0,1285.3654
2021-01-06,1324.0,1313.4911
2021-01-07,1338.0,1330.6827
2021-01-08,1348.0,1354.653
2021-01-09,1377.9999,1367.7091
2021-01-10,1387.0,1394.8816
2021-01-11,1397.0,1405.783
2021-01-12,1413.0,1412.8444
2021-01-13,1424.0,1422.7451
2021-01-14,1442.0,1433.5862
2021-01-15,1451.0,1451.7988
2021-01-16,1457.0,1457.769
2021-01-17,1464.0,1466.0061
2021-01-18,1473.0,1470.4886
2021-01-19,1478.0,1479.6241
2021-01-20,1480.9999,1486.9637
2021-01-21,1487.9999,1491.9147
2021-01-22,1489.0,1496.9811
2021-01-23,1493.0,1502.921
2021-01-24,1505.0,1505.5848
2021-01-25,1513.0,1519.6571
2021-01-26,1519.9999,1524.9406
2021-01-27,1528.0,1534.8347
2021-01-28,1553.0,1542.4927
2021-01-29,1562.0,1578.7408
2021-01-30,1573.0,1562.6427
2021-01-31,1574.0,1585.1633
2021-02-01,1580.0,1588.0839
2021-02-02,1597.9999,1584.5028
2021-02-03,1607.0,1600.9796
2021-02-04,1611.0,1599.8629
2021-02-05,1613.9999,1610.7975
2021-02-06,1616.0,1610.999
2021-02-07,1617.0,1610.9728
2021-02-08,1617.0,1612.4667
2021-02-09,1620.0,1611.7944
2021-02-10,1622.0,1612.0928
2021-02-11,1626.0,1616.6984
2021-02-12,1632.0,1621.0006
2021-02-13,1636.9999,1628.4604
2021-02-14,1642.0,1637.603
2021-02-15,1642.0,1645.6318
2021-02-16,1649.0,1651.8385
2021-02-17,1655.0,1650.0846
2021-02-18,1672.0,1663.2107
2021-02-19,1690.0,1675.8232
2021-02-20,1706.0,1692.2137
2021-02-21,1712.0001,1708.4729
2021-02-22,1719.0001,1730.9371
2021-02-23,1723.0001,1732.0469
2021-02-24,1724.0,1734.7732
2021-02-25,1728.0,1740.1237
2021-02-26,1738.0,1746.0802
2021-02-27,1746.0,1752.9302
2021-02-28,1756.0,1760.7336
2021-03-01,1764.0,1769.1562
