,Actual_data,Predicted_data
2021-12-09,9719.0,11319.984
2021-12-10,9871.0,11449.629
2021-12-11,10041.0,11612.857
2021-12-12,10164.0,11779.064
2021-12-13,10275.0,11867.933
2021-12-14,10407.0,11968.403
2021-12-15,10567.0,12117.607
2021-12-16,10715.0,12285.578
2021-12-17,10849.0,12422.44
2021-12-18,10975.0,12562.049
2021-12-19,11075.0,12640.763
2021-12-20,11205.0,12681.729
2021-12-21,11322.0,12842.04
2021-12-22,11452.0,12920.685
2021-12-23,11572.0,13061.089
2021-12-24,11702.0,13145.616
2021-12-25,11849.0,13241.787
2021-12-26,11956.0,13376.2705
2021-12-27,12076.0,13429.03
2021-12-28,12155.0,13535.501
2021-12-29,12242.0,13493.649
2021-12-30,12333.0,13601.942
2021-12-31,12405.0,13641.332
2022-01-01,12464.0,13646.681
2022-01-02,12523.0,13641.655
2022-01-03,12577.0,13633.238
2022-01-04,12640.0,13604.235
2022-01-05,12709.0,13605.042
2022-01-06,12766.0,13601.025
2022-01-07,12856.0,13590.077
2022-01-08,12937.0,13626.13
2022-01-09,13014.0,13638.011
2022-01-10,13074.0,13649.531
2022-01-11,13162.0,13582.155
2022-01-12,13279.0,13622.496
2022-01-13,13368.0,13684.271
2022-01-14,13512.0,13642.341
2022-01-15,13591.0,13797.736
2022-01-16,13665.0,13721.262
2022-01-17,13744.0,13719.323
2022-01-18,13838.0,13692.625
2022-01-19,13986.0,13685.195
2022-01-20,14097.0,13852.5
2022-01-21,14258.0,13827.611
2022-01-22,14357.0,13977.957
2022-01-23,14446.001,13873.688
2022-01-24,14546.0,13908.678
2022-01-25,14711.0,13927.707
2022-01-26,14874.0,14055.184
2022-01-27,15063.0,14138.72
2022-01-28,15275.0,14289.569
2022-01-29,15482.0,14428.572
2022-01-30,15703.001,14533.162
2022-01-31,15979.999,14688.974
2022-02-01,16234.0,14941.942
2022-02-02,16588.0,15113.016
2022-02-03,17057.0,15511.111
2022-02-04,17693.0,16046.794
2022-02-05,18391.0,16749.203
2022-02-06,19177.0,17462.914
2022-02-07,19916.0,18350.057
2022-02-08,20654.0,18977.314
2022-02-09,21600.0,19794.23
2022-02-10,22564.0,20988.053
2022-02-11,23651.0,21997.104
2022-02-12,24610.0,23376.893
2022-02-13,25595.0,24254.785
2022-02-14,26687.0,25409.707
2022-02-15,27866.0,26582.855
2022-02-16,29650.0,28020.96
2022-02-17,31379.0,30551.22
2022-02-18,33311.0,32464.143
2022-02-19,35110.0,35226.2
2022-02-20,37109.0,37149.367
2022-02-21,39125.0,39691.54
2022-02-22,41182.0,41927.984
2022-02-23,44373.0,44271.543
2022-02-24,47494.0,48300.902
2022-02-25,50923.0,51078.574
2022-02-26,54187.0,54987.76
2022-02-27,57567.0,58156.434
2022-02-28,60885.0,61502.49
2022-03-01,64362.004,64786.855
2022-03-02,69333.0,68781.94
2022-03-03,73947.99,74824.53
2022-03-04,79533.0,79570.18
2022-03-05,85449.0,86299.984
2022-03-06,91157.99,91176.42
2022-03-07,96609.0,97141.27
2022-03-08,102066.99,102579.664
2022-03-09,110753.0,109596.37
2022-03-10,118925.0,118817.336
2022-03-11,126407.0,126689.164
2022-03-12,135841.0,135476.25
2022-03-13,145222.0,145130.36
2022-03-14,154267.0,154604.64
2022-03-15,163973.0,164731.72
2022-03-16,173626.0,176051.11
2022-03-17,189075.0,187628.08
2022-03-18,200476.0,200228.69
2022-03-19,211016.0,210432.89
2022-03-20,220213.0,219939.38
2022-03-21,226823.02,227788.42
2022-03-22,237251.0,237569.8
2022-03-23,251564.0,250470.25
2022-03-24,263091.0,263658.84
2022-03-25,273632.97,273658.53
2022-03-26,283675.97,283903.7
2022-03-27,292936.0,293113.34
2022-03-28,299871.0,300874.1
2022-03-29,310379.0,309852.75
2022-03-30,323486.0,323533.78
2022-03-31,334151.0,334360.5
2022-04-01,343213.0,342734.34
2022-04-02,352269.0,351562.6
2022-04-03,359765.0,358896.5
2022-04-04,364981.97,364793.44
2022-04-05,373238.0,372811.97
2022-04-06,383250.0,383065.1
2022-04-07,390879.0,390857.7
2022-04-08,398309.0,398563.9
2022-04-09,404928.0,405138.7
2022-04-10,410589.97,409859.7
2022-04-11,413966.97,414203.5
2022-04-12,420806.0,420667.47
2022-04-13,428047.97,427983.78
2022-04-14,433476.0,433572.0
2022-04-15,438036.0,438423.6
2022-04-16,442000.0,441896.0
2022-04-17,445113.0,444969.44
2022-04-18,446964.0,446818.06
2022-04-19,451394.0,451218.84
2022-04-20,455890.0,455788.66
2022-04-21,459309.0,459064.88
2022-04-22,462474.97,462279.53
2022-04-23,465270.0,465137.88
2022-04-24,467535.0,467380.56
2022-04-25,468814.97,468627.25
2022-04-26,471830.0,453339.25
2022-04-27,474785.97,453766.97
2022-04-28,476981.0,453850.44
2022-04-29,478821.0,453796.25
2022-04-30,480465.0,451947.75
2022-05-01,481866.03,449022.97
2022-05-02,482619.0,442783.66
