,Actual_data,Predicted_data
2021-12-10,9871.0,10644.315
2021-12-11,10041.0,10750.849
2021-12-12,10164.0,10853.916
2021-12-13,10275.0,10969.836
2021-12-14,10407.0,11048.023
2021-12-15,10567.0,11187.967
2021-12-16,10715.0,11372.968
2021-12-17,10849.0,11453.549
2021-12-18,10975.0,11581.999
2021-12-19,11075.0,11686.839
2021-12-20,11205.0,11712.389
2021-12-21,11322.0,11824.754
2021-12-22,11452.0,11981.223
2021-12-23,11572.0,12097.663
2021-12-24,11702.0,12271.548
2021-12-25,11849.0,12415.316
2021-12-26,11956.0,12470.092
2021-12-27,12076.0,12648.514
2021-12-28,12155.0,12738.002
2021-12-29,12242.0,12851.88
2021-12-30,12333.0,12918.957
2021-12-31,12405.0,13011.42
2022-01-01,12464.0,13124.12
2022-01-02,12523.0,13093.379
2022-01-03,12577.0,13163.775
2022-01-04,12640.0,13160.231
2022-01-05,12709.0,13243.912
2022-01-06,12766.0,13196.524
2022-01-07,12856.0,13276.764
2022-01-08,12937.0,13380.034
2022-01-09,13014.0,13492.062
2022-01-10,13074.0,13568.778
2022-01-11,13162.0,13583.108
2022-01-12,13279.0,13597.908
2022-01-13,13368.0,13714.971
2022-01-14,13512.0,13760.067
2022-01-15,13591.0,13801.51
2022-01-16,13665.0,13871.533
2022-01-17,13744.0,13954.11
2022-01-18,13838.0,13970.644
2022-01-19,13986.0,14047.35
2022-01-20,14097.0,14140.617
2022-01-21,14258.0,14216.864
2022-01-22,14357.0,14355.946
2022-01-23,14446.001,14373.173
2022-01-24,14546.001,14444.623
2022-01-25,14711.0,14359.565
2022-01-26,14874.0,14679.023
2022-01-27,15062.999,14667.707
2022-01-28,15275.0,14888.436
2022-01-29,15481.999,15061.12
2022-01-30,15703.0,15191.638
2022-01-31,15979.999,15262.266
2022-02-01,16233.999,15444.478
2022-02-02,16588.0,15907.903
2022-02-03,17056.998,16208.237
2022-02-04,17693.0,16741.389
2022-02-05,18391.0,17453.334
2022-02-06,19177.0,18117.645
2022-02-07,19916.0,18848.611
2022-02-08,20654.0,19697.135
2022-02-09,21600.0,20535.984
2022-02-10,22564.0,21696.607
2022-02-11,23651.0,23186.586
2022-02-12,24610.0,24467.13
2022-02-13,25595.0,25656.736
2022-02-14,26687.0,26745.242
2022-02-15,27866.0,28107.934
2022-02-16,29650.0,29637.953
2022-02-17,31378.998,31487.016
2022-02-18,33311.0,33516.188
2022-02-19,35109.996,35336.64
2022-02-20,37108.996,37216.7
2022-02-21,39125.0,39465.348
2022-02-22,41181.996,41519.605
2022-02-23,44372.996,44029.457
2022-02-24,47494.0,47436.6
2022-02-25,50923.0,51018.89
2022-02-26,54187.0,54294.1
2022-02-27,57567.0,57674.336
2022-02-28,60884.996,61495.766
2022-03-01,64362.0,64763.867
2022-03-02,69333.01,69150.98
2022-03-03,73948.0,74707.984
2022-03-04,79533.0,79554.48
2022-03-05,85449.0,85321.48
2022-03-06,91158.0,91137.57
2022-03-07,96609.01,96926.1
2022-03-08,102067.0,102309.555
2022-03-09,110753.0,109105.586
2022-03-10,118925.0,119554.23
2022-03-11,126407.0,128004.78
2022-03-12,135840.98,135589.67
2022-03-13,145222.0,145042.66
2022-03-14,154267.0,155141.05
2022-03-15,163973.0,164439.2
2022-03-16,173626.0,174869.73
2022-03-17,189074.98,186330.6
2022-03-18,200476.0,201478.88
2022-03-19,211016.0,210910.47
2022-03-20,220212.98,220958.92
2022-03-21,226823.0,227497.3
2022-03-22,237250.98,237404.27
2022-03-23,251564.02,249580.56
2022-03-24,263091.03,263599.62
2022-03-25,273633.0,274209.44
2022-03-26,283676.0,284011.94
2022-03-27,292936.0,293539.38
2022-03-28,299871.03,300658.72
2022-03-29,310379.0,309801.56
2022-03-30,323486.03,322757.66
2022-03-31,334151.03,333981.94
2022-04-01,343213.0,342411.88
2022-04-02,352269.0,351594.1
2022-04-03,359765.03,359334.66
2022-04-04,364982.0,365123.25
2022-04-05,373238.03,373056.84
2022-04-06,383250.0,383377.16
2022-04-07,390879.0,390772.12
2022-04-08,398309.03,397693.34
2022-04-09,404928.03,404874.6
2022-04-10,410590.03,409996.53
2022-04-11,413967.0,413870.78
2022-04-12,420806.0,421383.72
2022-04-13,428048.03,429034.7
2022-04-14,433476.0,433495.5
2022-04-15,438036.0,438688.22
2022-04-16,442000.03,443115.5
2022-04-17,445113.03,445080.44
2022-04-18,446964.03,447123.7
2022-04-19,451394.03,451536.6
2022-04-20,455890.0,456034.2
2022-04-21,459309.0,459353.94
2022-04-22,462475.03,462663.25
2022-04-23,465270.0,465373.6
2022-04-24,467535.03,467794.56
2022-04-25,468815.0,469017.7
2022-04-26,471830.0,471787.72
2022-04-27,474786.0,455285.78
2022-04-28,476981.0,454139.38
2022-04-29,478821.0,451708.7
2022-04-30,480465.0,452459.97
2022-05-01,481866.0,451287.94
2022-05-02,482618.97,443548.9
2022-05-03,484397.97,443937.8
