,Actual_data,Predicted_data
2021-12-10,9871.0,9895.283
2021-12-11,10041.0,10047.614
2021-12-12,10164.0,10197.169
2021-12-13,10275.0,10311.766
2021-12-14,10407.0,10430.747
2021-12-15,10567.0,10591.889
2021-12-16,10715.0,10814.35
2021-12-17,10849.0,10988.33
2021-12-18,10975.0,11090.543
2021-12-19,11075.0,11215.289
2021-12-20,11205.0,11350.325
2021-12-21,11322.0,11531.722
2021-12-22,11452.0,11680.978
2021-12-23,11572.0,11837.564
2021-12-24,11702.0,11961.157
2021-12-25,11849.0,12098.698
2021-12-26,11956.0,12271.754
2021-12-27,12076.0,12375.804
2021-12-28,12155.0,12508.819
2021-12-29,12242.0,12602.25
2021-12-30,12333.0,12740.944
2021-12-31,12405.0,12881.703
2022-01-01,12464.0,12978.664
2022-01-02,12523.0,13067.739
2022-01-03,12577.0,13143.528
2022-01-04,12640.0,13237.023
2022-01-05,12709.0,13339.45
2022-01-06,12766.0,13415.672
2022-01-07,12856.0,13479.3545
2022-01-08,12937.0,13580.279
2022-01-09,13014.0,13655.8545
2022-01-10,13074.0,13732.774
2022-01-11,13162.0,13779.688
2022-01-12,13279.0,13884.03
2022-01-13,13368.0,14035.749
2022-01-14,13512.0,14111.459
2022-01-15,13591.0,14242.6875
2022-01-16,13665.0,14285.959
2022-01-17,13744.0,14376.329
2022-01-18,13838.0,14477.162
2022-01-19,13986.0,14617.394
2022-01-20,14097.0,14824.368
2022-01-21,14258.0,14890.229
2022-01-22,14357.0,15034.531
2022-01-23,14446.001,15099.708
2022-01-24,14546.001,15197.509
2022-01-25,14711.0,15339.463
2022-01-26,14874.0,15562.38
2022-01-27,15062.999,15754.693
2022-01-28,15275.0,15899.942
2022-01-29,15481.999,16059.205
2022-01-30,15703.0,16251.427
2022-01-31,15979.999,16461.703
2022-02-01,16233.999,16736.773
2022-02-02,16588.0,16983.346
2022-02-03,17056.998,17350.494
2022-02-04,17693.0,17804.191
2022-02-05,18391.0,18429.52
2022-02-06,19177.0,19010.582
2022-02-07,19916.0,19599.158
2022-02-08,20654.0,20180.611
2022-02-09,21600.0,20839.896
2022-02-10,22564.0,21854.848
2022-02-11,23651.0,22919.256
2022-02-12,24610.0,24030.621
2022-02-13,25595.0,24865.443
2022-02-14,26687.0,25815.426
2022-02-15,27866.0,27067.95
2022-02-16,29650.0,28427.773
2022-02-17,31378.998,30520.297
2022-02-18,33311.0,32380.05
2022-02-19,35109.996,34122.63
2022-02-20,37108.996,35662.113
2022-02-21,39125.0,37624.473
2022-02-22,41181.996,39968.242
2022-02-23,44372.996,42148.52
2022-02-24,47494.0,45893.61
2022-02-25,50923.0,50014.254
2022-02-26,54187.0,53324.246
2022-02-27,57567.0,56156.797
2022-02-28,60884.996,59390.203
2022-03-01,64362.0,63200.996
2022-03-02,69333.01,66972.47
2022-03-03,73948.0,73092.234
2022-03-04,79533.0,79359.695
2022-03-05,85449.0,84967.51
2022-03-06,91158.0,91292.695
2022-03-07,96609.01,97095.57
2022-03-08,102067.0,102285.19
2022-03-09,110753.0,107646.805
2022-03-10,118925.0,118667.86
2022-03-11,126407.0,130816.94
2022-03-12,135840.98,136965.05
2022-03-13,145222.0,146079.36
2022-03-14,154267.0,155405.55
2022-03-15,163973.0,163995.66
2022-03-16,173626.0,173724.62
2022-03-17,189074.98,182501.0
2022-03-18,200476.0,200663.4
2022-03-19,211016.0,212103.22
2022-03-20,220212.98,224214.36
2022-03-21,226823.0,232913.33
2022-03-22,237250.98,241123.62
2022-03-23,251564.02,252900.31
2022-03-24,263091.03,268382.3
2022-03-25,273633.0,272432.62
2022-03-26,283676.0,281796.4
2022-03-27,292936.0,292374.84
2022-03-28,299871.03,304114.53
2022-03-29,310379.0,312772.4
2022-03-30,323486.03,321166.97
2022-03-31,334151.03,330600.53
2022-04-01,343213.0,337007.16
2022-04-02,352269.0,346638.2
2022-04-03,359765.03,358658.06
2022-04-04,364982.0,367833.25
2022-04-05,373238.03,375317.3
2022-04-06,383250.0,383700.44
2022-04-07,390879.0,393251.66
2022-04-08,398309.03,395853.16
2022-04-09,404928.03,404347.38
2022-04-10,410590.03,409289.4
2022-04-11,413967.0,418385.47
2022-04-12,420806.0,415106.22
2022-04-13,428048.03,422075.97
2022-04-14,433476.0,438856.0
2022-04-15,438036.0,437100.47
2022-04-16,442000.03,438989.94
2022-04-17,445113.03,444690.12
2022-04-18,446964.03,449425.2
2022-04-19,451394.03,449627.72
2022-04-20,455890.0,455964.8
2022-04-21,459309.0,466725.97
2022-04-22,462475.03,464234.3
2022-04-23,465270.0,464608.3
2022-04-24,467535.03,466560.3
2022-04-25,468815.0,468756.5
2022-04-26,471830.0,466766.22
2022-04-27,474786.0,473939.38
2022-04-28,476981.0,475215.0
2022-04-29,478821.0,478124.66
2022-04-30,480465.0,477471.47
2022-05-01,481866.0,477271.7
2022-05-02,482618.97,480191.3
2022-05-03,484397.97,477886.7
