,Actual_data,Predicted_data
2021-12-09,148214.98,156979.31
2021-12-10,150245.0,158937.23
2021-12-11,152303.0,161094.84
2021-12-12,154318.0,163604.89
2021-12-13,155684.98,165298.89
2021-12-14,157182.0,166331.31
2021-12-15,159481.0,168022.95
2021-12-16,161633.0,171002.5
2021-12-17,163786.0,173120.27
2021-12-18,165827.0,175615.39
2021-12-19,167580.0,178369.97
2021-12-20,169068.0,179984.42
2021-12-21,170381.0,180355.19
2021-12-22,172606.0,182214.97
2021-12-23,174554.98,185203.73
2021-12-24,176223.0,186940.92
2021-12-25,177903.0,189335.58
2021-12-26,179556.0,191322.08
2021-12-27,180729.0,192494.16
2021-12-28,181792.0,192673.47
2021-12-29,183425.0,194501.31
2021-12-30,184887.0,197171.6
2021-12-31,186363.0,198094.61
2022-01-01,187754.0,199585.88
2022-01-02,189031.0,201244.6
2022-01-03,189948.0,201864.53
2022-01-04,190895.0,201073.77
2022-01-05,192362.0,202040.89
2022-01-06,193888.0,204355.17
2022-01-07,195148.98,204941.2
2022-01-08,196357.0,206142.3
2022-01-09,197471.0,207986.48
2022-01-10,198484.98,208166.14
2022-01-11,199600.0,207049.39
2022-01-12,201227.0,207939.05
2022-01-13,202762.0,209885.27
2022-01-14,204617.98,210732.6
2022-01-15,206441.0,211964.02
2022-01-16,208026.98,214656.4
2022-01-17,209454.0,215746.45
2022-01-18,210984.0,214510.56
2022-01-19,213160.0,214641.27
2022-01-20,215578.0,216770.58
2022-01-21,218009.0,217769.27
2022-01-22,220435.0,219505.8
2022-01-23,223148.0,222509.62
2022-01-24,225590.0,224131.0
2022-01-25,228504.98,222874.11
2022-01-26,232726.0,224190.88
2022-01-27,237491.0,228177.12
2022-01-28,242663.0,231679.89
2022-01-29,248292.0,236123.48
2022-01-30,254003.0,241754.36
2022-01-31,259108.0,247779.77
2022-02-01,264645.0,250223.73
2022-02-02,270695.0,255370.86
2022-02-03,277252.0,263254.97
2022-02-04,284478.0,270604.88
2022-02-05,294926.97,278219.12
2022-02-06,306878.97,290132.44
2022-02-07,316684.0,302869.78
2022-02-08,328821.97,312213.16
2022-02-09,342472.97,325923.16
2022-02-10,360223.97,342663.66
2022-02-11,378200.0,364802.75
2022-02-12,394141.03,387934.6
2022-02-13,411215.0,409773.7
2022-02-14,427088.0,428696.22
2022-02-15,444328.0,443998.88
2022-02-16,472291.0,467077.2
2022-02-17,500738.0,495972.44
2022-02-18,537249.0,527694.56
2022-02-19,567891.0,561691.06
2022-02-20,599219.0,593313.6
2022-02-21,625998.0,625216.8
2022-02-22,655560.0,653762.44
2022-02-23,709091.94,692138.25
2022-02-24,760412.0,747608.7
2022-02-25,808494.0,798629.9
2022-02-26,856644.0,852732.1
2022-02-27,903444.94,896932.9
2022-02-28,940702.94,949320.25
2022-03-01,979915.94,992712.4
2022-03-02,1048538.94,1052051.6
2022-03-03,1100482.0,1129635.1
2022-03-04,1177208.0,1184331.6
2022-03-05,1247452.0,1253304.4
2022-03-06,1314285.1,1316321.6
2022-03-07,1365390.1,1383455.2
2022-03-08,1418120.1,1446056.2
2022-03-09,1514802.0,1530404.1
2022-03-10,1602946.0,1630842.5
2022-03-11,1675373.0,1708722.6
2022-03-12,1783312.1,1812553.2
2022-03-13,1874781.0,1880057.5
2022-03-14,1952202.0,1950885.1
2022-03-15,2055186.0,2047438.2
2022-03-16,2149993.0,2158807.2
2022-03-17,2331981.0,2311486.2
2022-03-18,2445654.0,2412665.2
2022-03-19,2547159.0,2537917.2
2022-03-20,2635639.0,2626102.8
2022-03-21,2692548.0,2683638.5
2022-03-22,2788761.0,2792408.2
2022-03-23,2925631.0,2926050.0
2022-03-24,3033103.2,3021873.2
2022-03-25,3120770.0,3118502.2
2022-03-26,3211522.0,3219186.2
2022-03-27,3296904.0,3296110.5
2022-03-28,3347478.0,3348961.0
2022-03-29,3436151.0,3432134.2
2022-03-30,3553139.0,3548336.5
2022-03-31,3637764.0,3643805.8
2022-04-01,3713377.0,3715707.5
2022-04-02,3784881.0,3782517.8
2022-04-03,3847024.0,3846800.0
2022-04-04,3883961.0,3887009.5
2022-04-05,3953289.0,3952080.5
2022-04-06,4030170.0,4033259.0
2022-04-07,4090410.0,4094889.0
2022-04-08,4145220.0,4147980.5
2022-04-09,4193411.2,4193914.5
2022-04-10,4235767.0,4238475.0
2022-04-11,4261542.0,4266401.0
2022-04-12,4315720.0,4316445.0
2022-04-13,4367498.0,4365391.0
2022-04-14,4405483.0,4405806.5
2022-04-15,4438056.0,4439595.5
2022-04-16,4465531.0,4466352.0
2022-04-17,4488649.0,4489190.0
2022-04-18,4502575.0,4503294.5
2022-04-19,4532233.0,4533275.5
2022-04-20,4560783.0,4561983.5
2022-04-21,4583391.0,4584548.0
2022-04-22,4603813.0,4604549.5
2022-04-23,4622244.0,4623262.0
2022-04-24,4637492.5,4638442.0
2022-04-25,4646551.0,4647083.5
2022-04-26,4665892.0,4385700.5
2022-04-27,4684310.0,4360632.5
2022-04-28,4697965.0,4265851.0
2022-04-29,4710002.5,4239520.5
2022-04-30,4720342.0,4191887.0
2022-05-01,4728916.5,4150792.0
2022-05-02,4734258.0,4133235.8
