,Actual_data,Predicted_data
2021-12-09,16185.001,18132.848
2021-12-10,16391.0,18303.092
2021-12-11,16584.0,18551.887
2021-12-12,16782.0,18799.082
2021-12-13,17000.0,18972.605
2021-12-14,17181.0,19150.865
2021-12-15,17376.0,19394.78
2021-12-16,17574.998,19489.201
2021-12-17,17746.0,19653.348
2021-12-18,17957.0,19830.898
2021-12-19,18172.0,19898.031
2021-12-20,18328.0,20115.023
2021-12-21,18511.998,20336.12
2021-12-22,18763.998,20348.295
2021-12-23,18965.0,20475.42
2021-12-24,19195.0,20821.094
2021-12-25,19408.0,20925.486
2021-12-26,19609.0,21162.473
2021-12-27,19808.998,21323.14
2021-12-28,19985.0,21456.697
2021-12-29,20250.0,21609.28
2021-12-30,20447.0,21653.764
2021-12-31,20678.0,22033.033
2022-01-01,20840.0,22100.746
2022-01-02,20981.0,22357.285
2022-01-03,21113.0,22374.535
2022-01-04,21228.998,22395.299
2022-01-05,21343.0,22431.201
2022-01-06,21446.0,22443.117
2022-01-07,21548.0,22484.137
2022-01-08,21648.0,22507.48
2022-01-09,21745.998,22550.986
2022-01-10,21826.0,22600.979
2022-01-11,21918.0,22662.436
2022-01-12,22036.998,22669.592
2022-01-13,22152.0,22726.607
2022-01-14,22278.0,22867.084
2022-01-15,22393.998,22964.793
2022-01-16,22517.0,23099.982
2022-01-17,22636.0,23185.92
2022-01-18,22778.0,23300.816
2022-01-19,22979.0,23384.824
2022-01-20,23203.0,23518.113
2022-01-21,23390.998,23803.625
2022-01-22,23609.998,24111.088
2022-01-23,23836.0,24245.094
2022-01-24,24070.0,24490.281
2022-01-25,24414.0,24717.426
2022-01-26,24956.0,24904.49
2022-01-27,25615.998,25336.88
2022-01-28,26219.0,26214.086
2022-01-29,26915.998,27255.287
2022-01-30,27545.0,27875.205
2022-01-31,28299.0,28791.035
2022-02-01,29156.0,29298.08
2022-02-02,30057.0,30161.82
2022-02-03,30967.0,31180.19
2022-02-04,32031.0,32180.72
2022-02-05,33514.0,33040.746
2022-02-06,35276.996,34156.703
2022-02-07,36949.0,36219.207
2022-02-08,38851.0,38724.684
2022-02-09,40797.0,40419.95
2022-02-10,43138.0,42716.816
2022-02-11,45330.0,44675.305
2022-02-12,47026.0,47716.03
2022-02-13,49691.0,50075.523
2022-02-14,52497.0,50555.69
2022-02-15,55268.0,54088.414
2022-02-16,59716.0,57354.4
2022-02-17,64196.996,59863.17
2022-02-18,68819.0,66434.8
2022-02-19,73236.0,71788.97
2022-02-20,78329.0,77261.43
2022-02-21,83372.0,81384.29
2022-02-22,88211.0,87487.83
2022-02-23,96234.0,92871.53
2022-02-24,105449.0,97425.04
2022-02-25,114348.0,107615.38
2022-02-26,122993.0,120141.1
2022-02-27,132240.0,130263.78
2022-02-28,140653.0,139159.38
2022-03-01,148684.0,150712.94
2022-03-02,161884.0,159214.73
2022-03-03,173828.0,167424.72
2022-03-04,189827.0,185675.97
2022-03-05,204982.0,196635.02
2022-03-06,219407.0,218247.97
2022-03-07,232857.0,235819.67
2022-03-08,246887.0,253381.14
2022-03-09,268893.0,268887.3
2022-03-10,288305.0,286916.1
2022-03-11,309730.97,315896.66
2022-03-12,334011.97,334560.8
2022-03-13,360109.97,359687.7
2022-03-14,383876.97,386585.03
2022-03-15,407816.0,412850.34
2022-03-16,429711.97,438318.06
2022-03-17,474251.0,464879.5
2022-03-18,497988.0,499750.1
2022-03-19,520713.0,522715.56
2022-03-20,545049.06,534350.6
2022-03-21,557019.0,565087.2
2022-03-22,581709.06,577029.6
2022-03-23,613890.0,611480.06
2022-03-24,638957.0,640381.4
2022-03-25,660619.0,663141.2
2022-03-26,683298.0,676082.9
2022-03-27,703851.0,697177.6
2022-03-28,715474.0,721794.3
2022-03-29,737964.06,738120.3
2022-03-30,764996.0,762913.1
2022-03-31,784309.0,780636.75
2022-04-01,801564.06,800146.56
2022-04-02,817499.0,807806.8
2022-04-03,832621.0,826234.3
2022-04-04,840006.0,844080.75
2022-04-05,856190.0,858700.6
2022-04-06,873370.0,876385.8
2022-04-07,886836.0,892961.9
2022-04-08,899024.0,904261.0
2022-04-09,909877.0,910690.56
2022-04-10,920057.06,922011.75
2022-04-11,925139.0,932170.94
2022-04-12,937699.0,942390.6
2022-04-13,949038.0,951682.8
2022-04-14,957801.06,962626.8
2022-04-15,964908.06,965196.4
2022-04-16,971262.06,969022.9
2022-04-17,976778.0,974979.75
2022-04-18,979142.06,981577.44
2022-04-19,986249.06,987711.56
2022-04-20,992582.0,992848.44
2022-04-21,998152.0,999604.7
2022-04-22,1002777.06,1000190.4
2022-04-23,1007087.0,1002665.25
2022-04-24,1010954.0,1005340.44
2022-04-25,1012927.06,1008600.75
2022-04-26,1018107.0,1012035.6
2022-04-27,1022759.0,1016187.4
2022-04-28,1026487.0,1021752.94
2022-04-29,1029725.94,1024246.8
2022-04-30,1032443.0,1027336.9
2022-05-01,1034929.0,1028559.2
2022-05-02,1036113.94,1028069.25
