,Actual_data,Predicted_data
2021-12-09,12326.0,12980.272
2021-12-10,12509.0,13084.799
2021-12-11,12647.0,13269.812
2021-12-12,12793.999,13345.989
2021-12-13,12956.999,13522.804
2021-12-14,13123.0,13696.706
2021-12-15,13316.0,13862.885
2021-12-16,13524.0,14072.704
2021-12-17,13693.0,14271.925
2021-12-18,13832.0,14422.368
2021-12-19,13967.999,14503.774
2021-12-20,14085.0,14623.7295
2021-12-21,14192.0,14802.499
2021-12-22,14330.999,14898.183
2021-12-23,14465.999,15060.149
2021-12-24,14608.999,15185.676
2021-12-25,14736.999,15340.612
2021-12-26,14867.0,15468.887
2021-12-27,14938.0,15603.764
2021-12-28,15024.0,15621.788
2021-12-29,15128.0,15740.618
2021-12-30,15209.999,15790.446
2021-12-31,15315.0,15904.445
2022-01-01,15431.0,16016.408
2022-01-02,15524.999,16172.444
2022-01-03,15574.0,16198.286
2022-01-04,15635.999,16271.124
2022-01-05,15733.0,16276.24
2022-01-06,15822.0,16348.545
2022-01-07,15930.999,16383.05
2022-01-08,16016.0,16533.785
2022-01-09,16109.0,16479.178
2022-01-10,16196.999,16534.176
2022-01-11,16256.999,16629.906
2022-01-12,16334.0,16680.617
2022-01-13,16433.0,16763.842
2022-01-14,16526.0,16873.316
2022-01-15,16621.0,16871.445
2022-01-16,16729.0,16947.617
2022-01-17,16824.0,16977.783
2022-01-18,16962.0,17011.855
2022-01-19,17132.0,17100.182
2022-01-20,17358.0,17258.982
2022-01-21,17592.0,17533.588
2022-01-22,17799.0,17707.025
2022-01-23,18014.0,17826.281
2022-01-24,18248.0,17943.383
2022-01-25,18529.0,18114.717
2022-01-26,18974.0,18352.973
2022-01-27,19463.0,18879.297
2022-01-28,20001.0,19272.676
2022-01-29,20591.0,19772.46
2022-01-30,21187.0,20305.78
2022-01-31,21773.998,20890.348
2022-02-01,22393.0,21456.559
2022-02-02,23170.0,22179.25
2022-02-03,24105.0,23078.064
2022-02-04,25249.002,24070.25
2022-02-05,26738.0,25259.105
2022-02-06,28488.0,26893.021
2022-02-07,28488.0,28839.29
2022-02-08,31717.998,27735.123
2022-02-09,33676.0,33133.387
2022-02-10,35494.0,33731.527
2022-02-11,37420.0,36519.19
2022-02-12,39251.0,38378.883
2022-02-13,41306.0,40849.41
2022-02-14,43223.0,42792.203
2022-02-15,44988.0,45779.67
2022-02-16,47853.0,47732.14
2022-02-17,50753.0,51581.914
2022-02-18,54038.004,54394.438
2022-02-19,57223.004,57723.152
2022-02-20,60572.004,60672.062
2022-02-21,63822.0,63881.0
2022-02-22,66949.01,67090.65
2022-02-23,71945.0,70544.6
2022-02-24,77149.0,76418.06
2022-02-25,82542.0,81270.12
2022-02-26,87847.0,87108.19
2022-02-27,93230.01,91618.375
2022-02-28,98170.0,97544.75
2022-03-01,102838.0,102723.79
2022-03-02,109806.99,108143.48
2022-03-03,116339.99,117539.016
2022-03-04,124722.0,123775.21
2022-03-05,132943.0,133838.69
2022-03-06,141139.0,141818.97
2022-03-07,148653.0,150625.33
2022-03-08,156027.0,157825.42
2022-03-09,168314.0,168663.25
2022-03-10,180278.0,182327.97
2022-03-11,190593.02,193829.28
2022-03-12,204159.0,204919.52
2022-03-13,217932.02,219260.66
2022-03-14,230550.02,231189.98
2022-03-15,245090.0,244628.12
2022-03-16,261872.0,261862.97
2022-03-17,281039.0,279246.28
2022-03-18,299071.0,296470.88
2022-03-19,314012.03,313904.7
2022-03-20,327002.0,325856.3
2022-03-21,336778.03,338639.9
2022-03-22,351205.0,349490.34
2022-03-23,371992.0,369442.9
2022-03-24,390092.97,389972.03
2022-03-25,405151.0,404198.6
2022-03-26,420323.97,420336.75
2022-03-27,434998.97,433753.6
2022-03-28,444400.0,446888.44
2022-03-29,459307.0,459964.28
2022-03-30,479469.0,479384.72
2022-03-31,494157.97,494342.53
2022-04-01,507129.97,506008.75
2022-04-02,520197.97,519411.62
2022-04-03,531949.94,531111.06
2022-04-04,538220.0,539485.4
2022-04-05,549528.0,549840.8
2022-04-06,564300.0,563722.0
2022-04-07,575608.0,576309.06
2022-04-08,585993.0,585479.1
2022-04-09,596434.0,595230.5
2022-04-10,604833.94,602854.06
2022-04-11,609902.0,611453.2
2022-04-12,618782.0,619131.06
2022-04-13,630845.0,630267.8
2022-04-14,638886.0,639400.44
2022-04-15,645593.0,646167.3
2022-04-16,651750.94,652117.1
2022-04-17,656804.0,656453.1
2022-04-18,659593.0,659683.0
2022-04-19,665426.0,665068.56
2022-04-20,672616.0,672815.8
2022-04-21,678277.0,677923.3
2022-04-22,683299.0,683225.1
2022-04-23,687732.0,687389.6
2022-04-24,691779.0,691801.3
2022-04-25,694024.0,693384.6
2022-04-26,698372.0,678896.3
2022-04-27,703785.0,678230.1
2022-04-28,707764.0,680249.2
2022-04-29,711315.0,676544.44
2022-04-30,714183.0,676701.8
2022-05-01,716854.0,671753.0
2022-05-02,718368.0,663454.06
