,Actual_data,Predicted_data
2021-12-10,12509.0,12053.805
2021-12-11,12647.0,12257.127
2021-12-12,12794.0,12387.873
2021-12-13,12957.0,12504.447
2021-12-14,13123.0,12599.01
2021-12-15,13316.0,12739.923
2021-12-16,13524.0,12929.7295
2021-12-17,13693.0,13076.981
2021-12-18,13832.0,13241.633
2021-12-19,13968.0,13311.247
2021-12-20,14085.0,13321.486
2021-12-21,14192.0,13382.636
2021-12-22,14331.0,13420.28
2021-12-23,14466.0,13562.981
2021-12-24,14608.999,13575.686
2021-12-25,14737.0,13657.815
2021-12-26,14867.0,13757.114
2021-12-27,14938.0,13810.562
2021-12-28,15023.999,13817.627
2021-12-29,15128.0,13877.458
2021-12-30,15209.999,13918.82
2021-12-31,15315.0,13903.524
2022-01-01,15431.0,13924.305
2022-01-02,15525.0,14017.326
2022-01-03,15573.999,14037.822
2022-01-04,15636.0,14044.192
2022-01-05,15733.0,13958.234
2022-01-06,15822.0,14047.066
2022-01-07,15931.0,13933.719
2022-01-08,16015.999,14008.074
2022-01-09,16109.0,14012.738
2022-01-10,16197.0,14025.631
2022-01-11,16257.0,14022.789
2022-01-12,16333.999,14033.506
2022-01-13,16433.0,14073.501
2022-01-14,16526.0,14124.234
2022-01-15,16621.0,14082.602
2022-01-16,16729.0,14161.21
2022-01-17,16824.0,14129.262
2022-01-18,16962.0,14146.861
2022-01-19,17132.0,14282.433
2022-01-20,17358.0,14383.122
2022-01-21,17592.0,14565.185
2022-01-22,17799.0,14806.927
2022-01-23,18014.0,14962.68
2022-01-24,18248.0,15063.78
2022-01-25,18529.0,15178.857
2022-01-26,18974.0,15366.696
2022-01-27,19463.0,15810.3
2022-01-28,20001.0,16308.792
2022-01-29,20591.0,16865.895
2022-01-30,21187.0,17437.166
2022-01-31,21774.0,18020.986
2022-02-01,22392.998,18651.727
2022-02-02,23170.0,19385.75
2022-02-03,24105.0,20304.926
2022-02-04,25249.0,21326.67
2022-02-05,26737.998,22541.766
2022-02-06,28488.0,24381.525
2022-02-07,28488.0,26566.236
2022-02-08,31718.002,26328.416
2022-02-09,33676.0,30414.156
2022-02-10,35494.0,32247.266
2022-02-11,37420.0,35406.902
2022-02-12,39251.0,37441.344
2022-02-13,41306.0,39753.52
2022-02-14,43223.0,40917.938
2022-02-15,44987.996,44086.305
2022-02-16,47852.996,46182.543
2022-02-17,50753.0,48141.074
2022-02-18,54038.0,52651.62
2022-02-19,57223.0,55242.97
2022-02-20,60572.0,59016.26
2022-02-21,63822.0,62224.848
2022-02-22,66949.0,66331.89
2022-02-23,71945.0,70508.95
2022-02-24,77149.0,74907.09
2022-02-25,82542.0,80693.16
2022-02-26,87847.0,86596.48
2022-02-27,93230.0,91880.47
2022-02-28,98169.99,96483.36
2022-03-01,102838.0,102207.28
2022-03-02,109806.99,108815.46
2022-03-03,116339.99,114823.45
2022-03-04,124721.99,121691.16
2022-03-05,132943.0,131366.17
2022-03-06,141139.0,139327.94
2022-03-07,148653.0,147476.88
2022-03-08,156027.0,155721.67
2022-03-09,168314.0,166228.7
2022-03-10,180278.0,178509.84
2022-03-11,190593.0,189920.52
2022-03-12,204159.0,203034.66
2022-03-13,217932.0,216299.27
2022-03-14,230550.0,229209.2
2022-03-15,245089.98,243555.78
2022-03-16,261871.98,261178.94
2022-03-17,281039.0,279558.1
2022-03-18,299071.0,296568.56
2022-03-19,314012.0,313707.47
2022-03-20,327002.0,325291.12
2022-03-21,336778.0,336391.22
2022-03-22,351205.0,349701.47
2022-03-23,371992.0,370760.38
2022-03-24,390093.03,388802.38
2022-03-25,405151.0,404548.94
2022-03-26,420324.0,419026.03
2022-03-27,434999.03,433542.84
2022-03-28,444400.03,443611.4
2022-03-29,459307.03,457978.6
2022-03-30,479469.03,478116.78
2022-03-31,494158.03,493677.28
2022-04-01,507130.03,505931.84
2022-04-02,520198.03,519562.5
2022-04-03,531950.06,531028.25
2022-04-04,538220.0,537899.0
2022-04-05,549528.0,548461.06
2022-04-06,564300.0,563654.8
2022-04-07,575608.06,574716.6
2022-04-08,585993.06,585458.0
2022-04-09,596434.06,595653.75
2022-04-10,604834.0,603948.0
2022-04-11,609902.0,609316.75
2022-04-12,618782.06,618459.1
2022-04-13,630845.0,630216.3
2022-04-14,638886.0,639037.06
2022-04-15,645593.0,644463.0
2022-04-16,651751.0,651817.1
2022-04-17,656804.0,656448.2
2022-04-18,659593.0,659293.2
2022-04-19,665426.0,665337.8
2022-04-20,672616.0,672483.3
2022-04-21,678277.0,678213.1
2022-04-22,683299.0,683264.8
2022-04-23,687732.0,687736.44
2022-04-24,691779.0,691798.2
2022-04-25,694024.0,694141.44
2022-04-26,698372.0,698459.6
2022-04-27,703785.0,691352.56
2022-04-28,707764.06,684361.44
2022-04-29,711315.0,682640.25
2022-04-30,714183.0,682564.44
2022-05-01,716854.0,676264.44
2022-05-02,718367.94,669159.06
2022-05-03,721187.0,667776.1
