,Actual_data,Predicted_data
2021-12-09,12326.0,14341.292
2021-12-10,12509.0,14476.426
2021-12-11,12647.0,14710.303
2021-12-12,12793.999,14619.712
2021-12-13,12956.999,14822.263
2021-12-14,13123.0,14958.874
2021-12-15,13316.0,15051.832
2021-12-16,13524.0,15260.276
2021-12-17,13693.0,15412.388
2021-12-18,13832.0,15398.634
2021-12-19,13967.999,15457.512
2021-12-20,14085.0,15555.46
2021-12-21,14192.0,15538.178
2021-12-22,14330.999,15559.631
2021-12-23,14465.999,15713.962
2021-12-24,14608.999,15704.199
2021-12-25,14736.999,15805.989
2021-12-26,14867.0,15812.319
2021-12-27,14938.0,15906.163
2021-12-28,15024.0,15741.896
2021-12-29,15128.0,15889.201
2021-12-30,15209.999,15936.477
2021-12-31,15315.0,15857.528
2022-01-01,15431.0,15998.523
2022-01-02,15524.999,16046.714
2022-01-03,15574.0,16010.863
2022-01-04,15635.999,15920.165
2022-01-05,15733.0,16030.732
2022-01-06,15822.0,16138.869
2022-01-07,15930.999,16095.705
2022-01-08,16016.0,16232.397
2022-01-09,16109.0,16178.525
2022-01-10,16196.999,16295.056
2022-01-11,16256.999,16312.744
2022-01-12,16334.0,16260.24
2022-01-13,16433.0,16382.765
2022-01-14,16526.0,16465.516
2022-01-15,16621.0,16465.16
2022-01-16,16729.0,16540.31
2022-01-17,16824.0,16644.707
2022-01-18,16962.0,16646.627
2022-01-19,17132.0,16890.613
2022-01-20,17358.0,17045.54
2022-01-21,17592.0,17354.334
2022-01-22,17799.0,17506.326
2022-01-23,18014.0,17615.475
2022-01-24,18248.0,17869.727
2022-01-25,18529.0,18099.062
2022-01-26,18974.0,18429.207
2022-01-27,19463.0,19209.523
2022-01-28,20001.0,19533.023
2022-01-29,20591.0,20141.95
2022-01-30,21187.0,20794.219
2022-01-31,21773.998,21307.895
2022-02-01,22393.0,21817.975
2022-02-02,23170.0,22457.71
2022-02-03,24105.0,23509.24
2022-02-04,25249.002,24534.367
2022-02-05,26738.0,25944.861
2022-02-06,28488.0,28037.578
2022-02-07,28488.0,30035.012
2022-02-08,31717.998,25889.277
2022-02-09,33676.0,36853.695
2022-02-10,35494.0,32658.365
2022-02-11,37420.0,35798.95
2022-02-12,39251.0,38737.848
2022-02-13,41306.0,40394.21
2022-02-14,43223.0,42939.574
2022-02-15,44988.0,43961.367
2022-02-16,47853.0,45067.375
2022-02-17,50753.0,50198.8
2022-02-18,54038.004,51562.934
2022-02-19,57223.004,55531.984
2022-02-20,60572.004,58122.234
2022-02-21,63822.0,61928.906
2022-02-22,66949.01,64790.01
2022-02-23,71945.0,67558.836
2022-02-24,77149.0,76049.664
2022-02-25,82542.0,80243.57
2022-02-26,87847.0,86010.766
2022-02-27,93230.01,91609.75
2022-02-28,98170.0,97830.125
2022-03-01,102838.0,102356.48
2022-03-02,109806.99,106986.42
2022-03-03,116339.99,117745.59
2022-03-04,124722.0,122001.93
2022-03-05,132943.0,133033.66
2022-03-06,141139.0,140700.58
2022-03-07,148653.0,149536.83
2022-03-08,156027.0,157473.72
2022-03-09,168314.0,166725.9
2022-03-10,180278.0,182218.8
2022-03-11,190593.02,194126.34
2022-03-12,204159.0,202142.7
2022-03-13,217932.02,219070.02
2022-03-14,230550.02,234193.97
2022-03-15,245090.0,246883.02
2022-03-16,261872.0,263364.84
2022-03-17,281039.0,280172.97
2022-03-18,299071.0,293338.44
2022-03-19,314012.03,308396.44
2022-03-20,327002.0,326688.78
2022-03-21,336778.03,340747.8
2022-03-22,351205.0,354580.03
2022-03-23,371992.0,372398.88
2022-03-24,390092.97,389012.47
2022-03-25,405151.0,408206.25
2022-03-26,420323.97,421504.4
2022-03-27,434998.97,432761.56
2022-03-28,444400.0,450976.06
2022-03-29,459307.0,462790.84
2022-03-30,479469.0,476371.62
2022-03-31,494157.97,493662.34
2022-04-01,507129.97,509458.97
2022-04-02,520197.97,516686.66
2022-04-03,531949.94,527876.56
2022-04-04,538220.0,542533.06
2022-04-05,549528.0,545011.44
2022-04-06,564300.0,562654.4
2022-04-07,575608.0,580653.5
2022-04-08,585993.0,588534.2
2022-04-09,596434.0,596162.7
2022-04-10,604833.94,605425.2
2022-04-11,609902.0,614640.56
2022-04-12,618782.0,619506.9
2022-04-13,630845.0,629731.2
2022-04-14,638886.0,640067.0
2022-04-15,645593.0,643223.94
2022-04-16,651750.94,650056.4
2022-04-17,656804.0,656130.94
2022-04-18,659593.0,662019.8
2022-04-19,665426.0,665196.6
2022-04-20,672616.0,669806.4
2022-04-21,678277.0,676189.94
2022-04-22,683299.0,679462.25
2022-04-23,687732.0,683357.9
2022-04-24,691779.0,686970.56
2022-04-25,694024.0,690323.06
2022-04-26,698372.0,691707.44
2022-04-27,703785.0,692590.3
2022-04-28,707764.0,697127.1
2022-04-29,711315.0,702382.44
2022-04-30,714183.0,706866.56
2022-05-01,716854.0,708832.2
2022-05-02,718368.0,710359.8
