,Actual_data,Predicted_data
2021-12-10,20117.0,20956.648
2021-12-11,20260.0,21056.84
2021-12-12,20397.0,21101.94
2021-12-13,20541.0,21186.877
2021-12-14,20671.0,21256.262
2021-12-15,20849.0,21327.797
2021-12-16,21007.0,21437.395
2021-12-17,21167.0,21533.59
2021-12-18,21381.0,21609.188
2021-12-19,21534.0,21777.67
2021-12-20,21645.0,21874.887
2021-12-21,21782.0,21920.666
2021-12-22,21915.0,22046.227
2021-12-23,22083.0,22133.102
2021-12-24,22234.0,22297.502
2021-12-25,22337.0,22447.438
2021-12-26,22456.998,22515.56
2021-12-27,22588.0,22608.213
2021-12-28,22735.998,22731.682
2021-12-29,22875.0,22876.234
2021-12-30,22991.998,23028.295
2021-12-31,23124.0,23108.484
2022-01-01,23249.0,23268.373
2022-01-02,23335.0,23379.64
2022-01-03,23433.0,23434.9
2022-01-04,23517.0,23559.98
2022-01-05,23629.002,23646.969
2022-01-06,23739.0,23712.676
2022-01-07,23838.0,23824.855
2022-01-08,23946.0,23849.777
2022-01-09,24054.002,23910.309
2022-01-10,24148.0,24007.67
2022-01-11,24218.0,24053.527
2022-01-12,24311.002,24115.732
2022-01-13,24436.0,24232.822
2022-01-14,24525.998,24325.611
2022-01-15,24651.0,24370.852
2022-01-16,24808.0,24448.166
2022-01-17,24984.0,24533.502
2022-01-18,25155.0,24667.969
2022-01-19,25368.0,24774.941
2022-01-20,25732.0,24892.082
2022-01-21,26120.0,25223.084
2022-01-22,26564.0,25594.639
2022-01-23,27021.998,25949.852
2022-01-24,27501.0,26374.2
2022-01-25,27990.0,26761.434
2022-01-26,28662.0,27172.793
2022-01-27,29430.0,27881.75
2022-01-28,30296.0,28552.234
2022-01-29,31177.0,29421.041
2022-01-30,32085.0,30278.283
2022-01-31,33063.0,31105.63
2022-02-01,34030.0,32040.426
2022-02-02,35177.0,33057.754
2022-02-03,36432.0,34403.926
2022-02-04,38145.004,35808.266
2022-02-05,39787.004,37806.68
2022-02-06,41756.0,39452.53
2022-02-07,43726.0,41696.023
2022-02-08,45515.0,43662.152
2022-02-09,47930.0,45644.426
2022-02-10,50259.0,48462.906
2022-02-11,52756.0,51202.0
2022-02-12,55126.0,54285.938
2022-02-13,57696.0,56957.21
2022-02-14,60302.0,60062.965
2022-02-15,62664.004,62766.39
2022-02-16,66854.0,65797.72
2022-02-17,71053.0,70989.94
2022-02-18,75591.0,75320.0
2022-02-19,79811.0,80012.78
2022-02-20,84518.0,83917.79
2022-02-21,88678.0,89120.875
2022-02-22,92836.0,93054.016
2022-02-23,99142.0,99104.42
2022-02-24,106290.01,106105.78
2022-02-25,112580.0,113160.56
2022-02-26,119575.0,118803.5
2022-02-27,125731.0,125295.28
2022-02-28,131556.0,130782.82
2022-03-01,136938.0,136790.47
2022-03-02,144053.0,143663.97
2022-03-03,152133.0,152195.56
2022-03-04,161626.0,160577.97
2022-03-05,171189.0,170702.81
2022-03-06,180085.0,179714.61
2022-03-07,187874.0,188186.2
2022-03-08,195459.98,196117.19
2022-03-09,208359.0,206483.75
2022-03-10,219956.0,221590.12
2022-03-11,230261.0,233526.53
2022-03-12,243674.98,245483.34
2022-03-13,256368.0,258847.98
2022-03-14,268774.0,271053.1
2022-03-15,283124.0,284683.22
2022-03-16,299879.0,302777.84
2022-03-17,324346.97,320868.38
2022-03-18,340359.97,342381.1
2022-03-19,355201.03,354893.8
2022-03-20,368813.0,368129.3
2022-03-21,374944.0,379460.28
2022-03-22,392298.0,390562.78
2022-03-23,413152.0,409067.38
2022-03-24,428852.0,428228.22
2022-03-25,442857.0,441239.3
2022-03-26,457070.0,455586.22
2022-03-27,470288.03,468471.38
2022-03-28,475520.0,479524.9
2022-03-29,493331.0,492027.75
2022-03-30,511173.03,510907.97
2022-03-31,523883.03,523507.78
2022-04-01,535262.0,534304.56
2022-04-02,546536.0,545351.9
2022-04-03,556233.0,554993.3
2022-04-04,559685.0,561797.7
2022-04-05,573220.0,573447.06
2022-04-06,585322.0,585229.56
2022-04-07,595072.0,595140.7
2022-04-08,604294.0,605378.0
2022-04-09,611976.0,613466.3
2022-04-10,619045.0,619771.44
2022-04-11,622037.0,624960.6
2022-04-12,633398.0,636875.9
2022-04-13,641753.0,647083.25
2022-04-14,648388.0,650761.8
2022-04-15,653908.0,658358.75
2022-04-16,658610.0,661323.56
2022-04-17,662820.0,663736.8
2022-04-18,664446.0,664845.1
2022-04-19,670946.0,671729.75
2022-04-20,675960.0,676702.9
2022-04-21,680160.0,680986.75
2022-04-22,684190.0,684852.3
2022-04-23,688156.0,689063.8
2022-04-24,691555.0,692408.8
2022-04-25,692977.0,693868.9
2022-04-26,697880.0,698802.5
2022-04-27,701475.94,679593.25
2022-04-28,704310.94,676201.8
2022-04-29,706817.0,680529.4
2022-04-30,709132.0,673194.06
2022-05-01,711166.94,668920.6
2022-05-02,712031.0,666303.8
2022-05-03,715274.0,664443.0
