,Actual_data,Predicted_data
2021-12-10,20117.0,17935.375
2021-12-11,20260.0,18046.738
2021-12-12,20397.0,18159.111
2021-12-13,20541.0,18253.654
2021-12-14,20671.0,18350.045
2021-12-15,20849.0,18490.89
2021-12-16,21007.0,18623.95
2021-12-17,21167.0,18811.357
2021-12-18,21381.0,18858.53
2021-12-19,21534.0,19014.027
2021-12-20,21645.0,19163.707
2021-12-21,21782.0,19330.807
2021-12-22,21915.0,19448.686
2021-12-23,22083.0,19479.006
2021-12-24,22234.0,19582.195
2021-12-25,22337.0,19755.176
2021-12-26,22456.998,19821.318
2021-12-27,22588.0,19879.998
2021-12-28,22735.998,19865.027
2021-12-29,22875.0,19928.545
2021-12-30,22991.998,20053.66
2021-12-31,23124.0,20188.629
2022-01-01,23249.0,20256.398
2022-01-02,23335.0,20357.738
2022-01-03,23433.0,20346.111
2022-01-04,23517.0,20385.133
2022-01-05,23629.002,20464.21
2022-01-06,23739.0,20523.045
2022-01-07,23838.0,20554.393
2022-01-08,23946.0,20501.72
2022-01-09,24054.002,20561.967
2022-01-10,24148.0,20587.658
2022-01-11,24218.0,20619.416
2022-01-12,24311.002,20660.379
2022-01-13,24436.0,20613.707
2022-01-14,24525.998,20654.316
2022-01-15,24651.0,20685.08
2022-01-16,24808.0,20670.271
2022-01-17,24984.0,20720.314
2022-01-18,25155.0,20712.896
2022-01-19,25368.0,20866.81
2022-01-20,25732.0,20930.58
2022-01-21,26120.0,21060.44
2022-01-22,26564.0,21402.883
2022-01-23,27021.998,21763.254
2022-01-24,27501.0,22176.504
2022-01-25,27990.0,22568.77
2022-01-26,28662.0,22978.414
2022-01-27,29430.0,23622.477
2022-01-28,30296.0,24186.232
2022-01-29,31177.0,25030.045
2022-01-30,32085.0,25968.445
2022-01-31,33063.0,26856.602
2022-02-01,34030.0,27847.326
2022-02-02,35177.0,28915.852
2022-02-03,36432.0,30220.309
2022-02-04,38145.004,31595.049
2022-02-05,39787.004,33241.797
2022-02-06,41756.0,34972.2
2022-02-07,43726.0,37134.71
2022-02-08,45515.0,39326.95
2022-02-09,47930.0,41637.21
2022-02-10,50259.0,44245.344
2022-02-11,52756.0,47071.766
2022-02-12,55126.0,50222.676
2022-02-13,57696.0,53306.105
2022-02-14,60302.0,56350.15
2022-02-15,62664.004,59338.74
2022-02-16,66854.0,62890.992
2022-02-17,71053.0,66858.72
2022-02-18,75591.0,71494.17
2022-02-19,79811.0,77003.69
2022-02-20,84518.0,81396.42
2022-02-21,88678.0,85798.17
2022-02-22,92836.0,90103.35
2022-02-23,99142.0,95945.5
2022-02-24,106290.01,101507.39
2022-02-25,112580.0,108336.836
2022-02-26,119575.0,115723.87
2022-02-27,125731.0,122308.92
2022-02-28,131556.0,128487.11
2022-03-01,136938.0,134720.02
2022-03-02,144053.0,141874.75
2022-03-03,152133.0,149505.66
2022-03-04,161626.0,157337.72
2022-03-05,171189.0,166586.6
2022-03-06,180085.0,175817.36
2022-03-07,187874.0,185591.8
2022-03-08,195459.98,194372.56
2022-03-09,208359.0,204046.27
2022-03-10,219956.0,216132.22
2022-03-11,230261.0,229812.7
2022-03-12,243674.98,242377.42
2022-03-13,256368.0,254640.64
2022-03-14,268774.0,267048.03
2022-03-15,283124.0,282193.3
2022-03-16,299879.0,299800.75
2022-03-17,324346.97,316511.06
2022-03-18,340359.97,334526.22
2022-03-19,355201.03,352949.72
2022-03-20,368813.0,366849.3
2022-03-21,374944.0,378908.28
2022-03-22,392298.0,389798.4
2022-03-23,413152.0,408222.5
2022-03-24,428852.0,428286.97
2022-03-25,442857.0,442661.28
2022-03-26,457070.0,455438.3
2022-03-27,470288.03,467186.3
2022-03-28,475520.0,476252.72
2022-03-29,493331.0,490243.22
2022-03-30,511173.03,508966.6
2022-03-31,523883.03,523458.03
2022-04-01,535262.0,535750.6
2022-04-02,546536.0,544114.7
2022-04-03,556233.0,553185.25
2022-04-04,559685.0,559182.3
2022-04-05,573220.0,572619.6
2022-04-06,585322.0,587411.0
2022-04-07,595072.0,593390.7
2022-04-08,604294.0,602354.1
2022-04-09,611976.0,610898.25
2022-04-10,619045.0,616937.06
2022-04-11,622037.0,620730.75
2022-04-12,633398.0,632875.94
2022-04-13,641753.0,642769.5
2022-04-14,648388.0,645675.25
2022-04-15,653908.0,654559.6
2022-04-16,658610.0,658907.06
2022-04-17,662820.0,662469.0
2022-04-18,664446.0,663911.3
2022-04-19,670946.0,670649.75
2022-04-20,675960.0,675582.9
2022-04-21,680160.0,680144.1
2022-04-22,684190.0,683862.1
2022-04-23,688156.0,687894.8
2022-04-24,691555.0,691397.0
2022-04-25,692977.0,692833.8
2022-04-26,697880.0,697578.56
2022-04-27,701475.94,683106.8
2022-04-28,704310.94,675002.5
2022-04-29,706817.0,680343.7
2022-04-30,709132.0,675471.75
2022-05-01,711166.94,668321.9
2022-05-02,712031.0,661572.06
2022-05-03,715274.0,655344.06
