,Actual_data,Predicted_data
2021-12-09,19954.0,21442.055
2021-12-10,20117.0,21527.797
2021-12-11,20260.0,21666.867
2021-12-12,20397.0,21772.672
2021-12-13,20541.0,21891.936
2021-12-14,20671.0,22004.83
2021-12-15,20849.0,22098.299
2021-12-16,21007.0,22231.639
2021-12-17,21167.0,22392.041
2021-12-18,21381.0,22525.025
2021-12-19,21534.0,22668.715
2021-12-20,21645.0,22864.6
2021-12-21,21782.0,23005.008
2021-12-22,21915.0,23043.057
2021-12-23,22083.0,23245.287
2021-12-24,22234.002,23401.926
2021-12-25,22337.002,23562.682
2021-12-26,22457.002,23711.81
2021-12-27,22588.002,23667.975
2021-12-28,22736.0,23807.959
2021-12-29,22875.002,23899.99
2021-12-30,22992.002,23980.96
2021-12-31,23124.0,24069.777
2022-01-01,23249.0,24211.72
2022-01-02,23335.002,24301.828
2022-01-03,23433.0,24436.117
2022-01-04,23517.0,24442.246
2022-01-05,23629.002,24445.182
2022-01-06,23739.002,24477.568
2022-01-07,23838.002,24573.291
2022-01-08,23946.0,24642.771
2022-01-09,24054.002,24611.38
2022-01-10,24148.0,24637.047
2022-01-11,24218.0,24711.174
2022-01-12,24311.0,24805.057
2022-01-13,24436.002,24906.416
2022-01-14,24526.0,24900.951
2022-01-15,24651.0,24884.793
2022-01-16,24808.002,24941.363
2022-01-17,24984.0,24987.459
2022-01-18,25155.0,25037.123
2022-01-19,25368.0,25112.053
2022-01-20,25732.0,25237.943
2022-01-21,26120.0,25415.125
2022-01-22,26564.0,25724.973
2022-01-23,27022.0,26120.143
2022-01-24,27501.002,26512.264
2022-01-25,27990.002,26903.178
2022-01-26,28662.002,27354.104
2022-01-27,29430.002,27845.742
2022-01-28,30296.0,28655.822
2022-01-29,31177.0,29408.95
2022-01-30,32085.002,30284.092
2022-01-31,33063.0,31147.533
2022-02-01,34030.0,32073.453
2022-02-02,35177.0,33241.312
2022-02-03,36432.0,34557.934
2022-02-04,38145.0,35919.938
2022-02-05,39787.0,37549.33
2022-02-06,41756.0,39405.453
2022-02-07,43725.996,41205.195
2022-02-08,45515.0,43275.188
2022-02-09,47930.004,45357.062
2022-02-10,50259.004,47902.074
2022-02-11,52756.0,50910.93
2022-02-12,55126.0,54025.594
2022-02-13,57696.0,56806.832
2022-02-14,60302.0,59855.312
2022-02-15,62664.004,62859.28
2022-02-16,66854.0,65946.18
2022-02-17,71053.0,69944.72
2022-02-18,75591.0,74120.516
2022-02-19,79811.0,78609.81
2022-02-20,84518.0,83459.875
2022-02-21,88678.0,88084.17
2022-02-22,92836.0,93598.78
2022-02-23,99142.0,98864.805
2022-02-24,106290.0,105348.72
2022-02-25,112580.0,111572.7
2022-02-26,119575.0,118146.18
2022-02-27,125731.0,124367.305
2022-02-28,131556.0,130619.34
2022-03-01,136938.0,137348.5
2022-03-02,144053.0,144957.16
2022-03-03,152133.0,153787.08
2022-03-04,161626.0,161710.55
2022-03-05,171189.0,170522.72
2022-03-06,180085.0,179859.06
2022-03-07,187874.0,187534.14
2022-03-08,195460.02,196486.88
2022-03-09,208359.0,207557.03
2022-03-10,219955.98,220903.17
2022-03-11,230261.0,234380.44
2022-03-12,243675.02,246598.33
2022-03-13,256368.02,258908.94
2022-03-14,268774.0,271777.78
2022-03-15,283124.0,285077.16
2022-03-16,299879.0,300569.06
2022-03-17,324347.0,321687.9
2022-03-18,340360.0,337162.6
2022-03-19,355201.0,352920.66
2022-03-20,368812.97,366696.8
2022-03-21,374943.97,377433.5
2022-03-22,392297.97,392738.94
2022-03-23,413151.97,408990.56
2022-03-24,428852.0,428286.6
2022-03-25,442856.97,443026.88
2022-03-26,457070.0,455590.34
2022-03-27,470288.0,468124.34
2022-03-28,475519.97,478163.72
2022-03-29,493330.97,492458.22
2022-03-30,511172.97,510442.28
2022-03-31,523883.0,524129.78
2022-04-01,535262.0,534018.44
2022-04-02,546535.94,544351.56
2022-04-03,556233.0,554939.75
2022-04-04,559685.0,557832.4
2022-04-05,573220.0,573450.6
2022-04-06,585322.0,585961.06
2022-04-07,595072.0,595626.9
2022-04-08,604294.0,604043.3
2022-04-09,611976.0,613635.9
2022-04-10,619045.0,618610.4
2022-04-11,622037.0,622369.44
2022-04-12,633397.94,634148.56
2022-04-13,641753.0,643264.56
2022-04-14,648387.94,650013.4
2022-04-15,653908.0,657700.94
2022-04-16,658610.0,658760.1
2022-04-17,662820.0,662684.1
2022-04-18,664446.0,664238.1
2022-04-19,670946.0,670644.2
2022-04-20,675960.0,675672.9
2022-04-21,680160.0,679604.06
2022-04-22,684189.94,683772.2
2022-04-23,688156.0,687874.1
2022-04-24,691555.0,691375.75
2022-04-25,692977.0,692800.4
2022-04-26,697880.0,664354.0
2022-04-27,701476.0,662907.25
2022-04-28,704310.94,665641.0
2022-04-29,706817.0,666639.9
2022-04-30,709132.0,657462.06
2022-05-01,711167.0,649613.0
2022-05-02,712031.0,651336.25
