,Actual_data,Predicted_data
2021-12-10,20117.0,19973.51
2021-12-11,20260.0,20132.549
2021-12-12,20397.0,20294.518
2021-12-13,20541.0,20453.025
2021-12-14,20671.0,20609.035
2021-12-15,20849.0,20754.521
2021-12-16,21007.0,20918.344
2021-12-17,21167.0,21094.293
2021-12-18,21381.0,21277.043
2021-12-19,21534.0,21489.486
2021-12-20,21645.0,21696.512
2021-12-21,21782.0,21864.44
2021-12-22,21915.0,22012.312
2021-12-23,22083.0,22143.91
2021-12-24,22234.0,22298.96
2021-12-25,22337.0,22475.889
2021-12-26,22456.998,22640.598
2021-12-27,22588.0,22792.75
2021-12-28,22735.998,22937.893
2021-12-29,22875.0,23095.705
2021-12-30,22991.998,23268.912
2021-12-31,23124.0,23438.309
2022-01-01,23249.0,23604.006
2022-01-02,23335.0,23760.39
2022-01-03,23433.0,23894.229
2022-01-04,23517.0,24017.941
2022-01-05,23629.002,24125.977
2022-01-06,23739.0,24244.762
2022-01-07,23838.0,24376.35
2022-01-08,23946.0,24514.336
2022-01-09,24054.002,24658.385
2022-01-10,24148.0,24799.703
2022-01-11,24218.0,24932.002
2022-01-12,24311.002,25045.088
2022-01-13,24436.0,25154.445
2022-01-14,24525.998,25277.93
2022-01-15,24651.0,25402.361
2022-01-16,24808.0,25549.514
2022-01-17,24984.0,25718.316
2022-01-18,25155.0,25912.152
2022-01-19,25368.0,26124.69
2022-01-20,25732.0,26360.842
2022-01-21,26120.0,26684.133
2022-01-22,26564.0,27079.66
2022-01-23,27021.998,27557.654
2022-01-24,27501.0,28085.48
2022-01-25,27990.0,28613.992
2022-01-26,28662.0,29136.004
2022-01-27,29430.0,29722.033
2022-01-28,30296.0,30431.88
2022-01-29,31177.0,31273.785
2022-01-30,32085.0,32235.059
2022-01-31,33063.0,33212.137
2022-02-01,34030.0,34206.215
2022-02-02,35177.0,35226.1
2022-02-03,36432.0,36269.062
2022-02-04,38145.004,37493.33
2022-02-05,39787.004,38947.15
2022-02-06,41756.0,40873.977
2022-02-07,43726.0,42690.836
2022-02-08,45515.0,44980.48
2022-02-09,47930.0,47128.137
2022-02-10,50259.0,49101.33
2022-02-11,52756.0,51800.145
2022-02-12,55126.0,54082.426
2022-02-13,57696.0,56862.9
2022-02-14,60302.0,59276.13
2022-02-15,62664.004,62082.38
2022-02-16,66854.0,64864.105
2022-02-17,71053.0,68375.83
2022-02-18,75591.0,73336.0
2022-02-19,79811.0,77391.64
2022-02-20,84518.0,83104.03
2022-02-21,88678.0,87306.48
2022-02-22,92836.0,93075.93
2022-02-23,99142.0,96567.52
2022-02-24,106290.01,102002.734
2022-02-25,112580.0,109502.15
2022-02-26,119575.0,118250.984
2022-02-27,125731.0,123535.086
2022-02-28,131556.0,132603.16
2022-03-01,136938.0,137519.23
2022-03-02,144053.0,143138.98
2022-03-03,152133.0,149092.64
2022-03-04,161626.0,158161.11
2022-03-05,171189.0,167339.7
2022-03-06,180085.0,179145.48
2022-03-07,187874.0,189700.9
2022-03-08,195459.98,198856.94
2022-03-09,208359.0,205835.94
2022-03-10,219956.0,222615.98
2022-03-11,230261.0,238661.36
2022-03-12,243674.98,245929.6
2022-03-13,256368.0,257554.05
2022-03-14,268774.0,273984.88
2022-03-15,283124.0,283623.8
2022-03-16,299879.0,296465.97
2022-03-17,324346.97,313400.06
2022-03-18,340359.97,340013.03
2022-03-19,355201.03,354541.78
2022-03-20,368813.0,367612.28
2022-03-21,374944.0,380221.28
2022-03-22,392298.0,391886.1
2022-03-23,413152.0,415443.03
2022-03-24,428852.0,432732.44
2022-03-25,442857.0,445795.78
2022-03-26,457070.0,455405.03
2022-03-27,470288.03,466249.03
2022-03-28,475520.0,478577.84
2022-03-29,493331.0,492817.44
2022-03-30,511173.03,513628.53
2022-03-31,523883.03,525616.56
2022-04-01,535262.0,535979.94
2022-04-02,546536.0,543058.2
2022-04-03,556233.0,551445.44
2022-04-04,559685.0,562551.06
2022-04-05,573220.0,576261.8
2022-04-06,585322.0,584863.1
2022-04-07,595072.0,597535.1
2022-04-08,604294.0,600668.1
2022-04-09,611976.0,605510.0
2022-04-10,619045.0,615431.3
2022-04-11,622037.0,622126.7
2022-04-12,633398.0,633343.75
2022-04-13,641753.0,638074.3
2022-04-14,648388.0,649014.1
2022-04-15,653908.0,650547.75
2022-04-16,658610.0,656028.25
2022-04-17,662820.0,661733.25
2022-04-18,664446.0,666595.1
2022-04-19,670946.0,671123.56
2022-04-20,675960.0,675377.7
2022-04-21,680160.0,678583.3
2022-04-22,684190.0,680227.5
2022-04-23,688156.0,683379.0
2022-04-24,691555.0,686530.9
2022-04-25,692977.0,689550.8
2022-04-26,697880.0,691852.7
2022-04-27,701475.94,696420.25
2022-04-28,704310.94,698074.9
2022-04-29,706817.0,700290.3
2022-04-30,709132.0,702985.6
2022-05-01,711166.94,706195.75
2022-05-02,712031.0,708762.7
2022-05-03,715274.0,710077.56
