,Actual_data,Predicted_data
2021-12-10,9908.0,10112.818
2021-12-11,10026.0,10240.946
2021-12-12,10141.0,10297.763
2021-12-13,10219.0,10446.587
2021-12-14,10370.0,10521.877
2021-12-15,10534.0,10687.985
2021-12-16,10663.0,10904.337
2021-12-17,10825.0,11083.52
2021-12-18,10945.0,11265.071
2021-12-19,11094.0,11387.552
2021-12-20,11206.0,11616.449
2021-12-21,11332.0,11717.968
2021-12-22,11489.0,11880.071
2021-12-23,11622.0,12081.674
2021-12-24,11703.0,12181.408
2021-12-25,11807.0,12285.699
2021-12-26,11891.0,12461.153
2021-12-27,11931.0,12480.62
2021-12-28,12011.0,12501.383
2021-12-29,12090.0,12608.54
2021-12-30,12179.0,12669.828
2021-12-31,12250.0,12787.478
2022-01-01,12315.0,12834.255
2022-01-02,12374.0,12850.829
2022-01-03,12423.0,12905.493
2022-01-04,12457.0,12937.204
2022-01-05,12508.0,12913.601
2022-01-06,12549.0,12973.263
2022-01-07,12578.0,12973.057
2022-01-08,12625.0,12934.915
2022-01-09,12665.0,12951.624
2022-01-10,12698.0,12922.337
2022-01-11,12741.0,12933.504
2022-01-12,12831.0,12918.925
2022-01-13,12899.001,12968.329
2022-01-14,12965.0,12959.181
2022-01-15,13018.0,12959.461
2022-01-16,13072.0,12968.994
2022-01-17,13154.0,12914.581
2022-01-18,13262.0,12947.007
2022-01-19,13379.0,12974.549
2022-01-20,13476.0,13014.069
2022-01-21,13587.0,13058.65
2022-01-22,13706.0,13106.096
2022-01-23,13865.0,13094.673
2022-01-24,14023.0,13227.328
2022-01-25,14249.0,13280.251
2022-01-26,14619.0,13446.758
2022-01-27,15032.0,13818.814
2022-01-28,15401.0,14175.74
2022-01-29,15830.0,14494.007
2022-01-30,16280.0,14897.458
2022-01-31,16725.0,15205.75
2022-02-01,17187.0,15612.977
2022-02-02,17668.0,16123.621
2022-02-03,18227.0,16617.695
2022-02-04,18990.0,17251.398
2022-02-05,20022.0,18078.404
2022-02-06,21212.0,19295.307
2022-02-07,22181.0,20630.195
2022-02-08,23124.0,21685.625
2022-02-09,24254.0,22800.53
2022-02-10,25704.0,24252.176
2022-02-11,27127.0,26148.088
2022-02-12,28637.998,27849.064
2022-02-13,30133.0,29656.094
2022-02-14,31747.0,31297.611
2022-02-15,33324.004,33161.105
2022-02-16,35912.0,34886.098
2022-02-17,38613.0,38331.58
2022-02-18,41593.0,41186.84
2022-02-19,44625.004,44752.215
2022-02-20,47735.0,47669.16
2022-02-21,50642.004,51007.613
2022-02-22,53491.0,54117.062
2022-02-23,57569.0,57464.266
2022-02-24,62073.0,62137.86
2022-02-25,66479.0,66766.18
2022-02-26,70744.0,70850.734
2022-02-27,74792.0,74702.67
2022-02-28,78475.0,78590.28
2022-03-01,82148.99,82413.9
2022-03-02,87441.0,86602.516
2022-03-03,92508.0,92581.18
2022-03-04,98466.0,97926.664
2022-03-05,104159.0,104576.18
2022-03-06,110347.0,109707.734
2022-03-07,116107.0,116169.52
2022-03-08,121715.0,121728.29
2022-03-09,129692.0,129175.42
2022-03-10,137576.0,137416.39
2022-03-11,144788.0,145538.94
2022-03-12,153303.0,153039.4
2022-03-13,161953.0,161617.81
2022-03-14,170243.0,169972.36
2022-03-15,178552.0,178983.28
2022-03-16,187365.0,189266.47
2022-03-17,199846.0,198488.55
2022-03-18,211178.0,210880.53
2022-03-19,222032.0,221423.77
2022-03-20,233517.0,232796.56
2022-03-21,241907.02,243879.31
2022-03-22,251780.02,252388.25
2022-03-23,266306.0,264786.66
2022-03-24,277576.0,277138.78
2022-03-25,285834.0,286875.3
2022-03-26,297036.0,296715.0
2022-03-27,305999.0,306156.3
2022-03-28,311280.0,312659.28
2022-03-29,322386.0,320994.78
2022-03-30,333638.0,334441.4
2022-03-31,343696.0,342690.72
2022-04-01,351789.0,352688.84
2022-04-02,359774.0,359294.28
2022-04-03,366746.0,366705.56
2022-04-04,371332.0,371873.25
2022-04-05,379111.0,379275.66
2022-04-06,388183.0,388725.28
2022-04-07,395582.0,396218.8
2022-04-08,402509.0,402554.38
2022-04-09,409502.0,410156.75
2022-04-10,414905.0,413600.06
2022-04-11,418582.0,418817.78
2022-04-12,425398.0,425296.1
2022-04-13,431914.0,432064.03
2022-04-14,437074.0,436155.5
2022-04-15,441577.0,441429.7
2022-04-16,445413.0,445601.9
2022-04-17,448971.0,449031.88
2022-04-18,450707.0,450694.84
2022-04-19,454181.0,454239.8
2022-04-20,458072.0,458261.03
2022-04-21,461077.0,461158.6
2022-04-22,463936.0,464056.6
2022-04-23,466594.0,466675.78
2022-04-24,468891.0,468978.7
2022-04-25,470315.0,470338.1
2022-04-26,472793.0,472828.4
2022-04-27,475513.0,465115.88
2022-04-28,477512.0,462550.84
2022-04-29,479245.0,464255.5
2022-04-30,480697.03,460412.75
2022-05-01,482034.0,457959.47
2022-05-02,482709.0,452753.16
2022-05-03,484375.03,448409.75
