,Actual_data,Predicted_data
2021-12-09,9751.0,12559.322
2021-12-10,9908.0,12767.27
2021-12-11,10026.0,12900.198
2021-12-12,10141.0,12956.506
2021-12-13,10219.0,13044.596
2021-12-14,10370.0,13136.071
2021-12-15,10534.0,13398.05
2021-12-16,10663.0,13610.481
2021-12-17,10825.0,13690.031
2021-12-18,10945.0,13810.475
2021-12-19,11094.001,13855.472
2021-12-20,11206.0,13982.351
2021-12-21,11332.0,14086.489
2021-12-22,11489.0,14207.906
2021-12-23,11622.001,14435.47
2021-12-24,11703.0,14545.463
2021-12-25,11807.0,14608.61
2021-12-26,11891.001,14587.585
2021-12-27,11931.001,14754.227
2021-12-28,12011.0,14850.711
2021-12-29,12090.001,14895.642
2021-12-30,12179.0,15057.229
2021-12-31,12250.0,15177.756
2022-01-01,12315.0,15130.258
2022-01-02,12374.0,15096.445
2022-01-03,12423.0,15220.784
2022-01-04,12457.0,15203.975
2022-01-05,12508.0,15313.887
2022-01-06,12549.0,15428.112
2022-01-07,12578.0,15407.923
2022-01-08,12625.001,15417.834
2022-01-09,12665.0,15551.116
2022-01-10,12698.001,15546.753
2022-01-11,12741.001,15512.643
2022-01-12,12831.0,15637.885
2022-01-13,12899.0,15841.692
2022-01-14,12965.0,15739.817
2022-01-15,13018.0,15769.354
2022-01-16,13072.0,15811.156
2022-01-17,13154.0,15819.53
2022-01-18,13262.0,15894.355
2022-01-19,13379.0,15991.2295
2022-01-20,13476.0,16253.849
2022-01-21,13587.0,16196.708
2022-01-22,13706.0,16193.081
2022-01-23,13865.0,16240.994
2022-01-24,14023.0,16409.633
2022-01-25,14249.0,16498.514
2022-01-26,14619.0,16732.41
2022-01-27,15032.001,17027.027
2022-01-28,15401.0,17354.172
2022-01-29,15830.0,17558.41
2022-01-30,16280.001,17992.531
2022-01-31,16725.0,18357.688
2022-02-01,17187.0,18546.621
2022-02-02,17668.0,19193.121
2022-02-03,18227.002,19664.898
2022-02-04,18990.0,20189.238
2022-02-05,20022.0,21121.367
2022-02-06,21212.002,22247.736
2022-02-07,22181.0,23328.596
2022-02-08,23124.002,24115.332
2022-02-09,24254.0,25081.75
2022-02-10,25704.0,26438.207
2022-02-11,27127.0,28252.639
2022-02-12,28638.0,30227.344
2022-02-13,30133.0,32188.19
2022-02-14,31747.0,33595.01
2022-02-15,33324.0,35169.848
2022-02-16,35912.0,36821.156
2022-02-17,38612.996,40338.895
2022-02-18,41593.0,43020.39
2022-02-19,44625.0,46251.656
2022-02-20,47735.0,48824.184
2022-02-21,50641.996,51593.58
2022-02-22,53491.0,54549.594
2022-02-23,57569.0,58077.92
2022-02-24,62073.0,62800.49
2022-02-25,66479.0,67420.97
2022-02-26,70744.01,71944.945
2022-02-27,74792.0,76446.11
2022-02-28,78475.0,80230.41
2022-03-01,82149.01,84461.94
2022-03-02,87441.0,88837.234
2022-03-03,92508.01,95521.125
2022-03-04,98466.01,100700.05
2022-03-05,104159.01,106974.805
2022-03-06,110347.0,111606.31
2022-03-07,116107.0,117692.69
2022-03-08,121715.0,123381.42
2022-03-09,129692.0,130697.41
2022-03-10,137576.0,139227.22
2022-03-11,144787.98,146916.11
2022-03-12,153302.98,154904.34
2022-03-13,161953.0,163519.77
2022-03-14,170243.0,171617.6
2022-03-15,178551.98,181543.78
2022-03-16,187364.98,190880.58
2022-03-17,199846.0,201717.05
2022-03-18,211178.0,211847.73
2022-03-19,222032.0,222181.36
2022-03-20,233517.0,234384.47
2022-03-21,241907.0,245019.89
2022-03-22,251780.0,253818.47
2022-03-23,266306.0,266212.88
2022-03-24,277576.0,277588.3
2022-03-25,285834.0,287503.72
2022-03-26,297036.0,298035.94
2022-03-27,305999.0,307771.34
2022-03-28,311280.0,313198.4
2022-03-29,322386.0,323585.38
2022-03-30,333638.0,334858.44
2022-03-31,343696.0,344253.06
2022-04-01,351789.0,352816.34
2022-04-02,359773.97,360592.03
2022-04-03,366746.0,367632.66
2022-04-04,371332.0,372341.44
2022-04-05,379111.0,380446.53
2022-04-06,388183.0,389651.62
2022-04-07,395581.97,396712.12
2022-04-08,402509.0,403381.78
2022-04-09,409502.0,410631.2
2022-04-10,414905.0,415490.47
2022-04-11,418582.0,419009.44
2022-04-12,425398.0,425808.0
2022-04-13,431914.0,432725.34
2022-04-14,437074.0,438115.72
2022-04-15,441576.97,442358.03
2022-04-16,445412.97,446113.38
2022-04-17,448971.0,449607.94
2022-04-18,450707.0,451283.06
2022-04-19,454181.0,454665.88
2022-04-20,458072.0,458636.16
2022-04-21,461076.97,461548.62
2022-04-22,463935.97,464488.47
2022-04-23,466594.0,467044.28
2022-04-24,468891.0,469350.1
2022-04-25,470315.0,470728.6
2022-04-26,472793.0,459361.56
2022-04-27,475512.97,457284.66
2022-04-28,477511.97,459119.8
2022-04-29,479245.03,452657.66
2022-04-30,480697.03,452212.53
2022-05-01,482034.03,449872.38
2022-05-02,482709.0,443646.3
