,Actual_data,Predicted_data
2021-12-10,18265.0,21728.871
2021-12-11,18584.0,21953.78
2021-12-12,18912.0,22242.605
2021-12-13,19153.0,22519.969
2021-12-14,19359.0,22780.287
2021-12-15,19702.0,23003.15
2021-12-16,20048.0,23232.29
2021-12-17,20436.0,23540.36
2021-12-18,20798.0,23866.416
2021-12-19,21161.0,24216.102
2021-12-20,21526.0,24554.422
2021-12-21,21760.0,24858.285
2021-12-22,22192.0,25176.2
2021-12-23,22625.0,25458.688
2021-12-24,23046.0,25892.883
2021-12-25,23386.0,26342.037
2021-12-26,23757.0,26709.78
2021-12-27,24027.0,27090.646
2021-12-28,24264.0,27375.219
2021-12-29,24560.0,27661.215
2021-12-30,24815.0,27967.371
2021-12-31,25075.002,28244.254
2022-01-01,25287.002,28543.188
2022-01-02,25503.0,28802.123
2022-01-03,25676.0,28984.023
2022-01-04,25821.0,29170.852
2022-01-05,26076.0,29395.295
2022-01-06,26304.0,29576.557
2022-01-07,26511.0,29874.379
2022-01-08,26692.0,30104.87
2022-01-09,26850.002,30275.37
2022-01-10,27015.0,30400.615
2022-01-11,27130.0,30497.285
2022-01-12,27294.0,30762.455
2022-01-13,27456.0,30854.824
2022-01-14,27583.002,31021.904
2022-01-15,27726.0,31209.41
2022-01-16,27871.0,31238.701
2022-01-17,27988.0,31334.252
2022-01-18,28102.0,31445.275
2022-01-19,28292.002,31602.79
2022-01-20,28495.0,31734.512
2022-01-21,28711.0,31839.346
2022-01-22,28947.0,31985.072
2022-01-23,29239.0,32169.21
2022-01-24,29537.0,32317.365
2022-01-25,29880.0,32553.127
2022-01-26,30443.002,32886.445
2022-01-27,31184.0,33214.65
2022-01-28,32005.0,33746.71
2022-01-29,32813.0,34373.26
2022-01-30,33664.0,35136.73
2022-01-31,34435.0,35850.88
2022-02-01,35414.0,36528.645
2022-02-02,36681.0,37420.688
2022-02-03,37961.0,38365.785
2022-02-04,39686.0,39552.35
2022-02-05,41617.0,41151.11
2022-02-06,43791.0,43207.473
2022-02-07,45718.0,45375.383
2022-02-08,47639.0,47759.617
2022-02-09,50674.0,50071.508
2022-02-10,53305.0,52913.402
2022-02-11,56316.0,56332.293
2022-02-12,59367.004,59572.35
2022-02-13,62809.0,63438.05
2022-02-14,66329.0,67435.23
2022-02-15,69419.0,71625.31
2022-02-16,75902.0,76206.39
2022-02-17,82121.0,82831.914
2022-02-18,88697.99,90601.914
2022-02-19,95234.0,98305.35
2022-02-20,102180.0,105868.195
2022-02-21,109720.0,113582.59
2022-02-22,115860.0,121267.586
2022-02-23,128676.0,129832.26
2022-02-24,140512.0,143739.31
2022-02-25,153248.0,156588.61
2022-02-26,166271.0,169832.53
2022-02-27,179948.0,182532.77
2022-02-28,192559.0,196197.06
2022-03-01,203763.0,208321.6
2022-03-02,219867.0,223034.48
2022-03-03,234125.98,240203.97
2022-03-04,257323.98,256207.31
2022-03-05,279146.0,282531.72
2022-03-06,305351.03,304937.34
2022-03-07,331807.0,331418.38
2022-03-08,351170.03,355715.2
2022-03-09,382323.0,382011.06
2022-03-10,413900.0,411572.53
2022-03-11,436820.0,439701.8
2022-03-12,468786.03,467484.22
2022-03-13,502229.03,500660.94
2022-03-14,529987.0,531012.4
2022-03-15,556137.0,557353.2
2022-03-16,595574.0,595838.5
2022-03-17,638008.0,634541.6
2022-03-18,663512.0,661201.56
2022-03-19,689261.0,687357.9
2022-03-20,708804.0,709591.56
2022-03-21,717781.0,720961.6
2022-03-22,742457.0,740152.6
2022-03-23,768448.0,767381.9
2022-03-24,787179.0,786969.6
2022-03-25,803861.0,803889.7
2022-03-26,820223.06,819240.25
2022-03-27,834677.0,833052.2
2022-03-28,841323.0,842354.56
2022-03-29,861246.0,859910.44
2022-03-30,877689.0,879601.44
2022-03-31,890734.0,889605.94
2022-04-01,902585.0,902982.9
2022-04-02,913271.0,912758.56
2022-04-03,922389.0,921378.7
2022-04-04,926469.06,927820.8
2022-04-05,938730.0,939487.4
2022-04-06,949213.0,950226.6
2022-04-07,957663.0,956157.6
2022-04-08,965134.0,965785.6
2022-04-09,972142.0,970468.4
2022-04-10,978127.06,976282.7
2022-04-11,980634.0,978966.44
2022-04-12,990236.0,988450.56
2022-04-13,996598.0,995920.25
2022-04-14,1001991.0,1001998.2
2022-04-15,1006577.0,1007969.44
2022-04-16,1010486.0,1011070.25
2022-04-17,1013861.0,1013217.2
2022-04-18,1015212.0,1014339.0
2022-04-19,1020588.06,1019975.75
2022-04-20,1024337.06,1023712.4
2022-04-21,1027875.06,1027099.25
2022-04-22,1031003.06,1030119.5
2022-04-23,1034123.0,1033350.3
2022-04-24,1036802.0,1035873.5
2022-04-25,1037874.0,1037117.7
2022-04-26,1041873.0,1040814.2
2022-04-27,1044893.06,1018673.5
2022-04-28,1047336.0,1017843.7
2022-04-29,1049589.0,1013221.2
2022-04-30,1051615.0,1003614.25
2022-05-01,1053250.0,1002641.44
2022-05-02,1053943.0,997413.94
2022-05-03,1056811.0,990751.25
