,Actual_data,Predicted_data
2021-12-09,17962.0,21909.959
2021-12-10,18265.0,22037.658
2021-12-11,18584.0,22420.12
2021-12-12,18912.0,22658.223
2021-12-13,19153.0,23022.574
2021-12-14,19359.0,23119.998
2021-12-15,19702.0,23380.398
2021-12-16,20048.0,23709.822
2021-12-17,20436.0,24078.93
2021-12-18,20798.0,24411.232
2021-12-19,21161.0,24656.896
2021-12-20,21526.0,24988.322
2021-12-21,21760.0,25253.135
2021-12-22,22192.0,25431.03
2021-12-23,22625.0,25896.77
2021-12-24,23046.0,26245.008
2021-12-25,23386.0,26565.111
2021-12-26,23757.0,26666.498
2021-12-27,24027.0,27011.084
2021-12-28,24264.0,26894.156
2021-12-29,24560.0,27159.309
2021-12-30,24815.0,27282.238
2021-12-31,25075.0,27350.287
2022-01-01,25287.0,27321.951
2022-01-02,25503.0,27195.547
2022-01-03,25675.998,27238.377
2022-01-04,25821.0,27044.018
2022-01-05,26076.0,27010.594
2022-01-06,26304.0,27088.299
2022-01-07,26511.0,27129.236
2022-01-08,26692.0,27078.807
2022-01-09,26850.0,26768.062
2022-01-10,27015.0,26707.002
2022-01-11,27130.0,26513.115
2022-01-12,27294.0,26530.322
2022-01-13,27455.998,26385.314
2022-01-14,27583.0,26433.139
2022-01-15,27726.0,26331.535
2022-01-16,27871.0,26005.02
2022-01-17,27988.0,25970.904
2022-01-18,28101.998,25697.035
2022-01-19,28292.0,25788.59
2022-01-20,28495.0,25719.648
2022-01-21,28710.998,25842.943
2022-01-22,28947.0,25834.25
2022-01-23,29239.0,25732.902
2022-01-24,29537.0,25958.459
2022-01-25,29880.0,26042.986
2022-01-26,30443.0,26406.014
2022-01-27,31184.002,26940.344
2022-01-28,32005.0,27934.791
2022-01-29,32813.0,28719.379
2022-01-30,33663.996,29442.453
2022-01-31,34435.0,30469.883
2022-02-01,35414.0,31093.152
2022-02-02,36681.0,32567.625
2022-02-03,37961.0,33752.6
2022-02-04,39686.0,35440.973
2022-02-05,41616.996,37379.727
2022-02-06,43791.0,39545.27
2022-02-07,45718.0,42002.867
2022-02-08,47639.0,44176.668
2022-02-09,50674.0,46583.035
2022-02-10,53305.0,50156.863
2022-02-11,56316.0,53222.113
2022-02-12,59367.0,56662.727
2022-02-13,62809.0,59939.87
2022-02-14,66329.0,63800.36
2022-02-15,69419.0,67312.75
2022-02-16,75902.0,71362.21
2022-02-17,82121.0,79454.836
2022-02-18,88698.0,86185.77
2022-02-19,95234.0,93832.06
2022-02-20,102179.99,100515.8
2022-02-21,109719.99,108539.19
2022-02-22,115859.99,115523.734
2022-02-23,128676.0,123855.68
2022-02-24,140512.0,138445.55
2022-02-25,153248.0,150622.8
2022-02-26,166271.0,164849.5
2022-02-27,179948.0,178229.22
2022-02-28,192558.98,194722.62
2022-03-01,203762.98,207206.16
2022-03-02,219867.0,223363.95
2022-03-03,234126.0,239714.19
2022-03-04,257324.0,255028.67
2022-03-05,279146.0,281049.6
2022-03-06,305351.0,301890.53
2022-03-07,331807.0,330602.8
2022-03-08,351170.03,354805.9
2022-03-09,382323.03,380833.75
2022-03-10,413900.0,410364.75
2022-03-11,436820.03,441627.56
2022-03-12,468786.0,466946.16
2022-03-13,502229.03,500836.66
2022-03-14,529987.0,530075.06
2022-03-15,556137.0,558997.44
2022-03-16,595574.06,594739.1
2022-03-17,638008.0,633416.4
2022-03-18,663512.0,661825.7
2022-03-19,689261.0,689494.5
2022-03-20,708804.06,711578.4
2022-03-21,717781.0,718531.94
2022-03-22,742457.0,739875.94
2022-03-23,768448.0,767577.06
2022-03-24,787179.0,787685.1
2022-03-25,803861.0,803307.94
2022-03-26,820223.0,821080.25
2022-03-27,834677.0,833737.75
2022-03-28,841323.0,841895.06
2022-03-29,861246.06,860192.1
2022-03-30,877689.0,878270.56
2022-03-31,890734.06,889944.44
2022-04-01,902585.0,902556.94
2022-04-02,913271.0,911973.75
2022-04-03,922389.0,922648.9
2022-04-04,926469.0,926483.7
2022-04-05,938730.0,938235.3
2022-04-06,949213.0,949664.8
2022-04-07,957663.0,956893.7
2022-04-08,965134.0,964952.9
2022-04-09,972142.0,972431.75
2022-04-10,978127.0,978129.75
2022-04-11,980634.0,981187.9
2022-04-12,990236.0,989752.3
2022-04-13,996598.0,996997.2
2022-04-14,1001991.0,1001828.75
2022-04-15,1006577.06,1007438.25
2022-04-16,1010486.0,1010324.8
2022-04-17,1013861.0,1013961.25
2022-04-18,1015212.0,1015159.8
2022-04-19,1020588.0,1020732.1
2022-04-20,1024337.0,1024425.2
2022-04-21,1027875.0,1027966.06
2022-04-22,1031003.0,1031085.5
2022-04-23,1034123.0,1034299.25
2022-04-24,1036802.0,1036883.1
2022-04-25,1037874.0,1038067.8
2022-04-26,1041873.0,1013350.2
2022-04-27,1044892.94,1009606.75
2022-04-28,1047336.0,998075.25
2022-04-29,1049589.0,990744.56
2022-04-30,1051615.0,966650.0
2022-05-01,1053250.0,954868.6
2022-05-02,1053943.0,937811.56
