,Actual_data,Predicted_data
2021-12-10,177196.0,174023.55
2021-12-11,180031.0,177404.3
2021-12-12,182558.0,180423.34
2021-12-13,185108.0,181981.25
2021-12-14,187169.0,185409.31
2021-12-15,190332.0,185922.05
2021-12-16,193388.98,193914.22
2021-12-17,196234.0,194096.4
2021-12-18,199028.0,196881.7
2021-12-19,201347.0,200162.81
2021-12-20,203255.0,201213.05
2021-12-21,205249.0,203032.06
2021-12-22,208048.0,206299.45
2021-12-23,210768.0,211609.69
2021-12-24,213114.0,212383.3
2021-12-25,215233.0,214094.83
2021-12-26,217149.98,216546.88
2021-12-27,218646.02,218433.17
2021-12-28,219934.0,219153.67
2021-12-29,221847.0,220864.81
2021-12-30,223567.02,225432.67
2021-12-31,225235.0,225165.5
2022-01-01,226698.0,227440.27
2022-01-02,227879.02,228518.92
2022-01-03,228867.0,229403.45
2022-01-04,229801.0,230525.5
2022-01-05,231213.0,231820.73
2022-01-06,232419.0,235086.77
2022-01-07,233457.0,234580.42
2022-01-08,234449.0,235803.1
2022-01-09,235415.0,237153.39
2022-01-10,236192.0,238221.17
2022-01-11,236946.02,238522.0
2022-01-12,238039.0,239761.23
2022-01-13,239014.0,242142.45
2022-01-14,239950.0,241985.3
2022-01-15,240862.0,243254.6
2022-01-16,241784.0,244264.3
2022-01-17,242574.02,245354.42
2022-01-18,243337.02,245748.72
2022-01-19,244565.0,246824.48
2022-01-20,245925.0,249771.9
2022-01-21,247475.0,250511.62
2022-01-22,249065.02,252562.78
2022-01-23,250758.0,253945.3
2022-01-24,252437.0,255998.78
2022-01-25,254160.0,257462.89
2022-01-26,257330.02,259455.89
2022-01-27,260757.02,267462.84
2022-01-28,264748.0,268277.03
2022-01-29,268947.0,273794.62
2022-01-30,273132.0,277467.47
2022-01-31,277325.0,281303.28
2022-02-01,281456.0,285694.16
2022-02-02,285665.0,289753.8
2022-02-03,290883.0,294499.0
2022-02-04,297043.0,302751.25
2022-02-05,305641.0,309642.5
2022-02-06,313462.0,323514.84
2022-02-07,320343.0,324150.06
2022-02-08,326253.0,330786.25
2022-02-09,337929.97,336413.97
2022-02-10,349804.97,365730.97
2022-02-11,361336.0,365909.94
2022-02-12,374534.0,377014.38
2022-02-13,386358.0,394605.06
2022-02-14,397957.0,401264.28
2022-02-15,410410.0,415556.88
2022-02-16,429289.0,430843.2
2022-02-17,448977.03,460891.72
2022-02-18,474628.03,471040.47
2022-02-19,497821.0,502636.0
2022-02-20,519923.0,514036.12
2022-02-21,539938.06,538384.44
2022-02-22,561744.0,560712.2
2022-02-23,603209.0,588696.9
2022-02-24,640379.0,641314.5
2022-02-25,675993.06,653093.8
2022-02-26,712822.0,689851.44
2022-02-27,748173.0,730343.3
2022-02-28,776144.0,771981.06
2022-03-01,804029.0,810985.4
2022-03-02,850961.94,848850.5
2022-03-03,894637.0,897094.0
2022-03-04,953906.06,940060.8
2022-03-05,1007098.94,997042.7
2022-03-06,1056548.0,1045874.75
2022-03-07,1096106.0,1093449.8
2022-03-08,1133589.0,1147422.4
2022-03-09,1207803.0,1201782.4
2022-03-10,1274661.0,1280713.1
2022-03-11,1331263.0,1342854.8
2022-03-12,1411694.0,1393749.6
2022-03-13,1479502.0,1484416.0
2022-03-14,1536292.0,1564761.1
2022-03-15,1602354.0,1620402.8
2022-03-16,1683745.0,1698529.8
2022-03-17,1812116.1,1801907.4
2022-03-18,1894113.1,1894647.0
2022-03-19,1976240.1,1980387.6
2022-03-20,2042110.1,2028239.0
2022-03-21,2083188.1,2093862.0
2022-03-22,2148186.2,2164721.2
2022-03-23,2249310.2,2249144.8
2022-03-24,2327080.0,2341289.5
2022-03-25,2393995.2,2406256.0
2022-03-26,2457986.0,2447738.2
2022-03-27,2517137.0,2505821.8
2022-03-28,2551327.0,2578058.8
2022-03-29,2617360.2,2634459.2
2022-03-30,2699163.0,2709539.8
2022-03-31,2759294.2,2756510.2
2022-04-01,2810973.0,2798013.5
2022-04-02,2859633.0,2835620.8
2022-04-03,2901742.0,2881868.5
2022-04-04,2922636.0,2934272.2
2022-04-05,2974084.0,2977500.5
2022-04-06,3026503.0,3030165.8
2022-04-07,3066376.0,3063632.8
2022-04-08,3102577.2,3090444.5
2022-04-09,3134889.2,3119215.5
2022-04-10,3163790.0,3151221.5
2022-04-11,3178037.0,3184632.2
2022-04-12,3217532.0,3214729.5
2022-04-13,3250603.0,3246598.2
2022-04-14,3275574.2,3274486.5
2022-04-15,3297020.0,3288707.8
2022-04-16,3315132.0,3303863.2
2022-04-17,3329937.2,3323451.2
2022-04-18,3337282.0,3343064.8
2022-04-19,3359097.0,3360360.5
2022-04-20,3377399.2,3376123.8
2022-04-21,3392583.0,3396872.8
2022-04-22,3405751.0,3403339.5
2022-04-23,3418098.0,3411152.2
2022-04-24,3428474.8,3421034.5
2022-04-25,3433238.0,3431481.8
2022-04-26,3446789.0,3440001.5
2022-04-27,3458306.0,3447898.0
2022-04-28,3467402.0,3450420.0
2022-04-29,3475126.0,3464714.5
2022-04-30,3481581.0,3471204.0
2022-05-01,3487043.2,3476287.5
2022-05-02,3489696.0,3481580.0
2022-05-03,3498345.8,3485951.5
