,Actual_data,Predicted_data
2021-12-09,174396.0,173904.05
2021-12-10,177196.0,176032.75
2021-12-11,180031.0,179415.8
2021-12-12,182558.0,182486.28
2021-12-13,185108.0,184531.19
2021-12-14,187169.0,187020.19
2021-12-15,190332.0,187961.55
2021-12-16,193389.0,192292.2
2021-12-17,196234.0,194025.19
2021-12-18,199028.0,196962.88
2021-12-19,201347.0,199974.95
2021-12-20,203255.0,201624.64
2021-12-21,205249.0,202977.3
2021-12-22,208048.0,204655.36
2021-12-23,210768.0,207756.58
2021-12-24,213114.0,209828.25
2021-12-25,215233.0,212394.81
2021-12-26,217150.0,214869.64
2021-12-27,218646.02,216658.48
2021-12-28,219934.0,217582.0
2021-12-29,221847.02,218540.95
2021-12-30,223567.02,220909.31
2021-12-31,225235.0,222057.66
2022-01-01,226698.0,224318.86
2022-01-02,227879.0,226065.92
2022-01-03,228867.0,227376.84
2022-01-04,229801.0,228413.05
2022-01-05,231213.0,229349.27
2022-01-06,232419.0,231331.17
2022-01-07,233457.0,232391.94
2022-01-08,234449.0,233994.55
2022-01-09,235415.02,235451.83
2022-01-10,236192.02,236666.39
2022-01-11,236946.0,237484.98
2022-01-12,238039.0,238491.97
2022-01-13,239014.0,240093.12
2022-01-14,239950.0,241091.8
2022-01-15,240862.02,242545.94
2022-01-16,241784.0,243818.92
2022-01-17,242574.02,245020.89
2022-01-18,243337.0,245884.08
2022-01-19,244565.0,246832.34
2022-01-20,245925.0,248635.4
2022-01-21,247475.02,250177.44
2022-01-22,249065.0,252438.39
2022-01-23,250758.02,254582.94
2022-01-24,252437.02,256862.14
2022-01-25,254160.0,258822.47
2022-01-26,257330.0,260791.22
2022-01-27,260757.0,265405.78
2022-01-28,264748.0,268832.56
2022-01-29,268947.0,274409.3
2022-01-30,273132.0,279659.5
2022-01-31,277325.0,284655.3
2022-02-01,281456.0,289286.94
2022-02-02,285665.0,293299.44
2022-02-03,290883.0,297176.47
2022-02-04,297043.0,302443.84
2022-02-05,305641.0,308574.12
2022-02-06,313462.0,318645.72
2022-02-07,320343.0,326831.1
2022-02-08,326253.0,336246.78
2022-02-09,337930.0,343014.1
2022-02-10,349805.0,355163.06
2022-02-11,361336.0,363618.38
2022-02-12,374534.0,378146.16
2022-02-13,386358.0,393734.0
2022-02-14,397957.0,408023.12
2022-02-15,410410.0,421607.1
2022-02-16,429289.0,433618.44
2022-02-17,448977.0,447371.94
2022-02-18,474628.0,464217.25
2022-02-19,497821.03,486415.38
2022-02-20,519923.03,514991.75
2022-02-21,539938.0,544872.44
2022-02-22,561744.0,574648.6
2022-02-23,603209.0,595095.2
2022-02-24,640379.0,630156.2
2022-02-25,675993.0,647609.0
2022-02-26,712822.0,683552.9
2022-02-27,748173.0,726391.94
2022-02-28,776144.0,772237.9
2022-03-01,804029.0,825213.25
2022-03-02,850962.0,858668.1
2022-03-03,894637.06,891903.0
2022-03-04,953906.0,929404.9
2022-03-05,1007099.0,982920.2
2022-03-06,1056548.0,1036724.7
2022-03-07,1096106.0,1092309.8
2022-03-08,1133589.0,1161035.0
2022-03-09,1207803.0,1214597.8
2022-03-10,1274661.0,1302035.0
2022-03-11,1331263.0,1363397.4
2022-03-12,1411694.0,1418518.5
2022-03-13,1479502.0,1489646.5
2022-03-14,1536292.0,1571296.0
2022-03-15,1602354.0,1632298.0
2022-03-16,1683745.0,1696119.9
2022-03-17,1812116.1,1784983.5
2022-03-18,1894113.1,1897582.4
2022-03-19,1976240.0,1964293.1
2022-03-20,2042110.1,2029321.6
2022-03-21,2083188.1,2100622.8
2022-03-22,2148186.2,2143471.5
2022-03-23,2249310.0,2230366.2
2022-03-24,2327080.0,2330195.2
2022-03-25,2393995.0,2395152.8
2022-03-26,2457986.0,2438566.8
2022-03-27,2517137.0,2498277.5
2022-03-28,2551327.0,2573364.5
2022-03-29,2617360.0,2617242.2
2022-03-30,2699163.0,2706389.0
2022-03-31,2759294.2,2757211.0
2022-04-01,2810973.2,2809465.0
2022-04-02,2859633.2,2833381.5
2022-04-03,2901742.2,2885461.8
2022-04-04,2922636.0,2942834.2
2022-04-05,2974084.0,2970716.0
2022-04-06,3026503.0,3033775.0
2022-04-07,3066376.0,3073410.8
2022-04-08,3102577.2,3108024.0
2022-04-09,3134889.0,3134093.0
2022-04-10,3163790.2,3171375.0
2022-04-11,3178037.2,3205395.2
2022-04-12,3217532.0,3224586.0
2022-04-13,3250603.0,3241693.5
2022-04-14,3275574.0,3275707.2
2022-04-15,3297020.2,3291072.0
2022-04-16,3315132.0,3310134.8
2022-04-17,3329937.0,3329910.5
2022-04-18,3337282.0,3346571.5
2022-04-19,3359097.0,3356477.0
2022-04-20,3377399.2,3358200.2
2022-04-21,3392583.0,3378163.5
2022-04-22,3405751.0,3387773.0
2022-04-23,3418097.8,3397095.8
2022-04-24,3428475.2,3404941.5
2022-04-25,3433238.0,3411398.0
2022-04-26,3446789.0,3413612.2
2022-04-27,3458306.0,3434512.2
2022-04-28,3467402.2,3458139.2
2022-04-29,3475126.2,3468938.8
2022-04-30,3481581.0,3477654.0
2022-05-01,3487042.8,3482296.8
2022-05-02,3489696.0,3482036.2
