,Actual_data,Predicted_data
2021-12-10,1685.0,1633.6328
2021-12-11,1692.0,1638.5001
2021-12-12,1707.0,1651.0972
2021-12-13,1719.0,1661.8885
2021-12-14,1739.0,1670.8208
2021-12-15,1765.0,1677.6802
2021-12-16,1793.0,1698.0488
2021-12-17,1818.0,1716.8947
2021-12-18,1861.0001,1727.4044
2021-12-19,1884.0,1749.2076
2021-12-20,1900.0,1781.9368
2021-12-21,1921.0,1803.8615
2021-12-22,1968.0,1821.759
2021-12-23,1987.0001,1854.8933
2021-12-24,2022.0,1874.0468
2021-12-25,2043.0,1901.5288
2021-12-26,2055.0,1933.229
2021-12-27,2065.0,1946.7067
2021-12-28,2083.0,1943.1979
2021-12-29,2104.0,1973.4824
2021-12-30,2125.0,1993.6875
2021-12-31,2142.0,2006.4177
2022-01-01,2158.0,2014.0416
2022-01-02,2170.0,2029.3715
2022-01-03,2180.0,2032.0991
2022-01-04,2191.0,2050.793
2022-01-05,2208.0,2054.2395
2022-01-06,2226.0,2069.9763
2022-01-07,2240.0,2083.649
2022-01-08,2252.0,2099.2349
2022-01-09,2265.0,2104.785
2022-01-10,2278.0,2107.6506
2022-01-11,2294.0,2114.7012
2022-01-12,2308.0,2132.7375
2022-01-13,2315.0,2141.827
2022-01-14,2323.0,2147.0764
2022-01-15,2337.9998,2151.187
2022-01-16,2359.0,2153.3523
2022-01-17,2365.0,2167.6675
2022-01-18,2388.0,2152.225
2022-01-19,2414.0,2179.384
2022-01-20,2423.0,2187.75
2022-01-21,2440.0,2185.9868
2022-01-22,2451.9998,2191.7153
2022-01-23,2476.0,2216.6023
2022-01-24,2508.9998,2213.306
2022-01-25,2578.0,2233.8723
2022-01-26,2655.0,2270.4602
2022-01-27,2731.0,2313.374
2022-01-28,2790.0,2343.2651
2022-01-29,2832.0,2418.7014
2022-01-30,2908.0,2463.1025
2022-01-31,2986.0,2525.0286
2022-02-01,3094.0,2602.5183
2022-02-02,3234.0,2685.045
2022-02-03,3372.0,2771.588
2022-02-04,3624.0,2881.4263
2022-02-05,3920.0,3042.2732
2022-02-06,4189.0,3264.971
2022-02-07,4189.0,3563.4731
2022-02-08,4695.0,3759.3008
2022-02-09,4982.0,4135.922
2022-02-10,5255.0005,4592.252
2022-02-11,5587.0,4913.5527
2022-02-12,5913.0,5280.8594
2022-02-13,6297.0005,5894.606
2022-02-14,6650.0005,6183.712
2022-02-15,7065.0005,6608.311
2022-02-16,7761.0005,7207.0786
2022-02-17,8417.0,7991.4375
2022-02-18,9119.0,8600.429
2022-02-19,9796.0,9354.759
2022-02-20,10454.0,10068.848
2022-02-21,11100.0,10915.369
2022-02-22,11748.0,11577.766
2022-02-23,12827.0,12560.132
2022-02-24,13909.0,13573.457
2022-02-25,14973.0,14901.171
2022-02-26,15971.001,15799.589
2022-02-27,16892.0,16681.947
2022-02-28,17725.998,17541.006
2022-03-01,18601.998,18441.297
2022-03-02,20013.998,19447.896
2022-03-03,21036.0,20789.307
2022-03-04,22612.998,22314.752
2022-03-05,24071.0,23814.19
2022-03-06,25455.0,25208.033
2022-03-07,26617.998,26447.59
2022-03-08,27967.0,27735.432
2022-03-09,30180.998,29664.541
2022-03-10,32124.998,31852.627
2022-03-11,33965.0,34080.58
2022-03-12,36477.0,36113.16
2022-03-13,38802.0,38435.195
2022-03-14,40941.0,40922.656
2022-03-15,43454.996,43316.254
2022-03-16,45487.0,46038.188
2022-03-17,50721.0,49990.17
2022-03-18,53837.0,53410.133
2022-03-19,56958.0,56514.664
2022-03-20,58909.0,58703.867
2022-03-21,61279.0,61054.184
2022-03-22,64613.0,64251.805
2022-03-23,68065.0,67742.195
2022-03-24,71811.0,71318.4
2022-03-25,75297.0,74808.18
2022-03-26,78304.0,77773.72
2022-03-27,80648.0,80148.555
2022-03-28,82865.99,82783.89
2022-03-29,85341.0,85131.6
2022-03-30,89587.0,89068.586
2022-03-31,93479.0,92815.45
2022-04-01,96207.0,95898.92
2022-04-02,98576.0,97954.39
2022-04-03,100537.0,99963.54
2022-04-04,102167.0,101666.555
2022-04-05,104409.99,103811.266
2022-04-06,106585.0,106134.82
2022-04-07,109211.99,109092.59
2022-04-08,111103.0,111074.945
2022-04-09,112596.99,112258.4
2022-04-10,113950.0,113385.58
2022-04-11,115052.0,114419.875
2022-04-12,116847.0,116554.49
2022-04-13,118232.0,118309.58
2022-04-14,119954.0,119797.23
2022-04-15,121148.0,120864.164
2022-04-16,122091.99,121623.984
2022-04-17,122847.0,122250.914
2022-04-18,123321.0,122775.56
2022-04-19,124410.0,123880.29
2022-04-20,125478.0,124842.484
2022-04-21,126273.0,125716.26
2022-04-22,126843.0,126263.87
2022-04-23,127469.0,126867.78
2022-04-24,127854.99,127271.12
2022-04-25,128271.0,127695.88
2022-04-26,128936.0,128322.945
2022-04-27,129525.0,125426.45
2022-04-28,129950.0,125047.875
2022-04-29,130292.99,123430.72
2022-04-30,130675.01,122739.92
2022-05-01,131035.0,122770.01
2022-05-02,131289.0,121631.42
2022-05-03,131659.0,121100.71
