,Actual_data,Predicted_data
2021-12-10,1685.0,1911.3402
2021-12-11,1692.0,1917.6157
2021-12-12,1707.0,1915.6948
2021-12-13,1719.0,1921.8508
2021-12-14,1739.0,1923.9398
2021-12-15,1765.0,1947.5549
2021-12-16,1793.0,1978.6129
2021-12-17,1818.0,2018.4131
2021-12-18,1861.0001,2052.865
2021-12-19,1884.0,2112.5105
2021-12-20,1900.0,2132.1274
2021-12-21,1921.0,2144.3494
2021-12-22,1968.0,2141.5767
2021-12-23,1987.0001,2182.8276
2021-12-24,2022.0,2187.4387
2021-12-25,2043.0,2232.1548
2021-12-26,2055.0,2227.9497
2021-12-27,2065.0,2220.8623
2021-12-28,2083.0,2196.7976
2021-12-29,2104.0,2185.1187
2021-12-30,2125.0,2186.5122
2021-12-31,2142.0,2201.0793
2022-01-01,2158.0,2212.258
2022-01-02,2170.0,2219.9028
2022-01-03,2180.0,2217.0515
2022-01-04,2191.0,2210.7034
2022-01-05,2208.0,2204.9026
2022-01-06,2226.0,2211.5647
2022-01-07,2240.0,2224.672
2022-01-08,2252.0,2237.1707
2022-01-09,2265.0,2244.5261
2022-01-10,2278.0,2248.5845
2022-01-11,2294.0,2251.896
2022-01-12,2308.0,2262.4338
2022-01-13,2315.0,2270.6643
2022-01-14,2323.0,2269.397
2022-01-15,2337.9998,2266.0698
2022-01-16,2359.0,2270.6255
2022-01-17,2365.0,2290.2998
2022-01-18,2388.0,2293.0122
2022-01-19,2414.0,2323.775
2022-01-20,2423.0,2346.2908
2022-01-21,2440.0,2356.8848
2022-01-22,2451.9998,2373.5952
2022-01-23,2476.0,2366.8118
2022-01-24,2508.9998,2389.2354
2022-01-25,2578.0,2424.2354
2022-01-26,2655.0,2533.7864
2022-01-27,2731.0,2652.4033
2022-01-28,2790.0,2788.7568
2022-01-29,2832.0,2878.4775
2022-01-30,2908.0,2912.8704
2022-01-31,2986.0,2974.661
2022-02-01,3094.0,3023.3103
2022-02-02,3234.0,3157.8225
2022-02-03,3372.0,3334.4038
2022-02-04,3624.0,3516.3582
2022-02-05,3920.0,3917.0974
2022-02-06,4189.0,4275.718
2022-02-07,4189.0,4685.478
2022-02-08,4695.0,4867.1694
2022-02-09,4982.0,5840.4844
2022-02-10,5255.0005,5291.1797
2022-02-11,5587.0,5827.4517
2022-02-12,5913.0,6203.0093
2022-02-13,6297.0005,6470.9526
2022-02-14,6650.0005,6862.654
2022-02-15,7065.0005,7153.7983
2022-02-16,7761.0005,7580.278
2022-02-17,8417.0,8424.664
2022-02-18,9119.0,8820.387
2022-02-19,9796.0,9815.94
2022-02-20,10454.0,10617.214
2022-02-21,11100.0,11392.157
2022-02-22,11748.0,12063.116
2022-02-23,12827.0,12667.871
2022-02-24,13909.0,13813.107
2022-02-25,14973.0,14141.244
2022-02-26,15971.001,15523.838
2022-02-27,16892.0,16843.037
2022-02-28,17725.998,18072.422
2022-03-01,18601.998,19129.797
2022-03-02,20013.998,20062.594
2022-03-03,21036.0,21255.494
2022-03-04,22612.998,21415.852
2022-03-05,24071.0,23518.021
2022-03-06,25455.0,24227.684
2022-03-07,26617.998,26440.002
2022-03-08,27967.0,28430.941
2022-03-09,30180.998,30379.205
2022-03-10,32124.998,32246.23
2022-03-11,33965.0,32588.84
2022-03-12,36477.0,35660.652
2022-03-13,38802.0,38796.234
2022-03-14,40941.0,40524.367
2022-03-15,43454.996,43853.355
2022-03-16,45487.0,47325.88
2022-03-17,50721.0,49781.367
2022-03-18,53837.0,54013.043
2022-03-19,56958.0,56672.473
2022-03-20,58909.0,59591.156
2022-03-21,61279.0,62199.375
2022-03-22,64613.0,65398.027
2022-03-23,68065.0,68555.96
2022-03-24,71811.0,71508.11
2022-03-25,75297.0,74968.83
2022-03-26,78304.0,78141.24
2022-03-27,80648.0,81239.71
2022-03-28,82865.99,84185.87
2022-03-29,85341.0,87144.27
2022-03-30,89587.0,89987.73
2022-03-31,93479.0,93208.91
2022-04-01,96207.0,95873.945
2022-04-02,98576.0,97756.36
2022-04-03,100537.0,100015.29
2022-04-04,102167.0,102064.61
2022-04-05,104409.99,104420.31
2022-04-06,106585.0,106892.17
2022-04-07,109211.99,108406.36
2022-04-08,111103.0,110669.46
2022-04-09,112596.99,112215.086
2022-04-10,113950.0,113907.66
2022-04-11,115052.0,115526.055
2022-04-12,116847.0,117135.33
2022-04-13,118232.0,118915.27
2022-04-14,119954.0,119331.22
2022-04-15,121148.0,120768.67
2022-04-16,122091.99,121445.85
2022-04-17,122847.0,122566.984
2022-04-18,123321.0,123559.58
2022-04-19,124410.0,124355.93
2022-04-20,125478.0,125512.17
2022-04-21,126273.0,125241.805
2022-04-22,126843.0,125731.52
2022-04-23,127469.0,126247.44
2022-04-24,127854.99,126912.06
2022-04-25,128271.0,127077.07
2022-04-26,128936.0,127512.39
2022-04-27,129525.0,127945.16
2022-04-28,129950.0,128703.83
2022-04-29,130292.99,129669.03
2022-04-30,130675.01,129801.055
2022-05-01,131035.0,130206.83
2022-05-02,131289.0,130532.35
2022-05-03,131659.0,130659.84
