,Actual_data,Predicted_data
2021-12-10,5865.0,5855.7554
2021-12-11,5899.0005,5888.6045
2021-12-12,5949.0,5916.902
2021-12-13,5988.0,5959.1143
2021-12-14,6073.0,5982.5947
2021-12-15,6131.9995,6074.1333
2021-12-16,6208.0,6128.389
2021-12-17,6265.0,6187.833
2021-12-18,6311.0,6234.668
2021-12-19,6350.0,6256.404
2021-12-20,6386.0,6292.32
2021-12-21,6421.0,6323.562
2021-12-22,6460.0,6364.064
2021-12-23,6504.0,6394.8955
2021-12-24,6547.0,6429.0
2021-12-25,6610.0,6460.3867
2021-12-26,6662.9995,6516.967
2021-12-27,6704.9995,6567.9585
2021-12-28,6744.0005,6592.9883
2021-12-29,6792.9995,6623.487
2021-12-30,6833.0,6657.0957
2021-12-31,6873.0,6691.89
2022-01-01,6923.0,6713.883
2022-01-02,6981.0,6757.2812
2022-01-03,7018.9995,6795.3315
2022-01-04,7053.0,6809.896
2022-01-05,7101.0,6839.417
2022-01-06,7130.9995,6867.4087
2022-01-07,7169.0,6880.4136
2022-01-08,7196.0,6907.1943
2022-01-09,7230.0005,6922.972
2022-01-10,7253.0,6935.8457
2022-01-11,7275.0,6956.081
2022-01-12,7302.0,6955.7505
2022-01-13,7329.0,6968.582
2022-01-14,7368.9995,6959.5493
2022-01-15,7386.0,7008.512
2022-01-16,7405.0005,6987.8047
2022-01-17,7424.0,6989.2583
2022-01-18,7459.0,6981.836
2022-01-19,7503.0,6991.0605
2022-01-20,7575.0,7028.905
2022-01-21,7657.0,7104.5356
2022-01-22,7708.0,7196.1934
2022-01-23,7799.0,7221.196
2022-01-24,7868.0,7291.1543
2022-01-25,7969.0,7323.5312
2022-01-26,8117.0,7401.0776
2022-01-27,8265.0,7557.9746
2022-01-28,8423.0,7673.58
2022-01-29,8623.0,7810.693
2022-01-30,8835.0,8012.032
2022-01-31,9037.0,8202.346
2022-02-01,9291.0,8386.585
2022-02-02,9591.0,8652.552
2022-02-03,9861.0,8975.909
2022-02-04,10332.0,9214.948
2022-02-05,10835.0,9834.393
2022-02-06,11405.999,10348.601
2022-02-07,11405.999,11049.681
2022-02-08,12500.0,10838.314
2022-02-09,13291.0,12381.453
2022-02-10,14022.999,13061.008
2022-02-11,14818.0,14093.749
2022-02-12,15544.0,15147.486
2022-02-13,16349.0,15772.409
2022-02-14,17025.0,16544.078
2022-02-15,17801.0,17549.814
2022-02-16,19559.998,18713.84
2022-02-17,21251.0,20807.723
2022-02-18,23198.0,22770.129
2022-02-19,25029.0,25464.084
2022-02-20,26948.0,27312.975
2022-02-21,28541.002,29572.172
2022-02-22,30482.0,31242.62
2022-02-23,33929.0,33916.13
2022-02-24,37159.0,37545.97
2022-02-25,40691.0,40510.715
2022-02-26,43818.0,44252.08
2022-02-27,47133.0,46827.656
2022-02-28,49618.004,49670.473
2022-03-01,52562.004,52454.785
2022-03-02,57683.0,56562.902
2022-03-03,61072.0,61950.977
2022-03-04,66885.0,65148.637
2022-03-05,72466.0,71281.02
2022-03-06,77481.0,76356.85
2022-03-07,81394.0,81015.45
2022-03-08,85954.0,85766.66
2022-03-09,92536.0,92409.64
2022-03-10,101324.99,99870.38
2022-03-11,106586.0,108653.41
2022-03-12,115686.0,115555.5
2022-03-13,124853.0,123555.78
2022-03-14,130189.0,131163.03
2022-03-15,138491.0,138470.4
2022-03-16,148854.98,148594.27
2022-03-17,163623.0,161385.39
2022-03-18,171489.0,171156.42
2022-03-19,179342.0,178874.0
2022-03-20,186663.0,187147.42
2022-03-21,190902.0,191212.64
2022-03-22,199065.02,198534.98
2022-03-23,210095.02,209137.66
2022-03-24,218451.0,218728.2
2022-03-25,225881.0,225397.17
2022-03-26,233329.02,233042.06
2022-03-27,240190.0,239874.22
2022-03-28,243949.0,243952.19
2022-03-29,251519.02,250909.2
2022-03-30,260612.02,260939.03
2022-03-31,266917.0,266401.5
2022-04-01,272729.0,271749.34
2022-04-02,278323.0,277408.2
2022-04-03,283372.0,282523.12
2022-04-04,285853.0,285327.12
2022-04-05,291312.0,290622.4
2022-04-06,297594.0,297097.7
2022-04-07,302242.0,302415.88
2022-04-08,306481.0,306442.22
2022-04-09,310236.0,310192.1
2022-04-10,314068.0,314320.03
2022-04-11,315850.0,316191.94
2022-04-12,320038.0,319930.88
2022-04-13,324087.0,324904.97
2022-04-14,327130.0,327235.03
2022-04-15,329843.0,329337.5
2022-04-16,331987.03,332814.94
2022-04-17,334005.0,333781.47
2022-04-18,334937.0,334881.12
2022-04-19,337321.0,337318.84
2022-04-20,339820.0,339781.97
2022-04-21,341763.0,341854.06
2022-04-22,343611.0,343580.4
2022-04-23,345351.0,345399.4
2022-04-24,347040.0,347237.56
2022-04-25,347729.0,347848.25
2022-04-26,349482.0,349571.0
2022-04-27,351254.0,338207.28
2022-04-28,352643.0,338399.44
2022-04-29,353783.0,336955.34
2022-04-30,354778.0,335732.72
2022-05-01,355828.0,331652.16
2022-05-02,356239.0,329544.66
2022-05-03,357433.0,324983.2
