,Actual_data,Predicted_data
2021-12-09,5822.0,5992.581
2021-12-10,5864.9995,6032.194
2021-12-11,5899.0,6023.679
2021-12-12,5949.0,6098.542
2021-12-13,5988.0,6208.846
2021-12-14,6073.0005,6209.578
2021-12-15,6132.0,6386.2563
2021-12-16,6208.0,6317.8677
2021-12-17,6265.0,6524.6294
2021-12-18,6311.0,6546.01
2021-12-19,6349.9995,6663.7944
2021-12-20,6386.0005,6733.7734
2021-12-21,6421.0,6778.7944
2021-12-22,6459.9995,6805.4854
2021-12-23,6504.0,6831.775
2021-12-24,6547.0,6850.886
2021-12-25,6610.0005,6866.7793
2021-12-26,6662.9995,6940.0986
2021-12-27,6704.9995,6926.3633
2021-12-28,6744.0,6996.281
2021-12-29,6792.9995,7060.0796
2021-12-30,6833.0,7110.9565
2021-12-31,6873.0,7102.4233
2022-01-01,6922.9995,7158.7666
2022-01-02,6980.9995,7201.2554
2022-01-03,7019.0,7225.287
2022-01-04,7053.0,7224.5967
2022-01-05,7100.9995,7308.9526
2022-01-06,7131.0,7359.6113
2022-01-07,7168.9995,7319.2256
2022-01-08,7196.0,7401.0215
2022-01-09,7230.0,7375.1855
2022-01-10,7253.0,7426.1265
2022-01-11,7275.0,7397.761
2022-01-12,7302.0,7429.3076
2022-01-13,7329.0,7435.7188
2022-01-14,7369.0,7424.1445
2022-01-15,7386.0,7455.5015
2022-01-16,7405.0,7406.481
2022-01-17,7423.9995,7481.7744
2022-01-18,7459.0,7470.28
2022-01-19,7502.9995,7495.3613
2022-01-20,7574.9995,7485.9614
2022-01-21,7657.0,7555.5796
2022-01-22,7708.0,7583.018
2022-01-23,7799.0,7623.4873
2022-01-24,7867.9995,7862.619
2022-01-25,7969.0,7820.963
2022-01-26,8116.9995,8040.665
2022-01-27,8265.0,8157.5293
2022-01-28,8423.0,8231.034
2022-01-29,8623.0,8480.588
2022-01-30,8835.0,8757.943
2022-01-31,9037.0,8946.693
2022-02-01,9291.0,9219.226
2022-02-02,9591.0,9627.673
2022-02-03,9861.0,9898.795
2022-02-04,10332.0,10161.149
2022-02-05,10835.0,10955.778
2022-02-06,11405.999,11053.452
2022-02-07,11405.999,11839.349
2022-02-08,12499.999,12215.6045
2022-02-09,13291.0,15863.387
2022-02-10,14022.999,12899.272
2022-02-11,14817.999,14882.955
2022-02-12,15544.0,16173.974
2022-02-13,16349.0,17058.059
2022-02-14,17025.0,18249.95
2022-02-15,17801.0,19000.537
2022-02-16,19560.0,20185.707
2022-02-17,21251.0,21940.924
2022-02-18,23198.0,21188.996
2022-02-19,25029.0,23899.121
2022-02-20,26948.0,26136.203
2022-02-21,28540.998,28876.426
2022-02-22,30481.998,31388.805
2022-02-23,33929.0,33807.51
2022-02-24,37159.0,36186.816
2022-02-25,40691.0,37012.92
2022-02-26,43818.0,41061.637
2022-02-27,47133.004,45380.395
2022-02-28,49618.004,49353.777
2022-03-01,52562.0,53923.5
2022-03-02,57683.004,57283.586
2022-03-03,61072.004,61185.06
2022-03-04,66885.0,65678.516
2022-03-05,72466.0,70342.93
2022-03-06,77481.0,74180.13
2022-03-07,81394.0,80246.34
2022-03-08,85954.0,87120.62
2022-03-09,92536.0,92756.15
2022-03-10,101325.0,100316.234
2022-03-11,106586.0,109552.56
2022-03-12,115685.99,118988.73
2022-03-13,124853.0,126412.3
2022-03-14,130189.0,134295.2
2022-03-15,138491.0,140986.78
2022-03-16,148855.0,150146.55
2022-03-17,163623.0,160817.61
2022-03-18,171489.0,171019.92
2022-03-19,179342.0,178286.73
2022-03-20,186663.02,183189.97
2022-03-21,190902.0,191698.61
2022-03-22,199065.02,198906.88
2022-03-23,210095.02,211035.36
2022-03-24,218451.02,220739.16
2022-03-25,225881.0,226519.33
2022-03-26,233329.0,230495.36
2022-03-27,240190.02,237614.05
2022-03-28,243949.0,245698.89
2022-03-29,251519.0,253030.3
2022-03-30,260612.0,260708.48
2022-03-31,266917.0,267090.97
2022-04-01,272729.0,271179.38
2022-04-02,278323.0,276392.28
2022-04-03,283372.0,282338.78
2022-04-04,285853.0,288397.97
2022-04-05,291312.0,293299.16
2022-04-06,297594.0,298308.22
2022-04-07,302242.0,304514.4
2022-04-08,306481.0,307023.28
2022-04-09,310236.0,310090.62
2022-04-10,314068.0,314052.5
2022-04-11,315850.0,317598.97
2022-04-12,320038.0,319785.78
2022-04-13,324087.0,322163.66
2022-04-14,327130.0,327942.78
2022-04-15,329843.0,329069.7
2022-04-16,331987.03,331162.3
2022-04-17,334005.0,333585.16
2022-04-18,334937.0,335952.4
2022-04-19,337321.0,337464.34
2022-04-20,339820.0,338805.88
2022-04-21,341763.0,342441.75
2022-04-22,343611.0,343097.72
2022-04-23,345351.0,343768.88
2022-04-24,347040.0,344821.28
2022-04-25,347729.0,345732.38
2022-04-26,349482.0,345832.5
2022-04-27,351254.03,346535.78
2022-04-28,352643.0,349499.5
2022-04-29,353783.0,351018.56
2022-04-30,354778.0,352911.16
2022-05-01,355828.0,353959.25
2022-05-02,356239.0,354109.75
