,Actual_data,Predicted_data
2021-12-09,27710.0,32425.135
2021-12-10,28175.0,32813.67
2021-12-11,28639.0,33154.98
2021-12-12,29096.998,33479.23
2021-12-13,29487.0,33811.246
2021-12-14,29835.0,34007.688
2021-12-15,30311.0,34421.91
2021-12-16,30822.0,34874.066
2021-12-17,31394.0,35318.453
2021-12-18,31994.0,35801.938
2021-12-19,32487.0,36301.777
2021-12-20,32862.0,36677.01
2021-12-21,33246.0,37025.54
2021-12-22,33725.0,37530.68
2021-12-23,34147.0,38149.047
2021-12-24,34585.0,38703.973
2021-12-25,34984.0,39168.37
2021-12-26,35312.0,39618.77
2021-12-27,35546.0,39843.918
2021-12-28,35787.0,40071.125
2021-12-29,36101.0,40414.15
2021-12-30,36418.0,40829.438
2021-12-31,36721.0,41083.832
2022-01-01,36962.0,41390.71
2022-01-02,37195.0,41618.035
2022-01-03,37382.0,41651.535
2022-01-04,37553.0,41785.594
2022-01-05,37824.0,41964.305
2022-01-06,38107.0,42243.02
2022-01-07,38288.0,42364.008
2022-01-08,38491.0,42502.62
2022-01-09,38676.0,42640.902
2022-01-10,38801.0,42593.29
2022-01-11,38955.0,42450.973
2022-01-12,39216.0,42606.57
2022-01-13,39456.0,42737.13
2022-01-14,39722.0,42793.223
2022-01-15,39970.0,43011.67
2022-01-16,40230.0,43075.332
2022-01-17,40430.0,43017.242
2022-01-18,40625.0,42865.27
2022-01-19,41049.0,42910.625
2022-01-20,41467.0,43042.34
2022-01-21,41919.0,43179.01
2022-01-22,42489.0,43483.953
2022-01-23,43098.0,43861.41
2022-01-24,43680.0,43969.566
2022-01-25,44350.0,44181.4
2022-01-26,45229.0,44636.51
2022-01-27,46258.0,45205.32
2022-01-28,47499.0,46008.773
2022-01-29,49114.004,47118.477
2022-01-30,50430.0,48561.375
2022-01-31,51656.0,49269.55
2022-02-01,53037.004,50272.805
2022-02-02,54437.004,51831.973
2022-02-03,55971.0,53559.086
2022-02-04,57754.0,55247.293
2022-02-05,60254.0,57450.883
2022-02-06,62492.0,60170.56
2022-02-07,64867.0,61976.684
2022-02-08,67849.0,64376.31
2022-02-09,71780.0,67886.586
2022-02-10,75776.0,72751.125
2022-02-11,79521.0,77823.375
2022-02-12,84589.0,83253.47
2022-02-13,89064.0,89971.97
2022-02-14,92641.99,94996.1
2022-02-15,97546.99,99575.914
2022-02-16,103367.0,105850.64
2022-02-17,110599.99,112755.336
2022-02-18,117943.99,121053.48
2022-02-19,125757.99,129726.48
2022-02-20,134948.0,137827.73
2022-02-21,142312.0,146784.1
2022-02-22,150084.02,155538.19
2022-02-23,161146.0,164788.14
2022-02-24,175009.02,176712.64
2022-02-25,187855.02,189184.16
2022-02-26,199968.0,201301.06
2022-02-27,211101.0,212175.11
2022-02-28,221842.02,221988.44
2022-03-01,230798.02,233207.88
2022-03-02,242903.0,245549.1
2022-03-03,258866.98,260928.44
2022-03-04,275547.0,276453.44
2022-03-05,294384.97,292657.3
2022-03-06,309244.0,310957.03
2022-03-07,324568.0,324491.25
2022-03-08,337172.0,339160.03
2022-03-09,356000.0,357247.2
2022-03-10,377975.0,378592.47
2022-03-11,395433.0,401393.8
2022-03-12,419170.0,419522.2
2022-03-13,439406.97,440770.78
2022-03-14,457645.97,460385.2
2022-03-15,478090.0,478491.16
2022-03-16,506552.0,506902.12
2022-03-17,539517.0,534719.9
2022-03-18,565315.0,561151.1
2022-03-19,586143.0,587478.9
2022-03-20,605291.94,605393.44
2022-03-21,617378.0,619938.06
2022-03-22,634945.0,634180.9
2022-03-23,659886.0,660681.7
2022-03-24,684575.94,684306.06
2022-03-25,706346.0,706002.94
2022-03-26,723129.0,724805.2
2022-03-27,744699.0,740299.94
2022-03-28,756426.0,756843.8
2022-03-29,775252.0,771590.7
2022-03-30,798508.0,795913.8
2022-03-31,816626.0,815609.8
2022-04-01,831418.94,830675.7
2022-04-02,845698.94,843135.9
2022-04-03,859093.94,856501.8
2022-04-04,864639.0,867338.4
2022-04-05,879987.0,878680.5
2022-04-06,894831.0,895887.2
2022-04-07,906099.0,907725.56
2022-04-08,916658.0,916608.56
2022-04-09,926416.0,925969.0
2022-04-10,935010.0,935147.0
2022-04-11,939395.0,939319.06
2022-04-12,951039.0,954446.56
2022-04-13,960706.0,961914.25
2022-04-14,968334.94,967600.75
2022-04-15,975023.0,976631.4
2022-04-16,980628.94,979910.6
2022-04-17,985503.0,984505.3
2022-04-18,987990.0,987517.6
2022-04-19,994658.0,993700.4
2022-04-20,1000092.94,999661.2
2022-04-21,1004759.0,1004043.56
2022-04-22,1008857.0,1008357.2
2022-04-23,1012531.0,1012480.2
2022-04-24,1015850.0,1015743.9
2022-04-25,1017505.94,1016986.8
2022-04-26,1021782.06,981446.6
2022-04-27,1025404.06,971152.06
2022-04-28,1028249.0,968076.1
2022-04-29,1030503.0,959840.1
2022-04-30,1032462.06,958958.75
2022-05-01,1034221.94,957074.44
2022-05-02,1035133.0,952368.94
