,Actual_data,Predicted_data
2021-12-10,28175.0,28483.857
2021-12-11,28639.0,28758.924
2021-12-12,29097.0,29145.564
2021-12-13,29487.0,29449.217
2021-12-14,29835.0,29540.566
2021-12-15,30311.0,29901.217
2021-12-16,30822.0,30436.168
2021-12-17,31394.002,30893.662
2021-12-18,31994.0,31503.766
2021-12-19,32487.0,32244.762
2021-12-20,32862.0,32418.59
2021-12-21,33246.0,32665.303
2021-12-22,33725.0,33254.137
2021-12-23,34146.996,33840.59
2021-12-24,34585.0,34296.914
2021-12-25,34984.0,34851.586
2021-12-26,35312.0,35244.094
2021-12-27,35546.0,35128.13
2021-12-28,35787.0,35509.42
2021-12-29,36101.0,36014.137
2021-12-30,36418.0,36461.11
2021-12-31,36721.0,36701.73
2022-01-01,36962.0,37302.29
2022-01-02,37195.0,37652.2
2022-01-03,37382.0,37346.137
2022-01-04,37553.0,37650.164
2022-01-05,37824.0,37959.082
2022-01-06,38107.0,38380.027
2022-01-07,38288.0,38891.074
2022-01-08,38491.0,39001.402
2022-01-09,38676.0,39318.56
2022-01-10,38801.0,39365.215
2022-01-11,38955.0,39043.13
2022-01-12,39216.0,39166.707
2022-01-13,39456.0,39747.266
2022-01-14,39722.0,40098.617
2022-01-15,39970.0,40364.125
2022-01-16,40230.0,40641.72
2022-01-17,40430.0,40612.61
2022-01-18,40625.0,40546.133
2022-01-19,41049.0,40389.645
2022-01-20,41467.0,41047.043
2022-01-21,41919.0,41600.62
2022-01-22,42489.0,42059.77
2022-01-23,43098.0,42931.586
2022-01-24,43680.0,42867.7
2022-01-25,44350.0,43146.85
2022-01-26,45229.0,44314.793
2022-01-27,46258.0,45576.633
2022-01-28,47499.0,46306.61
2022-01-29,49114.0,48018.65
2022-01-30,50430.0,50221.61
2022-01-31,51655.996,50858.957
2022-02-01,53036.996,51813.797
2022-02-02,54437.0,53767.805
2022-02-03,55971.0,55615.363
2022-02-04,57754.0,57185.426
2022-02-05,60254.0,59797.383
2022-02-06,62492.0,62679.086
2022-02-07,64867.0,64743.797
2022-02-08,67849.0,67819.22
2022-02-09,71780.0,71077.53
2022-02-10,75776.01,74547.38
2022-02-11,79521.0,79628.57
2022-02-12,84589.0,84605.97
2022-02-13,89064.0,89281.11
2022-02-14,92642.01,93397.12
2022-02-15,97547.01,97491.99
2022-02-16,103367.0,103435.24
2022-02-17,110600.0,109941.9
2022-02-18,117944.01,116827.99
2022-02-19,125758.01,126804.91
2022-02-20,134948.0,135174.02
2022-02-21,142312.0,142925.66
2022-02-22,150084.0,152099.33
2022-02-23,161146.0,159693.05
2022-02-24,175008.98,172351.2
2022-02-25,187855.0,185707.17
2022-02-26,199968.0,198322.73
2022-02-27,211101.0,211026.98
2022-02-28,221842.0,219944.78
2022-03-01,230798.0,230162.11
2022-03-02,242903.0,243628.31
2022-03-03,258867.02,257753.95
2022-03-04,275547.03,274831.2
2022-03-05,294385.0,293811.75
2022-03-06,309244.03,310096.12
2022-03-07,324568.0,326061.5
2022-03-08,337172.0,340174.66
2022-03-09,356000.0,357609.8
2022-03-10,377975.03,380482.5
2022-03-11,395433.0,399440.94
2022-03-12,419170.0,420368.12
2022-03-13,439407.03,439554.88
2022-03-14,457646.0,457310.25
2022-03-15,478090.0,476195.28
2022-03-16,506552.0,503304.66
2022-03-17,539517.0,536987.44
2022-03-18,565315.0,562081.75
2022-03-19,586142.94,585339.4
2022-03-20,605292.0,604892.7
2022-03-21,617377.94,618606.75
2022-03-22,634944.94,634958.0
2022-03-23,659885.94,658960.9
2022-03-24,684575.94,684745.9
2022-03-25,706346.0,707081.0
2022-03-26,723129.0,723911.7
2022-03-27,744698.94,742933.7
2022-03-28,756425.94,755804.06
2022-03-29,775251.94,771425.25
2022-03-30,798507.94,798946.0
2022-03-31,816625.94,815156.75
2022-04-01,831418.94,831500.2
2022-04-02,845699.0,843399.75
2022-04-03,859094.0,859698.25
2022-04-04,864638.94,865851.3
2022-04-05,879986.94,880543.25
2022-04-06,894831.0,894753.6
2022-04-07,906099.0,905950.94
2022-04-08,916658.0,915813.0
2022-04-09,926415.94,925974.6
2022-04-10,935010.0,934100.75
2022-04-11,939394.94,938286.7
2022-04-12,951039.0,950480.9
2022-04-13,960705.94,962651.9
2022-04-14,968335.0,967165.56
2022-04-15,975022.94,973864.75
2022-04-16,980629.0,979854.0
2022-04-17,985502.94,984756.94
2022-04-18,987990.0,987181.44
2022-04-19,994658.0,994245.9
2022-04-20,1000092.94,999234.56
2022-04-21,1004758.94,1004265.5
2022-04-22,1008857.0,1008271.4
2022-04-23,1012531.0,1011962.1
2022-04-24,1015850.0,1015268.56
2022-04-25,1017506.0,1016950.9
2022-04-26,1021782.0,1020887.44
2022-04-27,1025404.06,985929.3
2022-04-28,1028249.06,981537.5
2022-04-29,1030503.0,972718.4
2022-04-30,1032461.94,956735.44
2022-05-01,1034222.0,965745.94
2022-05-02,1035133.0,959559.25
2022-05-03,1037739.06,964031.94
