,Actual_data,Predicted_data
2021-12-09,27710.0,35773.59
2021-12-10,28175.0,36083.793
2021-12-11,28639.0,36375.26
2021-12-12,29096.998,36683.652
2021-12-13,29487.0,36916.598
2021-12-14,29835.0,37117.57
2021-12-15,30311.0,37358.344
2021-12-16,30822.0,37805.754
2021-12-17,31394.0,38149.582
2021-12-18,31994.0,38508.16
2021-12-19,32487.0,38992.656
2021-12-20,32862.0,39332.613
2021-12-21,33246.0,39477.887
2021-12-22,33725.0,39807.758
2021-12-23,34147.0,40350.965
2021-12-24,34585.0,40706.49
2021-12-25,34984.0,41040.758
2021-12-26,35312.0,41256.145
2021-12-27,35546.0,41339.78
2021-12-28,35787.0,41438.004
2021-12-29,36101.0,41587.297
2021-12-30,36418.0,41893.887
2021-12-31,36721.0,42151.477
2022-01-01,36962.0,42298.105
2022-01-02,37195.0,42420.7
2022-01-03,37382.0,42354.977
2022-01-04,37553.0,42343.13
2022-01-05,37824.0,42431.285
2022-01-06,38107.0,42722.17
2022-01-07,38288.0,42933.0
2022-01-08,38491.0,43016.88
2022-01-09,38676.0,43115.8
2022-01-10,38801.0,43071.21
2022-01-11,38955.0,42981.11
2022-01-12,39216.0,43010.934
2022-01-13,39456.0,43466.133
2022-01-14,39722.0,43652.33
2022-01-15,39970.0,43765.918
2022-01-16,40230.0,43925.547
2022-01-17,40430.0,44003.527
2022-01-18,40625.0,43993.945
2022-01-19,41049.0,44090.082
2022-01-20,41467.0,44491.594
2022-01-21,41919.0,44701.44
2022-01-22,42489.0,45014.156
2022-01-23,43098.0,45415.47
2022-01-24,43680.0,45864.344
2022-01-25,44350.0,46253.816
2022-01-26,45229.0,46849.457
2022-01-27,46258.0,47654.113
2022-01-28,47499.0,48394.01
2022-01-29,49114.004,49330.54
2022-01-30,50430.0,50611.246
2022-01-31,51656.0,51819.535
2022-02-01,53037.004,52955.9
2022-02-02,54437.004,54609.402
2022-02-03,55971.0,56359.973
2022-02-04,57754.0,58033.277
2022-02-05,60254.0,60058.05
2022-02-06,62492.0,62297.395
2022-02-07,64867.0,64540.703
2022-02-08,67849.0,67212.8
2022-02-09,71780.0,70923.234
2022-02-10,75776.0,75638.87
2022-02-11,79521.0,81088.94
2022-02-12,84589.0,86493.01
2022-02-13,89064.0,91516.445
2022-02-14,92641.99,96333.28
2022-02-15,97546.99,100923.89
2022-02-16,103367.0,106748.38
2022-02-17,110599.99,113345.164
2022-02-18,117943.99,120493.836
2022-02-19,125757.99,129578.05
2022-02-20,134948.0,138497.83
2022-02-21,142312.0,146913.83
2022-02-22,150084.02,156295.06
2022-02-23,161146.0,166511.19
2022-02-24,175009.02,177883.86
2022-02-25,187855.02,190591.7
2022-02-26,199968.0,203133.27
2022-02-27,211101.0,215586.69
2022-02-28,221842.02,225149.31
2022-03-01,230798.02,235389.02
2022-03-02,242903.0,248453.55
2022-03-03,258866.98,264168.84
2022-03-04,275547.0,280276.38
2022-03-05,294384.97,295406.97
2022-03-06,309244.0,312712.6
2022-03-07,324568.0,326252.1
2022-03-08,337172.0,340784.4
2022-03-09,356000.0,357597.72
2022-03-10,377975.0,379739.16
2022-03-11,395433.0,400196.4
2022-03-12,419170.0,421154.72
2022-03-13,439406.97,441029.22
2022-03-14,457645.97,459384.62
2022-03-15,478090.0,481977.62
2022-03-16,506552.0,509944.12
2022-03-17,539517.0,541181.06
2022-03-18,565315.0,564027.2
2022-03-19,586143.0,584919.94
2022-03-20,605291.94,604545.4
2022-03-21,617378.0,619335.44
2022-03-22,634945.0,635525.8
2022-03-23,659886.0,659680.3
2022-03-24,684575.94,683206.25
2022-03-25,706346.0,705153.6
2022-03-26,723129.0,724462.06
2022-03-27,744699.0,743731.5
2022-03-28,756426.0,754048.5
2022-03-29,775252.0,772319.25
2022-03-30,798508.0,795378.8
2022-03-31,816626.0,814161.56
2022-04-01,831418.94,830865.56
2022-04-02,845698.94,842196.3
2022-04-03,859093.94,856286.8
2022-04-04,864639.0,862733.25
2022-04-05,879987.0,877793.2
2022-04-06,894831.0,893602.0
2022-04-07,906099.0,905311.5
2022-04-08,916658.0,914845.44
2022-04-09,926416.0,925333.44
2022-04-10,935010.0,933979.0
2022-04-11,939395.0,937574.3
2022-04-12,951039.0,950689.06
2022-04-13,960706.0,959646.25
2022-04-14,968334.94,967748.5
2022-04-15,975023.0,972407.2
2022-04-16,980628.94,979248.4
2022-04-17,985503.0,983892.6
2022-04-18,987990.0,986547.25
2022-04-19,994658.0,993056.9
2022-04-20,1000092.94,998628.2
2022-04-21,1004759.0,1003177.7
2022-04-22,1008857.0,1007559.4
2022-04-23,1012531.0,1011113.06
2022-04-24,1015850.0,1014593.25
2022-04-25,1017505.94,1016132.5
2022-04-26,1021782.06,994715.25
2022-04-27,1025404.06,990183.9
2022-04-28,1028249.0,985370.25
2022-04-29,1030503.0,975843.7
2022-04-30,1032462.06,976434.5
2022-05-01,1034221.94,976870.56
2022-05-02,1035133.0,979781.5
