,Actual_data,Predicted_data
2021-12-10,4919.0,4514.394
2021-12-11,4994.0,4549.074
2021-12-12,5074.0,4583.6426
2021-12-13,5157.0,4629.4043
2021-12-14,5215.0,4690.6084
2021-12-15,5275.0,4708.723
2021-12-16,5333.0,4745.664
2021-12-17,5393.0,4776.144
2021-12-18,5437.0,4802.9404
2021-12-19,5480.0,4822.8115
2021-12-20,5536.0,4843.994
2021-12-21,5577.0,4867.5723
2021-12-22,5624.0,4856.428
2021-12-23,5692.9995,4883.5137
2021-12-24,5762.0,4937.6577
2021-12-25,5815.0,4945.5854
2021-12-26,5863.0,4966.8057
2021-12-27,5893.0,4994.557
2021-12-28,5931.0,4998.0684
2021-12-29,5970.0,5019.2324
2021-12-30,6018.0,5042.286
2021-12-31,6077.9995,5061.864
2022-01-01,6126.0,5083.59
2022-01-02,6168.0,5098.1387
2022-01-03,6203.0,5129.805
2022-01-04,6248.9995,5130.6377
2022-01-05,6309.0,5146.9854
2022-01-06,6368.0,5177.149
2022-01-07,6492.0,5203.845
2022-01-08,6588.0,5276.6367
2022-01-09,6699.9995,5299.4155
2022-01-10,6786.0,5355.247
2022-01-11,6874.0,5382.335
2022-01-12,7038.0,5422.627
2022-01-13,7174.0,5510.021
2022-01-14,7307.0,5576.8345
2022-01-15,7461.9995,5674.8315
2022-01-16,7630.0,5774.7188
2022-01-17,7796.0,5862.65
2022-01-18,7935.0,5931.0703
2022-01-19,8089.0,6050.3936
2022-01-20,8249.0,6135.311
2022-01-21,8448.0,6243.415
2022-01-22,8602.0,6420.814
2022-01-23,8798.0,6482.053
2022-01-24,9004.0,6596.215
2022-01-25,9195.0,6696.618
2022-01-26,9481.0,6857.4277
2022-01-27,9775.0,7065.819
2022-01-28,10102.0,7253.296
2022-01-29,10416.0,7497.6787
2022-01-30,10736.0,7699.5967
2022-01-31,11029.0,7969.6265
2022-02-01,11440.0,8128.076
2022-02-02,11908.0,8503.663
2022-02-03,12362.0,8993.886
2022-02-04,13010.0,9439.337
2022-02-05,13975.0,10198.362
2022-02-06,15167.0,11279.311
2022-02-07,16300.0,12521.864
2022-02-08,17315.0,13644.728
2022-02-09,18443.0,14755.444
2022-02-10,19938.002,15943.19
2022-02-11,21179.0,17668.2
2022-02-12,22394.002,18936.824
2022-02-13,23575.002,20421.021
2022-02-14,24839.0,21839.172
2022-02-15,26140.002,23308.004
2022-02-16,28070.0,24767.129
2022-02-17,29963.002,27244.65
2022-02-18,31873.002,29511.113
2022-02-19,33773.0,32196.982
2022-02-20,35837.0,34685.895
2022-02-21,37907.0,36995.38
2022-02-22,40015.0,39094.613
2022-02-23,43098.0,41356.086
2022-02-24,46464.004,44812.14
2022-02-25,49997.0,48084.793
2022-02-26,53434.0,51938.547
2022-02-27,56847.0,55629.918
2022-02-28,60167.0,59394.793
2022-03-01,63450.0,63022.504
2022-03-02,68446.0,67092.53
2022-03-03,73690.0,72796.836
2022-03-04,80102.0,78366.67
2022-03-05,86067.99,85003.414
2022-03-06,91773.99,90596.984
2022-03-07,97511.99,96659.04
2022-03-08,103525.99,103026.984
2022-03-09,111482.99,110027.53
2022-03-10,119947.0,118710.63
2022-03-11,128929.99,128758.55
2022-03-12,139147.0,138844.11
2022-03-13,148692.0,148602.72
2022-03-14,159623.0,158130.28
2022-03-15,171077.0,170111.05
2022-03-16,180388.0,183307.03
2022-03-17,199346.0,194481.9
2022-03-18,210710.02,210546.19
2022-03-19,221478.02,220537.0
2022-03-20,232376.0,230746.72
2022-03-21,239233.02,240051.05
2022-03-22,251499.02,249371.97
2022-03-23,266926.0,262539.28
2022-03-24,280617.0,279115.2
2022-03-25,293285.0,292162.6
2022-03-26,306133.0,303984.75
2022-03-27,318427.0,316643.3
2022-03-28,326824.97,326632.38
2022-03-29,340454.0,339158.72
2022-03-30,357916.0,355893.6
2022-03-31,371619.97,369801.16
2022-04-01,383445.0,382766.38
2022-04-02,394601.0,393225.03
2022-04-03,405038.97,402524.34
2022-04-04,410997.97,410932.62
2022-04-05,421985.0,421148.38
2022-04-06,434369.97,434173.7
2022-04-07,444275.0,445001.44
2022-04-08,452946.0,454101.6
2022-04-09,461382.97,460925.22
2022-04-10,469185.0,469107.34
2022-04-11,473634.97,475018.4
2022-04-12,482723.0,483752.22
2022-04-13,491166.0,492361.2
2022-04-14,498075.0,497745.94
2022-04-15,503794.97,504807.75
2022-04-16,508761.0,509628.66
2022-04-17,513156.97,513083.94
2022-04-18,515288.97,515218.0
2022-04-19,520368.0,520379.4
2022-04-20,525300.0,525388.2
2022-04-21,529274.0,529463.06
2022-04-22,533102.0,533368.06
2022-04-23,536658.0,537172.5
2022-04-24,539829.0,540381.75
2022-04-25,541617.0,542073.8
2022-04-26,545451.0,546066.94
2022-04-27,549086.0,532194.4
2022-04-28,551656.0,525620.1
2022-04-29,554221.0,526733.6
2022-04-30,556484.0,523066.0
2022-05-01,558446.0,519477.6
2022-05-02,559441.0,519022.1
2022-05-03,561989.0,517206.75
