,Actual_data,Predicted_data
2021-12-10,4919.0,6865.2227
2021-12-11,4994.0,6907.946
2021-12-12,5074.0,6952.942
2021-12-13,5157.0,6998.017
2021-12-14,5215.0,7070.908
2021-12-15,5275.0,7102.179
2021-12-16,5333.0,7143.8657
2021-12-17,5393.0,7180.723
2021-12-18,5437.0,7214.817
2021-12-19,5480.0,7235.3813
2021-12-20,5536.0,7272.5137
2021-12-21,5577.0,7307.1025
2021-12-22,5624.0,7325.4316
2021-12-23,5692.9995,7353.177
2021-12-24,5762.0,7403.605
2021-12-25,5815.0,7437.7485
2021-12-26,5863.0,7455.3325
2021-12-27,5893.0,7496.3447
2021-12-28,5931.0,7507.6133
2021-12-29,5970.0,7522.941
2021-12-30,6018.0,7559.328
2021-12-31,6077.9995,7563.116
2022-01-01,6126.0,7600.2236
2022-01-02,6168.0,7612.146
2022-01-03,6203.0,7640.724
2022-01-04,6248.9995,7660.5347
2022-01-05,6309.0,7682.165
2022-01-06,6368.0,7706.863
2022-01-07,6492.0,7745.7646
2022-01-08,6588.0,7820.0957
2022-01-09,6699.9995,7876.598
2022-01-10,6786.0,7947.233
2022-01-11,6874.0,7997.2866
2022-01-12,7038.0,8063.817
2022-01-13,7174.0,8176.0635
2022-01-14,7307.0,8274.697
2022-01-15,7461.9995,8353.158
2022-01-16,7630.0,8483.692
2022-01-17,7796.0,8618.313
2022-01-18,7935.0,8761.969
2022-01-19,8089.0,8891.724
2022-01-20,8249.0,9008.346
2022-01-21,8448.0,9128.151
2022-01-22,8602.0,9314.43
2022-01-23,8798.0,9427.505
2022-01-24,9004.0,9591.47
2022-01-25,9195.0,9789.699
2022-01-26,9481.0,9946.821
2022-01-27,9775.0,10227.375
2022-01-28,10102.0,10468.394
2022-01-29,10416.0,10731.151
2022-01-30,10736.0,11033.859
2022-01-31,11029.0,11294.969
2022-02-01,11440.0,11601.007
2022-02-02,11908.0,12017.465
2022-02-03,12362.0,12446.373
2022-02-04,13010.0,12851.0625
2022-02-05,13975.0,13465.566
2022-02-06,15167.0,14467.283
2022-02-07,16300.0,15608.493
2022-02-08,17315.0,16693.717
2022-02-09,18443.0,17660.312
2022-02-10,19938.002,18861.305
2022-02-11,21179.0,20528.574
2022-02-12,22394.002,21913.418
2022-02-13,23575.002,23257.547
2022-02-14,24839.0,24629.074
2022-02-15,26140.002,26200.102
2022-02-16,28070.0,27757.97
2022-02-17,29963.002,30186.8
2022-02-18,31873.002,32237.938
2022-02-19,33773.0,34368.477
2022-02-20,35837.0,36622.367
2022-02-21,37907.0,39113.473
2022-02-22,40015.0,41506.54
2022-02-23,43098.0,44050.51
2022-02-24,46464.004,47687.215
2022-02-25,49997.0,51146.33
2022-02-26,53434.0,54234.8
2022-02-27,56847.0,57713.684
2022-02-28,60167.0,61484.62
2022-03-01,63450.0,65320.793
2022-03-02,68446.0,69272.4
2022-03-03,73690.0,74814.86
2022-03-04,80102.0,79655.68
2022-03-05,86067.99,86113.305
2022-03-06,91773.99,91727.086
2022-03-07,97511.99,97445.06
2022-03-08,103525.99,103584.43
2022-03-09,111482.99,110785.305
2022-03-10,119947.0,119752.56
2022-03-11,128929.99,129706.4
2022-03-12,139147.0,139528.84
2022-03-13,148692.0,149793.23
2022-03-14,159623.0,159613.97
2022-03-15,171077.0,171217.97
2022-03-16,180388.0,183608.75
2022-03-17,199346.0,194402.9
2022-03-18,210710.02,210796.7
2022-03-19,221478.02,221122.9
2022-03-20,232376.0,232176.61
2022-03-21,239233.02,242487.75
2022-03-22,251499.02,252006.7
2022-03-23,266926.0,264370.06
2022-03-24,280617.0,281010.38
2022-03-25,293285.0,294660.72
2022-03-26,306133.0,306135.72
2022-03-27,318427.0,318826.75
2022-03-28,326824.97,328894.6
2022-03-29,340454.0,340776.7
2022-03-30,357916.0,357326.56
2022-03-31,371619.97,371336.84
2022-04-01,383445.0,382171.3
2022-04-02,394601.0,393820.8
2022-04-03,405038.97,402937.28
2022-04-04,410997.97,412252.8
2022-04-05,421985.0,421936.28
2022-04-06,434369.97,434502.7
2022-04-07,444275.0,445198.62
2022-04-08,452946.0,454778.72
2022-04-09,461382.97,463408.0
2022-04-10,469185.0,470474.03
2022-04-11,473634.97,477229.53
2022-04-12,482723.0,485551.06
2022-04-13,491166.0,494926.47
2022-04-14,498075.0,500335.8
2022-04-15,503794.97,506965.56
2022-04-16,508761.0,510326.78
2022-04-17,513156.97,515343.44
2022-04-18,515288.97,517632.97
2022-04-19,520368.0,522706.84
2022-04-20,525300.0,527370.2
2022-04-21,529274.0,531099.2
2022-04-22,533102.0,535059.25
2022-04-23,536658.0,538352.6
2022-04-24,539829.0,541131.9
2022-04-25,541617.0,542614.9
2022-04-26,545451.0,546533.2
2022-04-27,549086.0,538760.4
2022-04-28,551656.0,537093.56
2022-04-29,554221.0,538113.0
2022-04-30,556484.0,534197.44
2022-05-01,558446.0,533321.5
2022-05-02,559441.0,531530.5
2022-05-03,561989.0,527800.7
