,Actual_data,Predicted_data
2021-12-10,4919.0,11221.195
2021-12-11,4994.0,11266.249
2021-12-12,5074.0,11335.636
2021-12-13,5157.0,11381.23
2021-12-14,5215.0,11441.347
2021-12-15,5275.0,11469.697
2021-12-16,5333.0,11507.098
2021-12-17,5393.0,11541.962
2021-12-18,5437.0,11571.122
2021-12-19,5480.0,11611.627
2021-12-20,5536.0,11607.826
2021-12-21,5577.0,11601.956
2021-12-22,5624.0,11658.798
2021-12-23,5692.9995,11629.764
2021-12-24,5762.0,11668.274
2021-12-25,5815.0,11725.063
2021-12-26,5863.0,11741.023
2021-12-27,5893.0,11741.091
2021-12-28,5931.0,11770.981
2021-12-29,5970.0,11793.75
2021-12-30,6018.0,11785.841
2021-12-31,6077.9995,11813.315
2022-01-01,6126.0,11814.947
2022-01-02,6168.0,11872.746
2022-01-03,6203.0,11833.859
2022-01-04,6248.9995,11849.428
2022-01-05,6309.0,11853.204
2022-01-06,6368.0,11934.263
2022-01-07,6492.0,11935.286
2022-01-08,6588.0,11984.5205
2022-01-09,6699.9995,12057.043
2022-01-10,6786.0,12098.652
2022-01-11,6874.0,12143.411
2022-01-12,7038.0,12187.736
2022-01-13,7174.0,12263.987
2022-01-14,7307.0,12340.6455
2022-01-15,7461.9995,12381.82
2022-01-16,7630.0,12495.132
2022-01-17,7796.0,12584.2
2022-01-18,7935.0,12688.879
2022-01-19,8089.0,12787.067
2022-01-20,8249.0,12876.83
2022-01-21,8448.0,13038.76
2022-01-22,8602.0,13182.3545
2022-01-23,8798.0,13229.513
2022-01-24,9004.0,13384.865
2022-01-25,9195.0,13569.718
2022-01-26,9481.0,13659.662
2022-01-27,9775.0,13802.8545
2022-01-28,10102.0,14081.685
2022-01-29,10416.0,14338.958
2022-01-30,10736.0,14717.436
2022-01-31,11029.0,15000.973
2022-02-01,11440.0,15284.051
2022-02-02,11908.0,15767.111
2022-02-03,12362.0,16134.641
2022-02-04,13010.0,16577.994
2022-02-05,13975.0,17112.574
2022-02-06,15167.0,18227.959
2022-02-07,16300.0,19465.973
2022-02-08,17315.0,20679.041
2022-02-09,18443.0,21797.656
2022-02-10,19938.002,23227.393
2022-02-11,21179.0,25202.277
2022-02-12,22394.002,26466.672
2022-02-13,23575.002,27610.082
2022-02-14,24839.0,28904.58
2022-02-15,26140.002,30208.086
2022-02-16,28070.0,31596.873
2022-02-17,29963.002,33642.156
2022-02-18,31873.002,35415.54
2022-02-19,33773.0,37537.43
2022-02-20,35837.0,39277.223
2022-02-21,37907.0,41942.793
2022-02-22,40015.0,44461.473
2022-02-23,43098.0,47079.14
2022-02-24,46464.004,49746.367
2022-02-25,49997.0,53671.688
2022-02-26,53434.0,57140.3
2022-02-27,56847.0,60439.137
2022-02-28,60167.0,64433.43
2022-03-01,63450.0,67852.44
2022-03-02,68446.0,72055.54
2022-03-03,73690.0,77519.266
2022-03-04,80102.0,83167.92
2022-03-05,86067.99,89384.805
2022-03-06,91773.99,94332.12
2022-03-07,97511.99,100239.73
2022-03-08,103525.99,106281.33
2022-03-09,111482.99,113953.12
2022-03-10,119947.0,122229.445
2022-03-11,128929.99,131796.92
2022-03-12,139147.0,141163.69
2022-03-13,148692.0,151170.44
2022-03-14,159623.0,161444.31
2022-03-15,171077.0,173262.81
2022-03-16,180388.0,184614.06
2022-03-17,199346.0,195804.31
2022-03-18,210710.02,211384.86
2022-03-19,221478.02,223051.83
2022-03-20,232376.0,233965.02
2022-03-21,239233.02,242703.33
2022-03-22,251499.02,252030.7
2022-03-23,266926.0,267009.62
2022-03-24,280617.0,281151.16
2022-03-25,293285.0,293678.03
2022-03-26,306133.0,305982.22
2022-03-27,318427.0,318660.44
2022-03-28,326824.97,329794.5
2022-03-29,340454.0,340608.9
2022-03-30,357916.0,357743.5
2022-03-31,371619.97,371441.88
2022-04-01,383445.0,384896.97
2022-04-02,394601.0,395235.25
2022-04-03,405038.97,404097.2
2022-04-04,410997.97,411665.62
2022-04-05,421985.0,421945.12
2022-04-06,434369.97,435626.34
2022-04-07,444275.0,444364.12
2022-04-08,452946.0,454252.6
2022-04-09,461382.97,462003.25
2022-04-10,469185.0,469602.4
2022-04-11,473634.97,474124.25
2022-04-12,482723.0,483124.1
2022-04-13,491166.0,492781.94
2022-04-14,498075.0,498418.56
2022-04-15,503794.97,504673.1
2022-04-16,508761.0,508517.38
2022-04-17,513156.97,513543.62
2022-04-18,515288.97,515614.1
2022-04-19,520368.0,520688.44
2022-04-20,525300.0,525596.75
2022-04-21,529274.0,529526.75
2022-04-22,533102.0,533354.56
2022-04-23,536658.0,536856.5
2022-04-24,539829.0,540076.5
2022-04-25,541617.0,541734.2
2022-04-26,545451.0,545586.75
2022-04-27,549086.0,534638.25
2022-04-28,551656.0,526284.44
2022-04-29,554221.0,520967.62
2022-04-30,556484.0,512269.34
2022-05-01,558446.0,520304.12
2022-05-02,559441.0,511012.1
2022-05-03,561989.0,515445.84
