,Actual_data,Predicted_data
2021-12-09,4850.0,488.64664
2021-12-10,4919.0,529.97815
2021-12-11,4994.0,600.2093
2021-12-12,5074.0,654.40356
2021-12-13,5157.0,715.1203
2021-12-14,5215.0,774.30383
2021-12-15,5275.0,864.948
2021-12-16,5333.0,928.3708
2021-12-17,5393.0,1006.0983
2021-12-18,5437.0,1067.8635
2021-12-19,5480.0,1145.2513
2021-12-20,5536.0,1179.9111
2021-12-21,5577.0,1210.8207
2021-12-22,5624.0,1263.5355
2021-12-23,5693.0,1300.031
2021-12-24,5762.0,1350.4543
2021-12-25,5815.0,1404.7977
2021-12-26,5863.0,1473.7733
2021-12-27,5893.0,1528.1167
2021-12-28,5931.0,1581.9049
2021-12-29,5970.0,1638.9128
2021-12-30,6018.0,1644.2378
2021-12-31,6078.0,1689.8292
2022-01-01,6126.0,1746.6425
2022-01-02,6168.0,1808.1672
2022-01-03,6203.0005,1805.2748
2022-01-04,6249.0,1852.1177
2022-01-05,6309.0005,1869.1575
2022-01-06,6368.0,1895.3306
2022-01-07,6492.0,1944.606
2022-01-08,6588.0005,1993.6327
2022-01-09,6700.0,2077.7295
2022-01-10,6786.0,2132.769
2022-01-11,6874.0,2206.4976
2022-01-12,7038.0,2253.1125
2022-01-13,7174.0005,2343.4004
2022-01-14,7307.0,2451.3662
2022-01-15,7462.0,2621.8098
2022-01-16,7630.0,2700.246
2022-01-17,7796.0,2843.3813
2022-01-18,7935.0,2941.5137
2022-01-19,8089.0005,3091.8262
2022-01-20,8249.0,3276.21
2022-01-21,8448.0,3440.5664
2022-01-22,8602.0,3598.5286
2022-01-23,8798.0,3775.5444
2022-01-24,9004.0,3965.0378
2022-01-25,9195.0,4096.8145
2022-01-26,9481.0,4254.52
2022-01-27,9775.0,4527.257
2022-01-28,10102.0,4748.155
2022-01-29,10416.0,5062.8774
2022-01-30,10736.0,5375.46
2022-01-31,11029.0,5715.077
2022-02-01,11440.0,6079.3506
2022-02-02,11908.0,6410.6655
2022-02-03,12361.999,6840.592
2022-02-04,13009.999,7302.8813
2022-02-05,13975.0,7883.9443
2022-02-06,15166.999,8459.463
2022-02-07,16300.0,9320.143
2022-02-08,17315.0,10310.503
2022-02-09,18443.0,11526.6455
2022-02-10,19938.002,12839.573
2022-02-11,21179.0,14178.096
2022-02-12,22394.002,15897.548
2022-02-13,23575.0,17700.332
2022-02-14,24839.0,19516.205
2022-02-15,26140.0,21064.734
2022-02-16,28070.002,22722.736
2022-02-17,29963.002,24358.348
2022-02-18,31873.0,26502.57
2022-02-19,33773.0,28491.148
2022-02-20,35837.0,30836.875
2022-02-21,37907.0,33113.215
2022-02-22,40015.0,35749.504
2022-02-23,43098.004,38061.844
2022-02-24,46464.0,40985.977
2022-02-25,49997.0,44247.78
2022-02-26,53434.0,47896.363
2022-02-27,56847.0,51705.434
2022-02-28,60167.0,55636.805
2022-03-01,63450.0,59676.375
2022-03-02,68446.0,63954.9
2022-03-03,73690.0,69222.19
2022-03-04,80102.0,74995.87
2022-03-05,86068.0,80816.62
2022-03-06,91774.0,86726.38
2022-03-07,97512.0,93162.87
2022-03-08,103526.0,99435.35
2022-03-09,111483.0,106208.83
2022-03-10,119946.99,115805.01
2022-03-11,128930.0,124807.12
2022-03-12,139147.0,135165.83
2022-03-13,148692.0,144567.12
2022-03-14,159622.98,155676.73
2022-03-15,171077.0,166573.56
2022-03-16,180387.98,178229.4
2022-03-17,199346.0,194639.2
2022-03-18,210709.98,207468.11
2022-03-19,221478.0,217434.11
2022-03-20,232376.0,228734.39
2022-03-21,239233.0,238343.94
2022-03-22,251499.0,250245.95
2022-03-23,266926.0,263240.28
2022-03-24,280617.03,277425.03
2022-03-25,293285.03,291826.53
2022-03-26,306133.0,304120.16
2022-03-27,318427.0,315403.4
2022-03-28,326825.03,324893.34
2022-03-29,340454.0,338782.78
2022-03-30,357916.0,356182.28
2022-03-31,371620.0,369887.66
2022-04-01,383445.0,381606.78
2022-04-02,394601.0,392177.97
2022-04-03,405039.03,403159.78
2022-04-04,410998.0,409711.66
2022-04-05,421985.0,420908.7
2022-04-06,434370.0,433093.66
2022-04-07,444275.0,443037.94
2022-04-08,452946.03,452225.16
2022-04-09,461383.03,461528.8
2022-04-10,469185.0,468162.84
2022-04-11,473635.0,472736.72
2022-04-12,482723.0,481733.22
2022-04-13,491166.03,490711.72
2022-04-14,498075.0,497795.34
2022-04-15,503795.03,503875.56
2022-04-16,508761.03,508471.47
2022-04-17,513157.0,513020.1
2022-04-18,515289.0,515166.3
2022-04-19,520368.03,520314.3
2022-04-20,525300.0,525330.2
2022-04-21,529274.0,529306.8
2022-04-22,533102.0,533237.1
2022-04-23,536658.0,536887.94
2022-04-24,539829.0,540132.5
2022-04-25,541617.0,541941.5
2022-04-26,545451.0,529070.06
2022-04-27,549086.0,527119.8
2022-04-28,551656.0,526274.7
2022-04-29,554221.0,522577.38
2022-04-30,556484.0,525609.0
2022-05-01,558446.0,522421.47
2022-05-02,559441.0,516208.94
