,Actual_data,Predicted_data
2021-12-10,4919.0,6089.879
2021-12-11,4994.0,6120.1543
2021-12-12,5074.0,6222.994
2021-12-13,5157.0,6301.1777
2021-12-14,5215.0,6382.6
2021-12-15,5275.0,6420.671
2021-12-16,5333.0,6536.698
2021-12-17,5393.0,6509.6157
2021-12-18,5437.0,6504.1504
2021-12-19,5480.0,6465.2344
2021-12-20,5536.0,6490.696
2021-12-21,5577.0,6470.5347
2021-12-22,5624.0,6393.656
2021-12-23,5692.9995,6448.1895
2021-12-24,5762.0,6455.0576
2021-12-25,5815.0,6431.501
2021-12-26,5863.0,6491.1636
2021-12-27,5893.0,6580.434
2021-12-28,5931.0,6563.424
2021-12-29,5970.0,6586.0283
2021-12-30,6018.0,6507.0083
2021-12-31,6077.9995,6495.9287
2022-01-01,6126.0,6497.8213
2022-01-02,6168.0,6494.4214
2022-01-03,6203.0,6573.407
2022-01-04,6248.9995,6590.711
2022-01-05,6309.0,6613.064
2022-01-06,6368.0,6596.2236
2022-01-07,6492.0,6597.399
2022-01-08,6588.0,6785.0146
2022-01-09,6699.9995,6713.035
2022-01-10,6786.0,7051.7026
2022-01-11,6874.0,7119.6504
2022-01-12,7038.0,7306.756
2022-01-13,7174.0,7467.7124
2022-01-14,7307.0,7349.3965
2022-01-15,7461.9995,7671.0195
2022-01-16,7630.0,7866.942
2022-01-17,7796.0,7967.19
2022-01-18,7935.0,8107.9473
2022-01-19,8089.0,8246.175
2022-01-20,8249.0,8450.226
2022-01-21,8448.0,8467.64
2022-01-22,8602.0,8601.965
2022-01-23,8798.0,8570.176
2022-01-24,9004.0,8919.489
2022-01-25,9195.0,8923.087
2022-01-26,9481.0,9058.337
2022-01-27,9775.0,9435.708
2022-01-28,10102.0,9445.203
2022-01-29,10416.0,9915.1875
2022-01-30,10736.0,10240.151
2022-01-31,11029.0,10693.768
2022-02-01,11440.0,10945.468
2022-02-02,11908.0,11453.952
2022-02-03,12362.0,11551.472
2022-02-04,13010.0,11971.211
2022-02-05,13975.0,13007.521
2022-02-06,15167.0,13971.414
2022-02-07,16300.0,15172.058
2022-02-08,17315.0,16616.572
2022-02-09,18443.0,18700.043
2022-02-10,19938.002,20766.615
2022-02-11,21179.0,22455.314
2022-02-12,22394.002,22663.432
2022-02-13,23575.002,24982.16
2022-02-14,24839.0,26031.654
2022-02-15,26140.002,27000.902
2022-02-16,28070.0,27581.701
2022-02-17,29963.002,29682.717
2022-02-18,31873.002,29971.195
2022-02-19,33773.0,32707.129
2022-02-20,35837.0,34967.773
2022-02-21,37907.0,37330.656
2022-02-22,40015.0,39016.184
2022-02-23,43098.0,41131.34
2022-02-24,46464.004,44995.23
2022-02-25,49997.0,47108.4
2022-02-26,53434.0,51528.688
2022-02-27,56847.0,55646.69
2022-02-28,60167.0,60005.34
2022-03-01,63450.0,63796.324
2022-03-02,68446.0,67390.17
2022-03-03,73690.0,73029.38
2022-03-04,80102.0,77124.8
2022-03-05,86067.99,85785.46
2022-03-06,91773.99,92001.42
2022-03-07,97511.99,98849.28
2022-03-08,103525.99,105238.055
2022-03-09,111482.99,111827.76
2022-03-10,119947.0,119857.664
2022-03-11,128929.99,129335.19
2022-03-12,139147.0,139862.17
2022-03-13,148692.0,150211.44
2022-03-14,159623.0,160695.84
2022-03-15,171077.0,171150.27
2022-03-16,180388.0,181887.75
2022-03-17,199346.0,195494.55
2022-03-18,210710.02,206209.36
2022-03-19,221478.02,223897.23
2022-03-20,232376.0,227649.47
2022-03-21,239233.02,237371.02
2022-03-22,251499.02,251647.44
2022-03-23,266926.0,265763.56
2022-03-24,280617.0,282193.47
2022-03-25,293285.0,295200.4
2022-03-26,306133.0,306007.94
2022-03-27,318427.0,317430.97
2022-03-28,326824.97,329062.72
2022-03-29,340454.0,344151.72
2022-03-30,357916.0,360928.28
2022-03-31,371619.97,373448.62
2022-04-01,383445.0,377073.8
2022-04-02,394601.0,388765.88
2022-04-03,405038.97,399039.94
2022-04-04,410997.97,409837.3
2022-04-05,421985.0,422505.6
2022-04-06,434369.97,437846.16
2022-04-07,444275.0,444107.22
2022-04-08,452946.0,452490.9
2022-04-09,461382.97,461634.06
2022-04-10,469185.0,469088.44
2022-04-11,473634.97,475761.94
2022-04-12,482723.0,482405.5
2022-04-13,491166.0,492423.56
2022-04-14,498075.0,493897.78
2022-04-15,503794.97,501786.94
2022-04-16,508761.0,507247.72
2022-04-17,513156.97,512156.97
2022-04-18,515288.97,516847.75
2022-04-19,520368.0,520434.0
2022-04-20,525300.0,523914.78
2022-04-21,529274.0,526691.56
2022-04-22,533102.0,531422.9
2022-04-23,536658.0,534416.75
2022-04-24,539829.0,536409.8
2022-04-25,541617.0,538417.94
2022-04-26,545451.0,539564.25
2022-04-27,549086.0,540161.8
2022-04-28,551656.0,545557.56
2022-04-29,554221.0,547534.94
2022-04-30,556484.0,549708.56
2022-05-01,558446.0,552271.5
2022-05-02,559441.0,553702.7
2022-05-03,561989.0,554116.1
